Sym0		Asym0		Sym1		Asym1		Asym2	
337  Points		334  Points		215  Points		288  Points		288  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00474149	9.01338	0.000292971	0.472634	0.459115	-0.0272024	0.346125	0.178045	0.346133	0.197473
0.0104032	9.01248	0.000589855	0.553846	0.459098	-0.0447552	0.346237	0.262652	0.346257	0.282136
0.0160638	9.01023	0.000988766	0.71568	0.459058	-0.0798148	0.346455	0.431519	0.346487	0.450954
0.0217228	9.00702	0.00148896	0.876177	0.458997	-0.11441	0.346779	0.599565	0.346823	0.618794
0.0273793	9.00277	0.0020895	1.03509	0.458915	-0.148294	0.347209	0.766402	0.347265	0.785544
0.0330329	8.99753	0.00278934	1.19202	0.458811	-0.181298	0.347742	0.9318	0.34781	0.950768
0.0386829	8.9913	0.00358703	1.34673	0.458687	-0.213195	0.348379	1.0954	0.348459	1.11414
0.0443287	8.98405	0.00448123	1.49906	0.458543	-0.243854	0.349118	1.25695	0.34921	1.27542
0.0499696	8.97575	0.0054703	1.64881	0.458381	-0.273017	0.349958	1.4162	0.350061	1.43437
0.0556049	8.96631	0.00655263	1.79568	0.4582	-0.300491	0.350898	1.57286	0.351012	1.59075
0.0612339	8.95579	0.00772621	1.93951	0.458003	-0.326106	0.351934	1.72668	0.35206	1.74423
0.066856	8.94421	0.00898923	2.08028	0.457791	-0.349743	0.353067	1.87746	0.353203	1.89466
0.0724705	8.93136	0.0103397	2.21766	0.457564	-0.371162	0.354293	2.02508	0.35444	2.0419
0.0780764	8.91729	0.0117753	2.35163	0.457324	-0.390208	0.355611	2.16932	0.355769	2.1857
0.0836733	8.90209	0.013294	2.48215	0.457074	-0.406791	0.357018	2.31005	0.357186	2.326
0.0892601	8.88547	0.0148936	2.60902	0.456813	-0.420727	0.358513	2.44714	0.358691	2.46266
0.094836	8.86755	0.0165717	2.7323	0.456545	-0.431871	0.360093	2.58041	0.36028	2.59552
0.1004	8.84822	0.0183262	2.85186	0.456271	-0.440035	0.361755	2.70986	0.361951	2.72456
0.105952	8.82737	0.0201545	2.96778	0.455992	-0.445174	0.363497	2.83547	0.363703	2.84967
0.11149	8.80503	0.0220546	3.08001	0.455711	-0.447088	0.365317	2.95707	0.365531	2.97083
0.117014	8.78108	0.0240239	3.18845	0.45543	-0.4457	0.367212	3.0747	0.367435	3.08801
0.122522	8.75546	0.0260602	3.29333	0.455151	-0.440969	0.36918	3.18829	0.369411	3.20113
0.128013	8.72802	0.0281613	3.39457	0.454876	-0.432593	0.371217	3.29792	0.371457	3.31027
0.133487	8.69876	0.0303248	3.49221	0.454608	-0.420514	0.373323	3.40355	0.37357	3.41544
0.138941	8.66763	0.0325486	3.58635	0.454348	-0.404719	0.375493	3.50509	0.375747	3.51662
0.144376	8.63436	0.0348303	3.67696	0.454099	-0.38508	0.377726	3.6028	0.377988	3.61381
0.149789	8.5989	0.0371679	3.76421	0.453864	-0.361445	0.380019	3.69663	0.380287	3.70715
0.155179	8.56123	0.0395593	3.84812	0.453645	-0.333621	0.38237	3.78652	0.382645	3.79662
0.160544	8.52119	0.0420023	3.92881	0.453445	-0.301547	0.384776	3.87256	0.385057	3.88223
0.165884	8.47858	0.044495	4.00632	0.453267	-0.265211	0.387235	3.9549	0.387522	3.96416
0.171196	8.43324	0.0470354	4.08073	0.453112	-0.224367	0.389745	4.03353	0.390037	4.04241
0.176479	8.38515	0.0496217	4.1522	0.452985	-0.178965	0.392303	4.10856	0.392601	4.11699
0.18173	8.33415	0.0522518	4.22072	0.452887	-0.128791	0.394907	4.18007	0.395209	4.18806
0.186949	8.27996	0.0549241	4.28651	0.452823	-0.0737428	0.397554	4.24803	0.397862	4.25566
0.192132	8.22243	0.0576369	4.34954	0.452795	-0.0137278	0.400243	4.31257	0.400556	4.31982
0.197279	8.16145	0.0603884	4.40987	0.452806	0.0514409	0.402972	4.37386	0.403289	4.38067
0.202385	8.09686	0.0631771	4.46774	0.452859	0.121812	0.405738	4.43181	0.406059	4.43828
0.207451	8.0284	0.0660013	4.52318	0.452959	0.197697	0.40854	4.48655	0.408865	4.49267
0.212471	7.9559	0.0688595	4.57627	0.453108	0.279182	0.411375	4.53824	0.411703	4.54397
0.217446	7.87923	0.0717504	4.62705	0.453309	0.366322	0.414241	4.58685	0.414573	4.59226
0.22237	7.79815	0.0746725	4.67559	0.453568	0.459344	0.417137	4.63248	0.417473	4.63755
0.227242	7.71246	0.0776243	4.72204	0.453887	0.558479	0.420061	4.67518	0.420399	4.67991
0.232059	7.62201	0.0806047	4.7665	0.454269	0.663757	0.42301	4.71505	0.423352	4.71944
0.236818	7.52661	0.0836125	4.80904	0.45472	0.775237	0.425984	4.75211	0.426328	4.75624
0.241515	7.42608	0.0866463	4.84968	0.455243	0.893255	0.428981	4.78646	0.429327	4.7903
0.246147	7.32041	0.0897051	4.88847	0.455843	1.01783	0.431998	4.81824	0.432347	4.82169
0.250712	7.20945	0.0927877	4.92554	0.456522	1.1489	0.435034	4.84734	0.435385	4.85048
0.255204	7.09302	0.0958931	4.96102	0.457286	1.28664	0.438087	4.87383	0.43844	4.87676
0.259622	6.97117	0.0990202	4.99491	0.458138	1.43111	0.441157	4.89792	0.441511	4.90054
0.263962	6.84393	0.102168	5.02718	0.459084	1.58218	0.44424	4.91959	0.444597	4.92192
0.26822	6.71135	0.105336	5.05804	0.460126	1.73974	0.447337	4.9388	0.447695	4.94088
0.272394	6.57351	0.108523	5.0875	0.461269	1.90376	0.450445	4.95573	0.450804	4.9575
0.276479	6.43069	0.111727	5.11557	0.462518	2.07404	0.453563	4.97035	0.453923	4.97185
0.280473	6.28313	0.114949	5.14237	0.463875	2.25024	0.456689	4.98264	0.45705	4.98393
0.284372	6.13107	0.118188	5.16794	0.465345	2.43207	0.459823	4.99277	0.460184	4.99385
0.288175	5.97503	0.121442	5.19236	0.46693	2.61911	0.462962	5.00076	0.463324	5.00153
0.291879	5.81548	0.124711	5.21556	0.468635	2.81078	0.466105	5.00663	0.466468	5.0071
0.295481	5.65302	0.127994	5.23764	0.470462	3.00661	0.469252	5.01033	0.469614	5.01065
0.298981	5.48823	0.131291	5.25875	0.472412	3.206	0.4724	5.01198	0.472762	5.0121
0.302376	5.32182	0.134601	5.27881	0.474489	3.40813	0.475548	5.01169	0.475911	5.01152
0.305666	5.15456	0.137923	5.29786	0.476694	3.6123	0.478696	5.00938	0.479058	5.00895
0.308852	4.98723	0.141256	5.31608	0.479027	3.81759	0.481841	5.00508	0.482204	5.00445
0.311932	4.82063	0.144601	5.3334	0.48149	4.02329	0.484984	4.99887	0.485345	4.99807
0.314908	4.65561	0.147957	5.3498	0.484082	4.22849	0.488121	4.9908	0.488483	4.98977
0.317781	4.49297	0.151322	5.36542	0.486802	4.43228	0.491254	4.98085	0.491614	4.97957
0.320552	4.33347	0.154697	5.38025	0.48965	4.63398	0.494379	4.96909	0.494738	4.96764
0.323225	4.17786	0.158081	5.39428	0.492624	4.8326	0.497496	4.95558	0.497855	4.95389
0.325801	4.02678	0.161474	5.40766	0.495721	5.02747	0.500605	4.94028	0.500962	4.93834
0.328284	3.88092	0.164875	5.42031	0.49894	5.21785	0.503703	4.92326	0.504059	4.92114
0.330676	3.74077	0.168283	5.43225	0.502277	5.40318	0.50679	4.90453	0.507144	4.90228
0.332983	3.60668	0.171699	5.44363	0.505728	5.58295	0.509864	4.88414	0.510218	4.88172
0.335207	3.47918	0.175122	5.45434	0.50929	5.75653	0.512926	4.86215	0.513277	4.85951
0.337354	3.35857	0.17811	5.46324	0.51296	5.92367	0.515973	4.8386	0.516323	4.83583
0.339427	3.24488	0.180661	5.47052	0.516732	6.08413	0.519004	4.81355	0.519353	4.81054
0.34143	3.13831	0.182773	5.4762	0.520603	6.23765	0.52202	4.78691	0.522366	4.78373
0.343369	3.0389	0.184445	5.48058	0.524569	6.38401	0.525018	4.75883	0.525362	4.75555
0.345248	2.94667	0.185675	5.48371	0.528624	6.52323	0.527998	4.72941	0.52834	4.7259
0.347071	2.8616	0.186462	5.48567	0.532764	6.65534	0.53096	4.69859	0.5313	4.69495
0.348843	2.78337	0.187595	5.4885	0.536985	6.78028	0.533901	4.66639	0.534239	4.6626
0.350568	2.71198	0.188826	5.49153	0.541282	6.89828	0.536822	4.63294	0.537157	4.62898
0.35225	2.64719	0.190502	5.49549	0.545651	7.00947	0.539721	4.59832	0.540054	4.59422
0.353894	2.58866	0.192624	5.50026	0.550088	7.11397	0.542599	4.56243	0.542929	4.55828
0.355502	2.53625	0.195192	5.50586	0.554588	7.21195	0.545453	4.52552	0.545781	4.52125
0.35708	2.48975	0.198207	5.51203	0.559148	7.30361	0.548284	4.48755	0.548247	4.48814
0.35863	2.44879	0.201672	5.51872	0.563764	7.38928	0.550731	4.45369	0.550334	4.4593
0.360156	2.41305	0.205141	5.52506	0.568431	7.46914	0.552803	4.4242	0.55205	4.43498
0.361662	2.38241	0.208613	5.53094	0.573147	7.54336	0.554505	4.39942	0.5534	4.4155
0.363149	2.35644	0.212089	5.53638	0.577908	7.61217	0.555844	4.3798	0.554389	4.40119
0.364622	2.33492	0.215568	5.54143	0.58271	7.67592	0.556825	4.36502	0.555021	4.39199
0.366083	2.31762	0.219051	5.54613	0.587551	7.73488	0.557451	4.35547	0.555926	4.37847
0.367534	2.3042	0.222536	5.55049	0.591799	7.78255	0.558349	4.34184	0.556906	4.36373
0.368978	2.29442	0.226024	5.55447	0.595439	7.8204	0.559321	4.32694	0.558235	4.34369
0.370232	2.28865	0.229514	5.55814	0.598463	7.84974	0.560638	4.3065	0.559906	4.31784
0.371299	2.28564	0.233006	5.56144	0.600861	7.87204	0.562295	4.28025	0.561913	4.28631
0.37218	2.28439	0.236501	5.56445	0.602629	7.8876	0.564285	4.24834	0.564249	4.24891
0.372877	2.28434	0.239997	5.56725	0.603762	7.89727	0.5666	4.21049	0.566905	4.20545
0.37339	2.28465	0.243495	5.56964	0.605393	7.91089	0.569231	4.16649	0.569533	4.16145
0.373718	2.28513	0.246994	5.57175	0.60717	7.9252	0.571834	4.12211	0.572133	4.1169
0.374189	2.28599	0.250495	5.57373	0.609591	7.94381	0.57441	4.07727	0.574705	4.07209
0.374702	2.28715	0.253996	5.57532	0.61266	7.96588	0.576957	4.03214	0.577248	4.02692
0.3754	2.28959	0.257499	5.57666	0.616383	7.99086	0.579475	3.98682	0.579764	3.98153
0.376285	2.29327	0.261002	5.57781	0.620765	8.0175	0.581965	3.94124	0.58225	3.93602
0.377356	2.29897	0.264506	5.57872	0.625811	8.04494	0.584427	3.89563	0.584709	3.89039
0.378616	2.30724	0.268011	5.57939	0.630872	8.06903	0.586859	3.85002	0.587138	3.84477
0.380069	2.31858	0.271516	5.57983	0.635948	8.08988	0.589263	3.80445	0.589539	3.79925
0.381529	2.33186	0.275021	5.58005	0.641035	8.10758	0.591639	3.75913	0.591911	3.7539
0.382998	2.34686	0.278526	5.58011	0.646133	8.12219	0.593986	3.71398	0.594255	3.70873
0.384477	2.36354	0.282031	5.57997	0.651239	8.13384	0.596305	3.66908	0.59657	3.66393
0.385968	2.38177	0.285536	5.57958	0.656352	8.14259	0.598596	3.62457	0.598858	3.61948
0.38747	2.40136	0.289041	5.579	0.661469	8.14855	0.600858	3.58049	0.601117	3.57547
0.388984	2.42224	0.292545	5.57834	0.666589	8.15169	0.603094	3.53699	0.60335	3.53201
