Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.30357	8.02814	0.136888	3.48777	0.477717	12.4801	0.473256	12.4436	0.474295	12.4045
0.306822	7.98156	0.140169	3.51511	0.480142	12.341	0.476462	12.3243	0.4775	12.2865
0.309969	7.93379	0.14346	3.54185	0.482695	12.2095	0.479664	12.2088	0.480702	12.1721
0.313012	7.88489	0.14676	3.56801	0.485378	12.0853	0.482864	12.0968	0.4839	12.0613
0.31595	7.83494	0.150071	3.5936	0.488188	11.9681	0.486058	11.9882	0.487092	11.9537
0.318787	7.78402	0.153389	3.61864	0.491125	11.8575	0.489246	11.8827	0.490278	11.8492
0.321522	7.73223	0.156716	3.64314	0.494186	11.7532	0.492427	11.7803	0.493457	11.7477
0.32416	7.67965	0.160051	3.66712	0.497369	11.6548	0.4956	11.6807	0.496627	11.649
0.326702	7.62639	0.163394	3.69059	0.500671	11.5619	0.498764	11.5837	0.499787	11.5529
0.329153	7.57255	0.166743	3.71355	0.504089	11.4744	0.501917	11.4893	0.502937	11.4593
0.331514	7.51823	0.169667	3.73316	0.507619	11.3919	0.505059	11.3974	0.506074	11.3681
0.333791	7.46355	0.172163	3.74959	0.511256	11.314	0.508188	11.3077	0.509199	11.2791
0.335988	7.4086	0.17423	3.76298	0.514998	11.2406	0.511303	11.2202	0.51231	11.1923
0.338107	7.35349	0.175866	3.77345	0.51884	11.1713	0.514404	11.1348	0.515406	11.1075
0.340155	7.29832	0.17707	3.78107	0.522776	11.1058	0.51749	11.0513	0.518487	11.0246
0.342136	7.24319	0.17784	3.78592	0.526804	11.044	0.520559	10.9697	0.52155	10.9436
0.344053	7.18819	0.178949	3.79286	0.530918	10.9856	0.523611	10.8899	0.524596	10.8643
0.345911	7.13341	0.180154	3.80033	0.535113	10.9303	0.526645	10.8117	0.527624	10.7867
0.347716	7.07892	0.181795	3.81041	0.539386	10.878	0.529659	10.7351	0.530632	10.7107
0.34947	7.0248	0.183871	3.82302	0.543732	10.8285	0.532653	10.6601	0.53362	10.6361
0.351179	6.97113	0.186384	3.83804	0.548147	10.7816	0.535627	10.5866	0.536587	10.563
0.352847	6.91797	0.189336	3.85536	0.552626	10.737	0.538579	10.5144	0.539532	10.4912
0.354477	6.86538	0.192727	3.87485	0.557165	10.6947	0.541509	10.4435	0.54208	10.4298
0.356073	6.81341	0.196123	3.89394	0.561761	10.6544	0.544044	10.3828	0.544238	10.3781
0.35764	6.76211	0.199522	3.91263	0.56641	10.6161	0.54619	10.3317	0.546013	10.3359
0.35918	6.71151	0.202924	3.93093	0.571107	10.5796	0.547955	10.29	0.547409	10.3029
0.360696	6.66166	0.20633	3.94886	0.575851	10.5448	0.549344	10.2573	0.548433	10.2787
0.362193	6.61259	0.209739	3.96642	0.580636	10.5115	0.550361	10.2334	0.549086	10.2633
0.363672	6.56432	0.213151	3.98362	0.585461	10.4797	0.551011	10.2182	0.550023	10.2414
0.365138	6.51688	0.216565	4.00047	0.589694	10.453	0.551942	10.1965	0.551039	10.2176
0.366591	6.47028	0.219982	4.01697	0.593323	10.4311	0.552951	10.173	0.552415	10.1855
0.368036	6.42455	0.223401	4.03314	0.596337	10.4134	0.554319	10.1412	0.554146	10.1452
0.369473	6.37968	0.226822	4.04899	0.598729	10.3998	0.556039	10.1014	0.556227	10.097
0.370906	6.3357	0.230245	4.06451	0.600491	10.3899	0.558107	10.0537	0.558649	10.0412
0.372152	6.2981	0.233669	4.07972	0.601621	10.3837	0.560514	9.99847	0.561404	9.97811
0.373213	6.26658	0.237095	4.09462	0.603247	10.3748	0.563251	9.93596	0.564132	9.91589
0.374091	6.24088	0.240522	4.10923	0.605019	10.3652	0.56596	9.87434	0.566833	9.85455
0.374785	6.22081	0.24395	4.12355	0.607432	10.3525	0.568642	9.81358	0.569506	9.79407
0.375296	6.20618	0.247379	4.13757	0.610493	10.3367	0.571296	9.75365	0.57215	9.73439
0.375624	6.19687	0.250809	4.15133	0.614206	10.318	0.573922	9.69451	0.574767	9.67551
0.376094	6.18358	0.254239	4.1648	0.618576	10.2967	0.576519	9.63614	0.577355	9.61738
0.376606	6.16924	0.25767	4.17802	0.623608	10.2731	0.579088	9.5785	0.579914	9.55997
0.377303	6.14992	0.261101	4.19097	0.628656	10.2502	0.581627	9.52158	0.582444	9.50328
0.378186	6.12579	0.264533	4.20366	0.633718	10.228	0.584138	9.46535	0.584946	9.44727
0.379257	6.09705	0.267964	4.21611	0.638793	10.2064	0.58662	9.40979	0.587418	9.39192
0.380517	6.06395	0.271396	4.22831	0.643878	10.1854	0.589073	9.35488	0.589862	9.33722
0.381971	6.02678	0.274827	4.24028	0.648971	10.165	0.591497	9.3006	0.592277	9.28314
0.383433	5.99048	0.278259	4.25201	0.654071	10.145	0.593892	9.24693	0.594663	9.22967
0.384905	5.95503	0.281689	4.26351	0.659175	10.1256	0.596259	9.19387	0.59702	9.17679
0.386387	5.92043	0.28512	4.27479	0.664283	10.1065	0.598598	9.14138	0.59935	9.12449
0.38788	5.88666	0.28855	4.28585	0.669391	10.0878	0.600908	9.08947	0.601651	9.07276
0.389386	5.85371	0.291979	4.29669	0.674499	10.0695	0.60319	9.03812	0.603924	9.02159
0.390905	5.82157	0.295407	4.30733	0.679604	10.0514	0.605445	8.98731	0.60617	8.97096
0.392438	5.79023	0.298835	4.31776	0.684706	10.0337	0.607673	8.93705	0.608389	8.92087
0.393984	5.75966	0.302261	4.32799	0.689802	10.0161	0.609873	8.88731	0.610581	8.8713
0.395546	5.72987	0.305687	4.33802	0.694891	9.99884	0.612048	8.8381	0.612747	8.82226
0.397123	5.70084	0.309111	4.34786	0.699971	9.98172	0.614197	8.78941	0.614888	8.77373
0.398715	5.67255	0.312535	4.35751	0.705041	9.96475	0.61632	8.74122	0.617003	8.72571
0.400323	5.64499	0.315957	4.36698	0.710098	9.94792	0.618419	8.69353	0.619094	8.67818
0.401948	5.61814	0.319377	4.37626	0.715142	9.93118	0.620494	8.64635	0.621161	8.63116
0.40359	5.59199	0.322797	4.38537	0.720171	9.91453	0.622545	8.59965	0.623204	8.58462
0.405249	5.56652	0.326215	4.3943	0.725182	9.89793	0.624573	8.55345	0.625225	8.53858
0.406925	5.54173	0.329631	4.40307	0.730175	9.88136	0.626579	8.50773	0.627224	8.49302
0.408618	5.51759	0.333045	4.41166	0.735148	9.86479	0.628563	8.4625	0.629201	8.44794
0.41033	5.4941	0.336458	4.42009	0.740098	9.84821	0.630526	8.41774	0.631158	8.40334
0.412058	5.47123	0.33987	4.42836	0.745025	9.8316	0.632469	8.37347	0.633095	8.35922
0.413805	5.44898	0.343279	4.43647	0.749927	9.81492	0.634393	8.32966	0.635013	8.31557
0.41557	5.42732	0.346687	4.44443	0.754801	9.79816	0.636298	8.28634	0.636912	8.27239
0.417353	5.40626	0.350092	4.45224	0.759647	9.78131	0.638186	8.24348	0.638794	8.22969
0.419154	5.38577	0.353496	4.4599	0.764462	9.76433	0.640056	8.20109	0.640658	8.18745
0.420974	5.36584	0.356897	4.46741	0.769244	9.74721	0.641909	8.15917	0.642507	8.14569
0.422811	5.34645	0.360297	4.47478	0.773993	9.72994	0.643747	8.11772	0.64434	8.10439
0.424667	5.3276	0.363694	4.48201	0.778705	9.71248	0.645571	8.07674	0.646159	8.06355
0.426541	5.30927	0.36709	4.4891	0.78338	9.69483	0.64738	8.03622	0.647963	8.02318
0.428433	5.29144	0.370483	4.49605	0.788015	9.67696	0.649176	7.99616	0.649755	7.98328
0.430343	5.27412	0.373873	4.50288	0.792608	9.65887	0.650959	7.95657	0.651535	7.94383
0.432271	5.25727	0.377262	4.50957	0.797158	9.64052	0.652731	7.91743	0.653303	7.90485
