Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.260156	6.9547	0.0926635	4.74443	0.456433	1.45921	0.422574	5.14839	0.421818	5.14223	0.868262	-1.16622
0.264586	6.82359	0.0957236	4.77406	0.457421	1.61866	0.425893	5.17377	0.425133	5.16817	0.86753	-1.11185
0.26893	6.68694	0.0988023	4.80221	0.458514	1.78472	0.429227	5.19673	0.428463	5.19172	0.866832	-1.0565
0.273185	6.54493	0.101899	4.82879	0.459716	1.95722	0.432575	5.21728	0.431808	5.2128	0.866171	-1.00005
0.277346	6.39761	0.105011	4.85404	0.461031	2.136	0.435936	5.23544	0.435166	5.23151	0.865546	-0.942545
0.281411	6.24542	0.10814	4.87801	0.462463	2.32067	0.439307	5.25129	0.438535	5.24791	0.864959	-0.884003
0.285377	6.08878	0.111284	4.90068	0.464015	2.51085	0.442688	5.26495	0.441914	5.26203	0.86441	-0.824444
0.28924	5.92802	0.114442	4.92215	0.465691	2.70609	0.446077	5.27634	0.445302	5.27393	0.863899	-0.763809
0.292999	5.7638	0.117613	4.94248	0.467495	2.90585	0.449473	5.28553	0.448696	5.28361	0.863428	-0.702082
0.296652	5.59679	0.120797	4.9617	0.469428	3.10933	0.452873	5.29267	0.452096	5.29118	0.862996	-0.639339
0.300196	5.42761	0.123993	4.97986	0.471493	3.3159	0.456278	5.2976	0.4555	5.29668	0.862605	-0.575625
0.303631	5.25705	0.127201	4.99709	0.473691	3.52484	0.459685	5.30047	0.458906	5.30002	0.862256	-0.510818
0.306956	5.08595	0.130419	5.01328	0.476025	3.73522	0.463094	5.30132	0.462315	5.3013	0.861949	-0.444888
0.310171	4.91518	0.133647	5.02857	0.478494	3.94614	0.466502	5.30014	0.465723	5.30057	0.861684	-0.377985
0.313276	4.74557	0.136885	5.04302	0.481099	4.15666	0.469909	5.29706	0.46913	5.29793	0.861463	-0.309984
0.316273	4.57798	0.140132	5.05665	0.483839	4.36595	0.473313	5.29194	0.472536	5.2933	0.861285	-0.240954
0.319163	4.41336	0.143387	5.06946	0.486713	4.57311	0.476714	5.2849	0.475937	5.28668	0.861153	-0.17093
0.321948	4.25247	0.14665	5.08149	0.48972	4.77717	0.480109	5.27602	0.479333	5.27822	0.861066	-0.0998703
0.324631	4.09593	0.149921	5.09293	0.492856	4.97736	0.483498	5.26527	0.482724	5.26789	0.861024	-0.0277311
0.327215	3.94451	0.152777	5.10226	0.49612	5.173	0.48688	5.25267	0.486107	5.25571	0.86103	0.0455061
0.329703	3.79885	0.155216	5.10978	0.499508	5.36327	0.490252	5.2382	0.489482	5.24166	0.861083	0.119701
0.3321	3.65942	0.157235	5.11587	0.503016	5.54765	0.493615	5.222	0.492847	5.22586	0.861184	0.194961
0.334408	3.52661	0.158833	5.12045	0.506641	5.72568	0.496967	5.20413	0.496202	5.20838	0.861334	0.271184
0.336634	3.40077	0.16001	5.12361	0.510379	5.89685	0.500307	5.18443	0.499545	5.18912	0.861532	0.348378
0.338781	3.28208	0.160763	5.12564	0.514224	6.06088	0.503634	5.16306	0.502874	5.16812	0.861781	0.426667
0.340855	3.1707	0.161846	5.12864	0.518172	6.21754	0.506946	5.14007	0.50619	5.14544	0.862081	0.505868
0.342858	3.06679	0.163024	5.13174	0.522219	6.36675	0.510243	5.11543	0.509491	5.12119	0.862432	0.586048
0.344798	2.97022	0.164627	5.13576	0.526359	6.50841	0.513524	5.08917	0.512775	5.09531	0.862835	0.667123
0.346678	2.88087	0.166656	5.14068	0.530588	6.6425	0.516787	5.06138	0.516042	5.06785	0.86329	0.749138
0.348502	2.79877	0.169113	5.14636	0.5349	6.7691	0.520032	5.03213	0.519292	5.03894	0.863798	0.832079
0.350277	2.7236	0.171998	5.15274	0.539292	6.88824	0.523258	5.00132	0.522522	5.00851	0.86436	0.915811
0.352005	2.65522	0.175313	5.15947	0.543758	7.00022	0.526463	4.9691	0.525732	4.97661	0.864976	1.00038
0.353691	2.59338	0.178632	5.16575	0.548293	7.10519	0.529239	4.93992	0.528512	4.9477	0.865646	1.08577
0.355339	2.53774	0.181956	5.17165	0.552894	7.20327	0.531592	4.9143	0.530869	4.92224	0.866372	1.17197
0.356954	2.48813	0.185282	5.1771	0.557556	7.29477	0.533529	4.89248	0.532809	4.90061	0.867153	1.25882
