Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
393  Points		393  Points		374  Points		205  Points		400  Points		301  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.901653	2.63071	0.901551	2.63073	0.523964	12.1923	0.868676	19.893	0.260505	6.87596	0.647871	15.1032	0.942116	21.5876
0.899198	2.63119	0.899095	2.63121	0.52576	11.9569	0.868811	19.4524	0.262476	6.75052	0.647831	14.7596	0.94271	21.1192
0.896738	2.63166	0.896635	2.63168	0.52756	11.7321	0.86895	19.0311	0.264471	6.63193	0.647794	14.4313	0.943313	20.6715
0.894274	2.63212	0.894171	2.63214	0.529366	11.5172	0.869094	18.6279	0.266487	6.51967	0.647759	14.1172	0.943925	20.2431
0.891806	2.63258	0.891703	2.6326	0.531177	11.3115	0.869242	18.2417	0.268525	6.41324	0.647727	13.8166	0.944547	19.8328
0.889333	2.63302	0.88923	2.63304	0.532992	11.1144	0.869395	17.8713	0.270583	6.31224	0.647697	13.5286	0.945178	19.4395
0.886857	2.63345	0.886753	2.63347	0.534811	10.9254	0.869552	17.5159	0.27266	6.21626	0.647671	13.2523	0.945817	19.0621
0.884377	2.63388	0.884273	2.6339	0.5364	10.7669	0.869713	17.1746	0.274756	6.12495	0.647649	12.9872	0.946465	18.6998
0.881893	2.6343	0.881789	2.63431	0.537757	10.6362	0.86988	16.8465	0.276869	6.03799	0.64763	12.7325	0.94712	18.3516
0.879405	2.6347	0.879301	2.63472	0.538881	10.531	0.870051	16.531	0.278998	5.95507	0.647615	12.4877	0.947784	18.0168
0.876914	2.6351	0.87681	2.63512	0.539771	10.4496	0.870227	16.2272	0.281144	5.87595	0.647603	12.2521	0.948455	17.6945
0.87442	2.6355	0.874316	2.63551	0.540425	10.3907	0.870408	15.9346	0.283304	5.80035	0.647597	12.0254	0.949134	17.3841
0.871922	2.63588	0.871818	2.6359	0.540845	10.3535	0.870594	15.6526	0.285479	5.72807	0.647594	11.807	0.94982	17.085
0.869421	2.63626	0.869317	2.63628	0.541447	10.3005	0.870785	15.3806	0.287667	5.65889	0.647596	11.5964	0.950513	16.7965
0.866918	2.63663	0.866813	2.63665	0.542103	10.2436	0.870982	15.1181	0.289869	5.59261	0.647604	11.3933	0.951212	16.5182
0.864411	2.637	0.864306	2.63701	0.542996	10.1675	0.871184	14.8647	0.292082	5.52907	0.647616	11.1973	0.951918	16.2494
0.861901	2.63735	0.861796	2.63737	0.544126	10.0733	0.871391	14.6197	0.294307	5.46809	0.647631	11.032	0.95263	15.9897
0.859389	2.63771	0.859284	2.63772	0.545494	9.96215	0.871604	14.383	0.296543	5.40953	0.647647	10.895	0.953349	15.7386
0.856874	2.63805	0.856769	2.63806	0.547101	9.83559	0.871822	14.1539	0.29879	5.35324	0.647663	10.7843	0.954072	15.4958
0.854356	2.63839	0.854251	2.6384	0.548947	9.69518	0.872047	13.9323	0.301046	5.2991	0.647677	10.6983	0.954802	15.2607
0.851836	2.63872	0.851731	2.63874	0.550796	9.55967	0.872277	13.7177	0.303311	5.24699	0.647688	10.636	0.955536	15.0331
0.849314	2.63905	0.849208	2.63907	0.552648	9.42882	0.872513	13.5098	0.305586	5.19679	0.647696	10.5965	0.956275	14.8127
0.846789	2.63938	0.846684	2.63939	0.554502	9.30237	0.872755	13.3083	0.307868	5.1484	0.647707	10.5403	0.957019	14.5989
0.844262	2.63969	0.844157	2.63971	0.556358	9.18011	0.873003	13.1129	0.310158	5.10172	0.64772	10.4798	0.957768	14.3917
0.841733	2.64001	0.841627	2.64002	0.558216	9.06184	0.873258	12.9234	0.312455	5.05666	0.64774	10.3987	0.95852	14.1906
0.839202	2.64032	0.839096	2.64033	0.560075	8.94736	0.873519	12.7395	0.314759	5.01314	0.647766	10.298	0.959277	13.9954
0.836668	2.64062	0.836563	2.64064	0.561937	8.83649	0.873787	12.5609	0.317069	4.97107	0.647802	10.1788	0.960037	13.8059
0.834133	2.64092	0.834027	2.64094	0.563799	8.72906	0.874061	12.3875	0.319386	4.93039	0.647848	10.0426	0.960801	13.6218
0.831596	2.64122	0.83149	2.64123	0.565663	8.62491	0.874342	12.219	0.321707	4.89102	0.647907	9.89082	0.961568	13.4428
0.829057	2.64151	0.828951	2.64152	0.567528	8.52389	0.874629	12.0552	0.324033	4.85291	0.647974	9.74368	0.962338	13.2688
0.826517	2.6418	0.82641	2.64181	0.569394	8.42587	0.874924	11.8959	0.326364	4.81598	0.648048	9.601	0.963111	13.0996
0.823974	2.64209	0.823868	2.6421	0.57126	8.3307	0.875226	11.7411	0.328699	4.78018	0.64813	9.46258	0.963886	12.9349
0.82143	2.64237	0.821324	2.64238	0.573127	8.23826	0.875535	11.5903	0.331038	4.74545	0.648219	9.32823	0.964664	12.7746
0.818884	2.64265	0.818778	2.64266	0.574995	8.14844	0.87581	11.4623	0.33338	4.71175	0.648317	9.1978	0.965443	12.6185
0.816337	2.64292	0.816231	2.64293	0.576862	8.06113	0.87605	11.3554	0.335726	4.67903	0.648423	9.07112	0.966224	12.4664
0.813789	2.64319	0.813682	2.6432	0.57873	7.97621	0.876251	11.2687	0.338074	4.64724	0.648537	8.94804	0.967007	12.3182
0.811239	2.64346	0.811132	2.64347	0.580597	7.89359	0.876411	11.2011	0.340424	4.61634	0.64866	8.82842	0.967791	12.1737
0.808687	2.64373	0.808581	2.64374	0.582464	7.81317	0.876531	11.1519	0.342776	4.58629	0.648792	8.71212	0.968577	12.0329
0.806134	2.64399	0.806028	2.644	0.584331	7.73487	0.876608	11.1207	0.34513	4.55706	0.648934	8.59901	0.969363	11.8954
0.80358	2.64425	0.803474	2.64427	0.586197	7.65859	0.876719	11.0761	0.347485	4.52859	0.649085	8.48897	0.97015	11.7613
0.801025	2.64451	0.800918	2.64452	0.588062	7.58427	0.876841	11.0281	0.349841	4.50087	0.649246	8.38189	0.970836	11.6471
0.798469	2.64477	0.798362	2.64478	0.589927	7.51182	0.877009	10.9635	0.352197	4.47386	0.649417	8.27765	0.971422	11.5516
0.795911	2.64502	0.795804	2.64504	0.59179	7.44117	0.877223	10.8829	0.354554	4.44753	0.649598	8.17616	0.971906	11.4739
0.793352	2.64528	0.793245	2.64529	0.593652	7.37225	0.877487	10.7872	0.356911	4.42185	0.64979	8.07731	0.972288	11.4132
0.790793	2.64553	0.790686	2.64554	0.595513	7.305	0.877802	10.6771	0.359268	4.39679	0.649992	7.98101	0.97257	11.369
0.788232	2.64578	0.788125	2.64579	0.597372	7.23936	0.87817	10.5537	0.361624	4.37233	0.650205	7.88717	0.97275	11.3409
0.78567	2.64602	0.785563	2.64604	0.599229	7.17526	0.878548	10.4334	0.363979	4.34844	0.65043	7.79571	0.973009	11.3008
0.783107	2.64627	0.783	2.64628	0.601084	7.11264	0.878933	10.3159	0.366333	4.32509	0.650666	7.70654	0.97329	11.2576
0.780544	2.64652	0.780437	2.64653	0.602938	7.05146	0.879327	10.2013	0.368686	4.30228	0.650914	7.61959	0.973672	11.1994
0.777979	2.64676	0.777872	2.64677	0.604789	6.99167	0.87973	10.0894	0.371036	4.27996	0.651174	7.53478	0.974156	11.1266
0.775414	2.647	0.775307	2.64701	0.606637	6.93321	0.880142	9.98011	0.373385	4.25814	0.651446	7.45204	0.974741	11.04
0.772848	2.64724	0.77274	2.64725	0.608483	6.87603	0.880563	9.87337	0.375732	4.23677	0.65173	7.37131	0.975426	10.9402
0.770281	2.64748	0.770173	2.64749	0.610327	6.8201	0.880993	9.76909	0.378076	4.21585	0.652028	7.29252	0.976212	10.8281
0.767713	2.64772	0.767606	2.64773	0.612167	6.76537	0.881432	9.66719	0.380417	4.19536	0.652338	7.21561	0.976997	10.7183
0.765144	2.64796	0.765037	2.64797	0.614005	6.7118	0.88188	9.56759	0.382755	4.17528	0.652662	7.14052	0.97778	10.611
0.762575	2.64819	0.762468	2.6482	0.615839	6.65934	0.882338	9.47022	0.38509	4.1556	0.652999	7.06719	0.978563	10.5059
0.760006	2.64843	0.759898	2.64844	0.61767	6.60797	0.882806	9.37502	0.387421	4.1363	0.653349	6.99558	0.979343	10.4031
0.757435	2.64867	0.757328	2.64868	0.619498	6.55765	0.883283	9.28191	0.389748	4.11736	0.653714	6.92562	0.980123	10.3023
0.754864	2.6489	0.754757	2.64891	0.621322	6.50834	0.883771	9.19084	0.392071	4.09877	0.654093	6.85728	0.9809	10.2037
0.752293	2.64914	0.752185	2.64915	0.623142	6.46	0.884268	9.10173	0.394389	4.08052	0.654486	6.7905	0.981676	10.107
0.74972	2.64937	0.749613	2.64938	0.624958	6.41261	0.884776	9.01454	0.396704	4.0626	0.654894	6.72523	0.98245	10.0123
0.747148	2.64961	0.74704	2.64962	0.62677	6.36615	0.885294	8.9292	0.399013	4.04499	0.655317	6.66144	0.983221	9.9195
0.744575	2.64984	0.744467	2.64985	0.628578	6.32056	0.885822	8.84567	0.401317	4.02767	0.655755	6.59908	0.98399	9.8285
0.742001	2.65008	0.741894	2.65009	0.630381	6.27584	0.886361	8.76388	0.403615	4.01065	0.656209	6.53811	0.984757	9.73927
0.739427	2.65031	0.73932	2.65032	0.63218	6.23195	0.886911	8.6838	0.405908	3.99391	0.656678	6.4785	0.985521	9.65175
0.736853	2.65055	0.736745	2.65056	0.633974	6.18887	0.887471	8.60537	0.408196	3.97743	0.657164	6.4202	0.986283	9.5659
0.734278	2.65078	0.73417	2.65079	0.635763	6.14658	0.888043	8.52854	0.410477	3.96122	0.657665	6.36318	0.987042	9.48166
0.731703	2.65102	0.731595	2.65103	0.637548	6.10504	0.888626	8.45328	0.412751	3.94525	0.658183	6.30741	0.987798	9.399
0.729127	2.65125	0.72902	2.65126	0.639327	6.06423	0.88922	8.37953	0.41502	3.92952	0.658717	6.25284	0.988552	9.31786
0.726551	2.65149	0.726444	2.6515	0.6411	6.02415	0.889825	8.30727	0.417281	3.91402	0.659269	6.19946	0.989302	9.2382
0.723975	2.65173	0.723868	2.65174	0.642869	5.98475	0.890442	8.23644	0.419535	3.89874	0.659837	6.14723	0.99005	9.15999
0.721399	2.65197	0.721291	2.65198	0.644632	5.94603	0.891071	8.16701	0.421783	3.88368	0.660423	6.09612	0.990794	9.08317
0.718822	2.65221	0.718714	2.65222	0.646389	5.90795	0.891712	8.09895	0.424022	3.86882	0.661027	6.04611	0.991536	9.00772
0.716245	2.65245	0.716138	2.65246	0.64814	5.87052	0.892364	8.03221	0.426255	3.85416	0.661648	5.99715	0.992274	8.93359
0.713668	2.65269	0.713561	2.6527	0.649885	5.8337	0.893028	7.96677	0.428479	3.83969	0.662287	5.94924	0.993009	8.86074
0.711091	2.65293	0.710983	2.65294	0.651624	5.79747	0.893705	7.90258	0.430695	3.8254	0.662944	5.90233	0.99374	8.78916
0.708514	2.65317	0.708406	2.65318	0.653357	5.76183	0.894394	7.83963	0.432903	3.8113	0.66362	5.85642	0.994469	8.7188
0.705936	2.65342	0.705828	2.65343	0.655083	5.72675	0.895095	7.77787	0.435102	3.79736	0.664315	5.81146	0.995194	8.64962
0.703358	2.65366	0.703251	2.65367	0.656803	5.69222	0.895809	7.71728	0.437293	3.78359	0.665028	5.76745	0.995916	8.58161
0.700781	2.65391	0.700673	2.65392	0.658516	5.65823	0.896535	7.65783	0.439474	3.76998	0.665761	5.72436	0.996635	8.51472
0.698203	2.65416	0.698095	2.65417	0.660222	5.62475	0.897274	7.59949	0.441647	3.75652	0.666512	5.68216	0.99735	8.44893
0.695625	2.65441	0.695518	2.65442	0.661922	5.59178	0.898026	7.54223	0.44381	3.74321	0.667283	5.64083	0.998062	8.38422
0.693047	2.65466	0.69294	2.65468	0.663614	5.5593	0.898791	7.48603	0.445964	3.73004	0.668074	5.60036	0.998771	8.32056
0.69047	2.65492	0.690362	2.65493	0.6653	5.5273	0.899569	7.43087	0.448109	3.71701	0.668885	5.56073	0.999476	8.25791
