Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
389  Points		390  Points		366  Points		199  Points		400  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.879479	2.55667	0.880312	2.55616	0.550443	1.72114	0.871122	0.219386	0.274001	2.11588	0.650491	0.0740499
0.876932	2.55818	0.877765	2.5577	0.551497	1.72548	0.871344	0.224957	0.276118	2.13378	0.650567	0.0783171
0.874383	2.55964	0.875216	2.55914	0.552333	1.72873	0.87157	0.230553	0.278252	2.15083	0.650647	0.0826918
0.871833	2.56101	0.872667	2.56055	0.552948	1.73122	0.871803	0.236285	0.280402	2.16706	0.650732	0.0872814
0.869281	2.56234	0.870116	2.5619	0.553342	1.73277	0.872041	0.242116	0.282568	2.18251	0.650821	0.092041
0.866728	2.56363	0.867563	2.56321	0.55391	1.73489	0.872285	0.247971	0.28475	2.19725	0.650915	0.0968803
0.864174	2.56491	0.86501	2.56452	0.554527	1.73714	0.872535	0.253876	0.286945	2.21133	0.651014	0.101966
0.861619	2.56616	0.862455	2.56576	0.555368	1.74011	0.872791	0.259878	0.289155	2.22466	0.651105	0.106526
0.859062	2.56729	0.859899	2.56693	0.556434	1.74394	0.873053	0.265991	0.291377	2.23735	0.651185	0.110382
0.856505	2.56841	0.857341	2.56806	0.557726	1.74833	0.873321	0.27215	0.293612	2.24945	0.651253	0.113798
0.853946	2.56953	0.854783	2.56921	0.559246	1.75326	0.873595	0.278402	0.295858	2.26088	0.651309	0.116495
0.851386	2.57064	0.852223	2.57028	0.560995	1.75865	0.873875	0.284753	0.298115	2.27175	0.651351	0.118513
0.848825	2.57164	0.849663	2.5713	0.562749	1.76377	0.874162	0.291129	0.300384	2.28208	0.651378	0.119802
0.846263	2.57261	0.847101	2.57231	0.564509	1.76863	0.874455	0.297641	0.302662	2.29179	0.651418	0.121633
0.8437	2.57359	0.844539	2.57328	0.566272	1.77326	0.874755	0.304253	0.304949	2.30098	0.651461	0.123719
0.841137	2.57452	0.841975	2.57417	0.568041	1.77762	0.875061	0.310889	0.307245	2.30974	0.651522	0.126538
0.838572	2.57542	0.839411	2.5751	0.569814	1.78166	0.875374	0.317662	0.30955	2.31797	0.6516	0.130163
0.836006	2.57627	0.836845	2.576	0.57159	1.7855	0.875694	0.324535	0.311863	2.32564	0.651698	0.134676
0.83344	2.5771	0.834279	2.57684	0.57337	1.78916	0.876021	0.331435	0.314183	2.33294	0.651817	0.140105
0.830872	2.57789	0.831712	2.57766	0.575154	1.79259	0.876354	0.338475	0.31651	2.3398	0.65196	0.146438
0.828304	2.57869	0.829144	2.57842	0.576941	1.79573	0.876695	0.345623	0.318844	2.34618	0.652109	0.152984
0.825736	2.57943	0.826576	2.57918	0.578731	1.79865	0.877043	0.352813	0.321184	2.35214	0.652265	0.15968
0.823166	2.58013	0.824007	2.57991	0.580524	1.8014	0.877398	0.360085	0.323529	2.35772	0.652427	0.166538
0.820596	2.58084	0.821437	2.5806	0.58232	1.80391	0.877713	0.366597	0.32588	2.36289	0.652597	0.173606
0.818025	2.58148	0.818866	2.58128	0.584118	1.8062	0.877987	0.372157	0.328236	2.36764	0.652773	0.180867
0.815453	2.58214	0.816294	2.58194	0.585918	1.8083	0.878216	0.376711	0.330597	2.37206	0.652957	0.188267
0.812881	2.58277	0.813723	2.58258	0.58772	1.81022	0.878399	0.380416	0.332962	2.37613	0.653148	0.195867
0.810308	2.58335	0.81115	2.58315	0.589524	1.81191	0.878535	0.38322	0.33533	2.37981	0.653347	0.203697
0.807735	2.58388	0.808577	2.5837	0.591329	1.81341	0.878622	0.384965	0.337702	2.38312	0.653554	0.211685
0.805161	2.58444	0.806003	2.58426	0.593136	1.81477	0.878748	0.387419	0.340078	2.38617	0.653769	0.219839
0.802587	2.58495	0.803429	2.58479	0.594944	1.81588	0.878887	0.39018	0.342456	2.38886	0.653992	0.228205
0.800012	2.58546	0.800854	2.58533	0.596754	1.81678	0.879076	0.394041	0.344836	2.39116	0.654223	0.236721
0.797436	2.58594	0.798279	2.58581	0.598564	1.81749	0.879319	0.398853	0.347219	2.39317	0.654463	0.245486
0.794861	2.58638	0.795703	2.58624	0.600374	1.81806	0.879616	0.404659	0.349604	2.39496	0.654712	0.254461
0.792284	2.58684	0.793127	2.58667	0.602185	1.81848	0.879971	0.411665	0.35199	2.39637	0.65497	0.263542
0.789707	2.58724	0.79055	2.58709	0.603997	1.81864	0.880385	0.419759	0.354377	2.39747	0.655237	0.272849
0.78713	2.5876	0.787973	2.58749	0.605808	1.81868	0.880807	0.427923	0.356766	2.39832	0.655514	0.282399
0.784553	2.58797	0.785396	2.58788	0.60762	1.81853	0.881237	0.436207	0.359155	2.39888	0.6558	0.292113
0.781975	2.58837	0.782818	2.58821	0.609431	1.81815	0.881676	0.444596	0.361544	2.39916	0.656096	0.30204
0.779397	2.58864	0.78024	2.58852	0.611241	1.81765	0.882123	0.45308	0.363934	2.39917	0.656402	0.31216
0.776818	2.58894	0.777662	2.58889	0.613052	1.81697	0.882578	0.461699	0.366324	2.39891	0.656718	0.322463
0.774239	2.58926	0.775083	2.58919	0.614861	1.81611	0.883042	0.470428	0.368713	2.39835	0.657044	0.332944
0.77166	2.58956	0.772504	2.58944	0.616669	1.81512	0.883515	0.479255	0.371101	2.39751	0.657381	0.343688
0.769081	2.58981	0.769924	2.5897	0.618477	1.81393	0.883997	0.488175	0.373489	2.39648	0.657729	0.354606
0.766501	2.58998	0.767345	2.58994	0.620283	1.81251	0.884488	0.497229	0.375875	2.39518	0.658087	0.365698
