Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
409  Points		409  Points		379  Points		219  Points		400  Points		329  Points		210  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.918702	1.94958	0.918238	1.94946	0.49472	1.86723	0.864436	-0.0526874	0.256298	1.8901	0.944719	1.50546	0.83104	0.993428
0.916761	1.94902	0.916297	1.94889	0.496582	1.87181	0.864383	-0.0516502	0.258193	1.91507	0.943214	1.51635	0.832037	1.00855
0.91482	1.9487	0.914356	1.94862	0.498449	1.87611	0.864333	-0.0504426	0.260113	1.93887	0.941698	1.52749	0.833049	1.02319
0.912879	1.94865	0.912415	1.94868	0.50032	1.88021	0.864283	-0.0491539	0.262056	1.96155	0.940171	1.53884	0.834075	1.03739
0.910938	1.94891	0.910474	1.94906	0.502194	1.884	0.864235	-0.0477031	0.26402	1.98321	0.938633	1.55045	0.835115	1.05114
0.908996	1.94952	0.908533	1.94973	0.504073	1.88759	0.864188	-0.0460148	0.266006	2.00374	0.937083	1.56223	0.836169	1.06444
0.907054	1.95047	0.90659	1.95073	0.505954	1.89094	0.864143	-0.044198	0.268012	2.02328	0.935521	1.57418	0.837236	1.07734
0.905111	1.95168	0.904647	1.95203	0.507839	1.89402	0.8641	-0.0422977	0.270037	2.04185	0.933947	1.58638	0.838315	1.08979
0.903166	1.95323	0.902702	1.95369	0.509727	1.89688	0.864059	-0.0401436	0.272079	2.05945	0.932361	1.59881	0.839407	1.10179
0.90122	1.9552	0.900755	1.9557	0.511618	1.89948	0.86402	-0.0378286	0.274139	2.07623	0.930762	1.61137	0.84051	1.11338
0.899272	1.95751	0.898806	1.95808	0.513511	1.9019	0.863983	-0.0353653	0.276215	2.09207	0.929151	1.62411	0.841625	1.12462
0.897321	1.96012	0.896854	1.96084	0.515407	1.90415	0.86395	-0.0326917	0.278307	2.10705	0.927527	1.63701	0.84275	1.13538
0.895367	1.96318	0.8949	1.96394	0.517304	1.90613	0.863918	-0.0298578	0.280413	2.12121	0.92589	1.65007	0.843886	1.14574
0.89341	1.9666	0.892942	1.96744	0.519204	1.90784	0.86389	-0.0268765	0.282532	2.13458	0.92424	1.66328	0.845033	1.15572
0.891449	1.97034	0.89098	1.97134	0.52086	1.90927	0.863865	-0.0236871	0.284665	2.14724	0.922577	1.67661	0.846189	1.16526
0.889485	1.97451	0.889015	1.97558	0.522274	1.91034	0.863843	-0.0203414	0.28681	2.15912	0.9209	1.6901	0.847354	1.17447
0.887516	1.97914	0.887045	1.98024	0.523443	1.9111	0.863824	-0.0167698	0.288966	2.1703	0.91921	1.70365	0.848528	1.18326
0.885542	1.98406	0.88507	1.98532	0.524367	1.91155	0.863809	-0.0130064	0.291133	2.18079	0.917506	1.71733	0.849711	1.19167
0.883564	1.98939	0.88309	1.99079	0.525047	1.91201	0.863798	-0.00911929	0.29331	2.19058	0.915789	1.73107	0.850902	1.19973
0.881579	1.99521	0.881104	1.99663	0.525483	1.91228	0.863791	-0.00498493	0.295497	2.19972	0.914058	1.74486	0.852101	1.20744
0.879589	2.00137	0.879113	2.00286	0.526109	1.9126	0.863788	-0.00070263	0.297692	2.20828	0.912313	1.75874	0.853307	1.21472
0.877593	2.0079	0.877115	2.00949	0.526789	1.91299	0.86379	0.00378889	0.299896	2.21624	0.910554	1.77265	0.854521	1.22165
0.875589	2.01479	0.87511	2.01652	0.527715	1.91329	0.863796	0.00852554	0.302107	2.22352	0.908782	1.78659	0.855741	1.22823
0.873579	2.02209	0.873098	2.02392	0.528885	1.91366	0.863807	0.0134058	0.304325	2.23032	0.906995	1.80053	0.856967	1.23447
0.871561	2.02983	0.871078	2.03168	0.530301	1.91406	0.863823	0.0184865	0.30655	2.23653	0.905195	1.81445	0.8582	1.24035
