Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
397  Points		397  Points		376  Points		209  Points		400  Points		305  Points		154  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.00192	2.0586	1.00075	2.05954	0.447063	0.345545	0.866026	0.0015523	0.216512	0.0657823	1.00023	1.6482	0.894039	0.0121259
0.999872	2.05948	0.998703	2.06061	0.447407	0.49778	0.866027	0.00225708	0.216577	0.102675	0.99859	1.65311	0.894051	0.0214199
0.99782	2.06149	0.996649	2.06278	0.448055	0.771108	0.86603	0.00367815	0.216716	0.176348	0.996938	1.66297	0.894082	0.0400291
0.995765	2.0638	0.994594	2.06522	0.448943	0.983079	0.866034	0.00513371	0.216929	0.249685	0.995277	1.673	0.894131	0.0586152
0.993709	2.06633	0.992535	2.06793	0.450013	1.1408	0.86604	0.00657159	0.217214	0.322523	0.993606	1.68317	0.894199	0.0771552
0.991649	2.06922	0.990474	2.07093	0.451216	1.257	0.866048	0.00806076	0.217571	0.394711	0.991924	1.69353	0.894285	0.0956898
0.989587	2.07232	0.98841	2.07424	0.452517	1.34338	0.866056	0.00956585	0.218	0.466032	0.990232	1.70405	0.894389	0.114213
0.987521	2.07574	0.986342	2.07783	0.453892	1.40886	0.866067	0.0110161	0.2185	0.536399	0.988529	1.71467	0.894512	0.132628
0.985452	2.07946	0.984271	2.08172	0.455324	1.45982	0.866078	0.0125301	0.219069	0.605723	0.986816	1.72543	0.894653	0.150999
0.983379	2.08344	0.982196	2.08586	0.4568	1.50048	0.866092	0.0140849	0.219706	0.673916	0.985092	1.7363	0.894813	0.169283
0.981301	2.08776	0.980116	2.09031	0.458313	1.53371	0.866106	0.0156344	0.220411	0.740799	0.983357	1.74737	0.894991	0.187477
0.97922	2.09232	0.978032	2.09507	0.459855	1.56151	0.866123	0.0171737	0.221182	0.806276	0.981611	1.7585	0.895186	0.205667
0.977133	2.09719	0.975942	2.10008	0.461423	1.58521	0.866141	0.0187789	0.222017	0.870328	0.979854	1.76967	0.8954	0.223674
0.975042	2.10234	0.973848	2.10541	0.463013	1.60583	0.86616	0.0204295	0.222916	0.932829	0.978086	1.78101	0.895632	0.241577
0.972946	2.1078	0.971748	2.11104	0.464622	1.62404	0.866181	0.022084	0.223875	0.993788	0.976307	1.79243	0.895882	0.259443
0.970843	2.11351	0.969643	2.11685	0.466248	1.64033	0.866204	0.0237465	0.224895	1.05314	0.974516	1.80391	0.896149	0.27715
0.968735	2.11946	0.967531	2.12301	0.46789	1.65507	0.866229	0.025425	0.225973	1.11074	0.972713	1.81544	0.896434	0.294712
0.966621	2.12575	0.965414	2.12944	0.469545	1.66861	0.866255	0.027222	0.227108	1.16667	0.970899	1.82705	0.896736	0.312156
0.964501	2.13225	0.963289	2.13605	0.471214	1.68112	0.866283	0.0289963	0.228297	1.22089	0.969074	1.83874	0.897055	0.329453
0.962374	2.13901	0.961158	2.14296	0.472894	1.69272	0.866313	0.0308115	0.22954	1.27336	0.967236	1.85043	0.897392	0.346628
0.96024	2.14604	0.959021	2.1501	0.474586	1.70361	0.866344	0.0327087	0.230834	1.32412	0.965387	1.8622	0.897746	0.363645
0.958099	2.15325	0.956875	2.15744	0.476288	1.71385	0.866378	0.0345965	0.232178	1.37314	0.963527	1.87395	0.898117	0.380435
0.95595	2.16066	0.954723	2.16502	0.478	1.72351	0.866413	0.0365523	0.233569	1.42048	0.961654	1.88566	0.898504	0.397114
0.953795	2.16827	0.952563	2.17273	0.479721	1.7327	0.866451	0.0385573	0.23482	1.46033	0.95977	1.89746	0.898908	0.413661
0.951631	2.17612	0.950395	2.18061	0.481451	1.74144	0.86649	0.0405741	0.235913	1.49336	0.957875	1.9092	0.899328	0.429941
0.94946	2.18412	0.948219	2.18874	0.48319	1.74974	0.866531	0.0427013	0.236835	1.51997	0.955967	1.92088	0.899764	0.446037
0.94728	2.19224	0.946035	2.19694	0.484937	1.75768	0.866575	0.0448756	0.237575	1.54057	0.954048	1.93264	0.900216	0.462023
0.945093	2.2005	0.943842	2.20528	0.486692	1.76533	0.866621	0.0470578	0.238126	1.55559	0.952117	1.94429	0.900684	0.47779
0.942897	2.20886	0.941642	2.21373	0.488454	1.77266	0.866669	0.0493423	0.238481	1.56498	0.950175	1.95588	0.901168	0.493291
0.940692	2.21736	0.939432	2.22223	0.490223	1.77968	0.866719	0.0516581	0.238995	1.57817	0.948221	1.96746	0.901667	0.508607
0.93848	2.22596	0.937215	2.23082	0.491999	1.78644	0.866772	0.0540366	0.239559	1.59251	0.946256	1.97891	0.902181	0.523728
0.936258	2.23457	0.934989	2.2395	0.493781	1.79294	0.866827	0.0565403	0.240334	1.61178	0.944279	1.99028	0.90271	0.538629
0.934028	2.24322	0.932754	2.24821	0.49557	1.79918	0.866884	0.0590345	0.241328	1.63544	0.942291	2.00159	0.903254	0.553266
0.93179	2.25193	0.93051	2.25686	0.497365	1.80516	0.866944	0.0615964	0.242548	1.66326	0.940292	2.01277	0.903813	0.567721
0.929542	2.26061	0.928258	2.26558	0.499166	1.81097	0.867007	0.0642938	0.244006	1.69488	0.938281	2.02386	0.904385	0.581985
0.927286	2.26929	0.925997	2.27427	0.500973	1.81652	0.867072	0.067002	0.245712	1.72983	0.93626	2.03487	0.904972	0.595955
0.925022	2.27798	0.923727	2.28289	0.502785	1.82191	0.86714	0.0698185	0.247452	1.76342	0.934228	2.0457	0.905572	0.609682
0.922748	2.28662	0.921449	2.29148	0.504602	1.82705	0.867211	0.0726784	0.249225	1.79555	0.932185	2.05636	0.906186	0.623183
0.920467	2.29514	0.919163	2.29999	0.506425	1.83197	0.867285	0.075625	0.251029	1.82627	0.930131	2.06693	0.906814	0.636405
0.918176	2.30361	0.916868	2.30842	0.508252	1.83678	0.867362	0.0786584	0.252863	1.85571	0.928068	2.07733	0.907454	0.649418
0.915878	2.31205	0.914564	2.31679	0.510083	1.84136	0.867442	0.0817788	0.254725	1.8839	0.925993	2.08756	0.908107	0.662184
0.913571	2.32035	0.912252	2.32504	0.51192	1.84576	0.867525	0.0849863	0.256616	1.91087	0.923909	2.09762	0.908773	0.67463
0.911255	2.32854	0.909933	2.33314	0.51376	1.84997	0.867611	0.0882816	0.258532	1.93666	0.921815	2.10751	0.909451	0.68687
0.908932	2.3366	0.907605	2.3411	0.515605	1.85397	0.867701	0.0916657	0.260473	1.96125	0.919711	2.11724	0.910142	0.69887
0.906601	2.3445	0.905269	2.34897	0.517454	1.85782	0.867794	0.0950542	0.262439	1.98473	0.917597	2.12674	0.910844	0.710565
0.904262	2.35232	0.902925	2.35673	0.519306	1.86152	0.86789	0.0986247	0.264427	2.00717	0.915474	2.13602	0.911557	0.721996
0.901915	2.35999	0.900574	2.36428	0.521162	1.86502	0.86799	0.102299	0.266437	2.02857	0.913342	2.14514	0.912282	0.733158
0.899561	2.36744	0.898216	2.37167	0.523021	1.86838	0.868094	0.106008	0.268468	2.04898	0.911201	2.15402	0.913018	0.744042
0.897199	2.37481	0.89585	2.3789	0.524884	1.87154	0.868201	0.109873	0.270519	2.06846	0.909051	2.16268	0.913764	0.754719
0.89483	2.38199	0.893477	2.386	0.526749	1.8745	0.868313	0.11379	0.272589	2.08699	0.906893	2.17117	0.914521	0.765066
0.892454	2.389	0.891097	2.39292	0.528618	1.87737	0.868428	0.117812	0.274676	2.10462	0.904726	2.17938	0.915288	0.7751
0.890071	2.39583	0.88871	2.39965	0.530248	1.87972	0.868548	0.121954	0.276781	2.12141	0.902551	2.1874	0.916065	0.784944
0.887681	2.40247	0.886317	2.40618	0.53164	1.88155	0.868671	0.126166	0.278902	2.13738	0.900369	2.19512	0.916852	0.794491
0.885285	2.40898	0.883917	2.41256	0.532791	1.88312	0.868799	0.130517	0.281039	2.15252	0.898179	2.20259	0.917648	0.803706
0.882882	2.41533	0.881511	2.41884	0.533703	1.88422	0.868931	0.134973	0.28319	2.16694	0.895981	2.20991	0.918453	0.81269
0.880474	2.42143	0.879098	2.42488	0.534373	1.88505	0.869068	0.139551	0.285356	2.18064	0.893776	2.21691	0.919267	0.821385
0.878059	2.42741	0.87668	2.43073	0.534802	1.88564	0.869209	0.144201	0.287534	2.19356	0.891565	2.22364	0.920089	0.829763
0.875638	2.43322	0.874256	2.43645	0.53542	1.88635	0.869355	0.148994	0.289725	2.20583	0.889347	2.23016	0.92092	0.837853
0.873212	2.43886	0.871827	2.44199	0.536091	1.88704	0.869506	0.153901	0.291928	2.21742	0.887122	2.23636	0.921758	0.845714
0.87078	2.44432	0.869392	2.44736	0.537004	1.88802	0.869662	0.158862	0.294142	2.22838	0.884892	2.24235	0.922604	0.853288
0.868343	2.44961	0.866951	2.45256	0.53816	1.8893	0.869822	0.164017	0.296367	2.23875	0.882655	2.24808	0.923458	0.86055
0.8659	2.45473	0.864506	2.45758	0.539558	1.89066	0.869988	0.169301	0.298602	2.24849	0.880413	2.25347	0.924318	0.867536
0.863453	2.45968	0.862056	2.4625	0.5412	1.89211	0.87016	0.17467	0.300846	2.25764	0.878166	2.25863	0.925186	0.874227
0.861	2.46455	0.859601	2.46723	0.543085	1.8937	0.870336	0.180122	0.303099	2.26629	0.875914	2.26349	0.92606	0.880677
0.858543	2.4692	0.857141	2.47174	0.544972	1.89519	0.870518	0.185738	0.305361	2.27435	0.873657	2.2681	0.92694	0.886818
0.856081	2.47372	0.854677	2.47619	0.54686	1.89645	0.870706	0.191511	0.30763	2.28188	0.871396	2.27246	0.927827	0.892685
0.853615	2.47807	0.852208	2.48048	0.54875	1.89752	0.8709	0.197338	0.309907	2.28894	0.869131	2.27649	0.928719	0.898268
0.851145	2.48228	0.849735	2.48464	0.55064	1.89844	0.871099	0.203359	0.31219	2.29551	0.866861	2.28023	0.929616	0.90354
0.84867	2.48636	0.847259	2.48864	0.552532	1.89925	0.871305	0.209507	0.314479	2.30156	0.864588	2.28372	0.930518	0.908537
0.846192	2.49028	0.844778	2.49248	0.554424	1.89991	0.871517	0.215737	0.316775	2.30715	0.862312	2.28689	0.931426	0.913246
0.84371	2.49413	0.842294	2.49624	0.556316	1.90038	0.871735	0.22213	0.319075	2.31232	0.860033	2.28977	0.932338	0.917723
0.841224	2.49784	0.839805	2.49988	0.558209	1.90069	0.871959	0.228678	0.321381	2.31703	0.857751	2.2924	0.933254	0.921911
0.838734	2.50137	0.837314	2.50334	0.560103	1.90085	0.87219	0.235359	0.323691	2.3213	0.855466	2.29471	0.934174	0.925782
0.836241	2.50477	0.834819	2.50671	0.561996	1.90085	0.872428	0.242137	0.326005	2.32516	0.853179	2.29674	0.935098	0.929449
0.833744	2.50812	0.83232	2.50999	0.563889	1.90067	0.872673	0.249106	0.328323	2.32865	0.850891	2.29846	0.936026	0.932798
0.831244	2.51136	0.829819	2.51307	0.565782	1.90036	0.872924	0.256197	0.330644	2.3317	0.848601	2.2999	0.936956	0.935855
0.828742	2.51445	0.827314	2.51612	0.567675	1.89991	0.873183	0.263359	0.332968	2.33435	0.846309	2.30104	0.93789	0.938676
0.826236	2.51741	0.824806	2.5191	0.569567	1.89925	0.873449	0.270751	0.335294	2.33667	0.844017	2.30186	0.938826	0.9412
0.823727	2.52032	0.822296	2.52194	0.571458	1.89844	0.873722	0.278256	0.337622	2.33861	0.841724	2.30236	0.939765	0.943473
0.821215	2.5231	0.819783	2.52466	0.573349	1.89752	0.873967	0.284946	0.339953	2.34019	0.839431	2.30259	0.940706	0.945506
0.818701	2.5258	0.817267	2.52725	0.575238	1.8964	0.87418	0.290717	0.342284	2.34136	0.837137	2.30253	0.941648	0.947232
0.816183	2.52842	0.814748	2.52983	0.577126	1.89511	0.874359	0.29544	0.344617	2.34221	0.834844	2.30215	0.942593	0.948692
0.813664	2.53088	0.812227	2.53231	0.579013	1.89369	0.874503	0.299328	0.34695	2.34272	0.832551	2.30147	0.943538	0.949965
0.811142	2.53331	0.809704	2.53466	0.580899	1.89206	0.87461	0.302402	0.349283	2.34289	0.830259	2.30047	0.944485	0.95095
0.808617	2.53564	0.807178	2.53693	0.582782	1.8903	0.874679	0.304167	0.351617	2.34276	0.827968	2.29916	0.945433	0.951708
0.806091	2.53788	0.80465	2.53914	0.584664	1.88842	0.874779	0.306686	0.35395	2.34226	0.825679	2.29757	0.946259	0.952168
0.803562	2.54011	0.80212	2.54129	0.586544	1.88635	0.874888	0.30965	0.356283	2.34145	0.823392	2.29569	0.946963	0.952355
0.801031	2.54222	0.799588	2.54336	0.588422	1.88411	0.875039	0.3136	0.358615	2.34031	0.821106	2.29341	0.947546	0.952408
0.798498	2.54419	0.797053	2.54532	0.590297	1.88173	0.875233	0.318731	0.360945	2.33887	0.818823	2.29083	0.948007	0.952408
0.795963	2.54614	0.794517	2.54725	0.59217	1.87915	0.875471	0.324949	0.363274	2.33715	0.816543	2.28803	0.948346	0.952408
0.793426	2.54805	0.791979	2.54911	0.594041	1.87643	0.875756	0.332385	0.365601	2.33512	0.814265	2.28484	0.948563	0.952408
0.790887	2.54987	0.789439	2.55085	0.595908	1.87356	0.876091	0.341035	0.367925	2.33277	0.811991	2.28133	0.948874	0.952408
0.788346	2.55161	0.786898	2.55259	0.597773	1.87051	0.876435	0.349867	0.370248	2.33012	0.809721	2.27751	0.949213	0.952257
0.785804	2.55327	0.784354	2.55424	0.599634	1.86735	0.876788	0.358832	0.372567	2.32719	0.807454	2.27335	0.949674	0.952011
0.78326	2.55493	0.781809	2.55583	0.601493	1.86399	0.87715	0.367908	0.374884	2.32395	0.805192	2.26892	0.950256	0.951723
0.780714	2.55653	0.779263	2.55734	0.603348	1.86044	0.877521	0.377169	0.377197	2.32046	0.802934	2.26414	0.95096	0.951156
0.778167	2.55799	0.776715	2.55882	0.605199	1.85677	0.877902	0.386609	0.379506	2.31664	0.800682	2.25899	0.951785	0.95042
0.775619	2.55944	0.774166	2.56029	0.607046	1.85293	0.878291	0.396182	0.381811	2.31256	0.798434	2.25354	0.952732	0.94933
0.773069	2.56087	0.771615	2.56167	0.60889	1.84889	0.878691	0.405952	0.384113	2.30823	0.796193	2.24777	0.953676	0.948048
0.770517	2.56226	0.769063	2.56297	0.610729	1.84475	0.8791	0.41582	0.386409	2.30359	0.793957	2.24168	0.95462	0.946584
0.767964	2.56356	0.766509	2.56426	0.612565	1.84043	0.879519	0.425823	0.388702	2.29867	0.791727	2.23521	0.955562	0.944856
0.765411	2.56476	0.763955	2.56547	0.614396	1.83592	0.879948	0.436068	0.390989	2.29348	0.789504	2.22843	0.956502	0.942951
