Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
479  Points		492  Points		480  Points		270  Points		136  Points		409  Points		154  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.2669	6.68141	0.0677884	1.85614	0.248623	7.09408	0.361948	9.14816	0.449081	11.2405	0.335373	8.42035	0.499413	12.6917
0.269643	6.59624	0.0699003	1.86635	0.251123	7.05028	0.367245	9.06849	0.454175	11.1089	0.341406	8.37588	0.502743	12.4808
0.272191	6.51017	0.0720112	1.87605	0.254012	6.99546	0.372734	8.99705	0.459337	10.9848	0.347422	8.33301	0.506114	12.2805
0.27456	6.42369	0.0741211	1.88526	0.257217	6.92879	0.378398	8.93287	0.464565	10.8677	0.353419	8.29156	0.509526	12.0899
0.276769	6.33724	0.07623	1.89401	0.260655	6.84951	0.384219	8.87507	0.469858	10.7571	0.359393	8.25134	0.512979	11.9086
0.278834	6.25117	0.078338	1.90235	0.263849	6.76774	0.390178	8.82285	0.475212	10.6524	0.365339	8.2122	0.516472	11.7359
0.280772	6.16582	0.0804449	1.91029	0.266812	6.68401	0.396261	8.77551	0.480625	10.5534	0.371254	8.17397	0.520005	11.5712
0.282596	6.08146	0.0825509	1.91787	0.269562	6.59887	0.402451	8.73241	0.486095	10.4595	0.377134	8.13653	0.523579	11.4141
0.28432	5.99829	0.0846559	1.9251	0.272115	6.51283	0.408734	8.69301	0.49162	10.3705	0.382975	8.09972	0.527192	11.264
0.285956	5.91651	0.0867599	1.93202	0.27449	6.42636	0.415097	8.65681	0.497199	10.286	0.388772	8.06344	0.530846	11.1207
0.287514	5.83624	0.088863	1.93863	0.276703	6.33989	0.42153	8.6234	0.502829	10.2058	0.394522	8.02757	0.534541	10.9838
0.289004	5.75758	0.0909652	1.94496	0.278773	6.25381	0.42802	8.5924	0.508509	10.1295	0.400219	7.99199	0.538279	10.8528
0.290433	5.68062	0.0930665	1.95102	0.280714	6.16843	0.434558	8.56349	0.514238	10.057	0.40586	7.95661	0.542059	10.7275
0.29181	5.6054	0.095167	1.95683	0.282542	6.08403	0.441137	8.5364	0.520014	9.98792	0.411441	7.92132	0.545884	10.6076
