Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4		Asym5	
488  Points		495  Points		330  Points		181  Points		160  Points		431  Points		220  Points		163  Points		137  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.172876	5.1768	0.0441421	2.23181	0.295947	1.45736	0.377928	2.95704	0.580119	1.40646	0.226111	4.51578	0.444919	1.64344	0.672607	0.763515	0.720273	1.41057
0.177659	5.08814	0.0448852	2.23465	0.297351	1.5579	0.380716	3.02723	0.581449	1.44666	0.230336	4.55324	0.44647	1.68552	0.673334	0.797124	0.721605	1.44839
0.182357	4.99257	0.0458973	2.23808	0.29885	1.66502	0.383569	3.09592	0.582815	1.48649	0.234595	4.58736	0.44806	1.72692	0.674092	0.831237	0.722972	1.4858
0.186962	4.88982	0.0471794	2.24215	0.300453	1.77891	0.386485	3.16304	0.584218	1.52593	0.238885	4.61831	0.449688	1.76767	0.674883	0.865845	0.724374	1.52289
0.191469	4.77975	0.0487329	2.24658	0.302165	1.89977	0.389463	3.22866	0.585658	1.56498	0.243201	4.6463	0.451354	1.80787	0.675706	0.900931	0.72581	1.55958
0.195869	4.66231	0.0505588	2.25107	0.303993	2.0276	0.392501	3.29282	0.587135	1.60367	0.246983	4.66836	0.453057	1.84746	0.676562	0.936457	0.72728	1.5959
0.200156	4.53766	0.0526584	2.25543	0.305943	2.16218	0.395598	3.3555	0.588647	1.64193	0.25022	4.68548	0.454796	1.8865	0.677451	0.972502	0.728784	1.63192
0.204324	4.40605	0.0547616	2.25907	0.308022	2.30325	0.398754	3.4167	0.590194	1.67986	0.252906	4.69857	0.456572	1.92497	0.678374	1.00892	0.730321	1.66763
0.208367	4.268	0.0568679	2.26207	0.310235	2.45025	0.401965	3.47656	0.591777	1.71741	0.255034	4.70808	0.458383	1.96293	0.679331	1.04572	0.731891	1.70302
0.212277	4.12425	0.0589767	2.26445	0.312588	2.60252	0.405232	3.53504	0.593394	1.75458	0.256602	4.71472	0.46023	2.00042	0.680322	1.083	0.733494	1.73811
0.216052	3.97562	0.0610874	2.26633	0.315085	2.75912	0.408552	3.59209	0.595046	1.79134	0.257606	4.71885	0.462111	2.03744	0.681349	1.12065	0.73513	1.77294
0.219686	3.8233	0.0631998	2.26782	0.317729	2.91879	0.411925	3.64789	0.596732	1.82772	0.259052	4.72437	0.464026	2.07414	0.682411	1.15865	0.736798	1.8075
0.223176	3.66859	0.0653133	2.2689	0.320524	3.08031	0.41535	3.70236	0.598452	1.86371	0.260625	4.73005	0.465976	2.11041	0.683508	1.19702	0.738498	1.84182
0.226522	3.51284	0.0674276	2.26962	0.323469	3.24229	0.418824	3.75557	0.600205	1.89937	0.262767	4.73737	0.467959	2.14631	0.684641	1.23567	0.74023	1.87584
0.229722	3.35757	0.0695425	2.27009	0.326565	3.40321	0.422348	3.80757	0.601991	1.93466	0.265481	4.74578	0.469975	2.18202	0.68581	1.27466	0.741993	1.90967
0.232778	3.20419	0.0716577	2.27036	0.329811	3.56158	0.425919	3.85832	0.60381	1.96957	0.268769	4.75469	0.472025	2.21747	0.687016	1.31396	0.743788	1.94326
0.235692	3.0541	0.073773	2.27038	0.333202	3.71608	0.429537	3.90797	0.605662	2.00416	0.272633	4.7634	0.474107	2.25269	0.688259	1.35354	0.745614	1.97661
0.238469	2.90869	0.0758883	2.27021	0.336273	3.84659	0.433201	3.95644	0.607545	2.0384	0.277075	4.77129	0.476223	2.28784	0.689538	1.39335	0.747471	2.00984
0.241112	2.76895	0.0780033	2.26991	0.338973	3.95426	0.43691	4.00379	0.60946	2.0723	0.281524	4.77696	0.47837	2.32291	0.690855	1.43337	0.749359	2.04282
0.243629	2.63575	0.080118	2.26946	0.341261	4.04038	0.440662	4.05016	0.611406	2.10583	0.285977	4.78038	0.480551	2.35789	0.692209	1.47362	0.751278	2.07561
0.246024	2.5099	0.0822322	2.26891	0.343105	4.10648	0.444457	4.09542	0.613384	2.13906	0.290432	4.78158	0.482764	2.393	0.693601	1.51406	0.753227	2.10823
0.248306	2.3918	0.0843459	2.26831	0.344479	4.154	0.448293	4.13966	0.615392	2.17196	0.294887	4.7806	0.48501	2.42819	0.695031	1.55466	0.755206	2.14072
0.250481	2.28164	0.0864589	2.26764	0.345367	4.18384	0.452171	4.18295	0.617431	2.20459	0.29934	4.77741	0.487289	2.4635	0.696498	1.59544	0.757216	2.17305
0.252557	2.17954	0.0885714	2.26686	0.346654	4.22577	0.456088	4.22529	0.6195	2.23697	0.303789	4.77211	0.489601	2.49903	0.698004	1.63626	0.759256	2.20519
0.254542	2.08541	0.090683	2.26607	0.348068	4.2703	0.460044	4.26676	0.621599	2.26906	0.308232	4.7647	0.491945	2.53486	0.699547	1.67719	0.761325	2.23723
0.256443	1.99904	0.0927939	2.26524	0.350014	4.32923	0.464038	4.30736	0.623728	2.30086	0.312667	4.75513	0.494324	2.57107	0.701129	1.71825	0.763425	2.26917
0.258267	1.92012	0.094904	2.26435	0.352513	4.40076	0.46807	4.34711	0.625887	2.33238	0.317093	4.74347	0.496736	2.60761	0.702749	1.75928	0.765554	2.30097
0.260021	1.84826	0.0970133	2.26346	0.355588	4.48284	0.472139	4.38604	0.628074	2.36372	0.321506	4.72972	0.499183	2.64465	0.704407	1.80033	0.767712	2.33263
0.261711	1.783	0.0991217	2.26258	0.359265	4.57297	0.476243	4.42419	0.630291	2.39482	0.325906	4.71384	0.501664	2.68219	0.706104	1.84141	0.7699	2.36423
0.263343	1.72403	0.101229	2.26166	0.363572	4.66851	0.480383	4.46161	0.632537	2.42576	0.33029	4.69583	0.504181	2.72027	0.707838	1.88241	0.772118	2.39572
0.264924	1.67083	0.103336	2.26076	0.367965	4.75564	0.484557	4.49829	0.634811	2.45649	0.334656	4.67577	0.506733	2.75902	0.709611	1.92332	0.774364	2.42714
0.266457	1.62288	0.105442	2.25987	0.372434	4.83451	0.488765	4.5343	0.637114	2.48706	0.339003	4.65358	0.509322	2.79835	0.711422	1.96419	0.77664	2.45849
