Sym0		Asym0		Sym1		Sym2		Asym1	
474  Points		490  Points		474  Points		224  Points		396  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.316959	1.05999	0.105834	2.24507	0.312207	1.14702	0.551928	8.80068	0.505205	5.78426
0.317941	1.04895	0.107926	2.24457	0.313263	1.12226	0.560109	8.7592	0.510505	5.59044
0.318914	1.03999	0.110017	2.2441	0.314298	1.10117	0.56825	8.71206	0.515622	5.39394
0.319879	1.03283	0.112107	2.24365	0.315315	1.08329	0.576343	8.65931	0.520556	5.19606
0.320838	1.02722	0.114198	2.2432	0.316317	1.06831	0.584385	8.60098	0.525305	4.99814
0.321793	1.02303	0.116287	2.24283	0.317306	1.05585	0.59237	8.53727	0.529869	4.80159
0.322744	1.02015	0.118377	2.24247	0.318284	1.04558	0.600294	8.46822	0.534252	4.60763
0.323694	1.01843	0.120466	2.2421	0.319254	1.03726	0.60815	8.39384	0.538455	4.41747
0.324642	1.01768	0.122555	2.24177	0.320217	1.03065	0.615935	8.31429	0.542483	4.23211
0.32559	1.01787	0.124643	2.24146	0.321175	1.02559	0.623643	8.22976	0.546341	4.05242
0.326539	1.01885	0.126732	2.24115	0.322128	1.02192	0.63127	8.14025	0.550035	3.87899
0.327489	1.0205	0.128819	2.24082	0.323079	1.01946	0.638811	8.04596	0.553569	3.71246
0.32844	1.02285	0.130907	2.24054	0.324028	1.01805	0.646263	7.94702	0.556952	3.5532
0.329395	1.0258	0.132994	2.24029	0.324976	1.01764	0.65362	7.84356	0.56019	3.40137
0.330352	1.02927	0.135082	2.24002	0.325924	1.01809	0.660878	7.73582	0.56329	3.25717
0.331313	1.03322	0.137169	2.23978	0.326873	1.01931	0.668034	7.62396	0.56626	3.12052
0.332277	1.03761	0.139255	2.23955	0.327823	1.02127	0.675085	7.5082	0.569105	2.99122
0.333246	1.04236	0.141342	2.23932	0.328776	1.02386	0.682025	7.38874	0.571489	2.88438
0.334219	1.04745	0.143428	2.2391	0.329731	1.02699	0.688853	7.26578	0.573455	2.79766
0.335198	1.05288	0.145514	2.23888	0.33069	1.03061	0.695564	7.13959	0.575036	2.72886
0.336181	1.0586	0.1476	2.23869	0.331652	1.03472	0.702157	7.0105	0.576259	2.6762
0.33717	1.06456	0.149686	2.23853	0.332618	1.03923	0.708627	6.87864	0.577143	2.63851
0.338165	1.07069	0.151771	2.23833	0.333588	1.04409	0.714974	6.74434	0.577702	2.61488
0.339166	1.07709	0.153856	2.23813	0.334563	1.04933	0.721195	6.60796	0.578498	2.5816
0.340172	1.08367	0.155942	2.23799	0.335543	1.05489	0.727287	6.46981	0.579351	2.54628
0.341185	1.09039	0.158027	2.23785	0.336529	1.06063	0.73325	6.33017	0.580492	2.49944
0.342204	1.09723	0.160112	2.23766	0.33752	1.06665	0.739083	6.18941	0.581906	2.44224
0.343229	1.10424	0.162196	2.2375	0.338517	1.07296	0.744784	6.04792	0.583573	2.37612
0.344262	1.11138	0.164281	2.23735	0.339519	1.07941	0.750353	5.906	0.585471	2.30247
0.3453	1.11856	0.166365	2.23723	0.340528	1.086	0.755789	5.76403	0.587578	2.22286
0.346346	1.12589	0.16845	2.2371	0.341543	1.09278	0.761093	5.6224	0.589613	2.14823
0.347398	1.13329	0.170534	2.23696	0.342564	1.09972	0.766266	5.48145	0.591581	2.07836
0.348458	1.14069	0.172618	2.23686	0.343592	1.10674	0.771307	5.34149	0.593486	2.01299
0.349524	1.14818	0.174702	2.23673	0.344626	1.11388	0.776219	5.20287	0.595332	1.95185
0.350597	1.15575	0.176786	2.23659	0.345668	1.12114	0.781002	5.06594	0.597123	1.89466
0.351678	1.16335	0.17887	2.23649	0.346716	1.12847	0.785659	4.93089	0.598863	1.84113
0.352765	1.17093	0.180953	2.2364	0.34777	1.13588	0.79019	4.79805	0.600554	1.79107
0.353859	1.17856	0.183037	2.23628	0.348832	1.14335	0.794599	4.66764	0.6022	1.74425
0.354961	1.18626	0.18512	2.23615	0.349901	1.15086	0.798888	4.53983	0.603804	1.7004
0.35607	1.1939	0.187204	2.23608	0.350977	1.15838	0.803059	4.41488	0.605369	1.6594
0.357186	1.20157	0.189287	2.23598	0.352059	1.16599	0.807115	4.29285	0.606896	1.62107
0.358164	1.20832	0.19137	2.23589	0.353149	1.17364	0.811058	4.17388	0.608389	1.5852
0.359002	1.214	0.193453	2.23581	0.354246	1.18127	0.814892	4.05812	0.60985	1.55159
0.359698	1.21863	0.195537	2.23573	0.35535	1.18894	0.81862	3.94562	0.611281	1.52018
0.360251	1.22244	0.19762	2.23565	0.356462	1.19661	0.822244	3.83641	0.612683	1.49077
0.360658	1.22514	0.199702	2.23554	0.35758	1.2043	0.825769	3.73057	0.614059	1.46325
0.360919	1.22687	0.201785	2.23545	0.358706	1.21198	0.829196	3.62794	0.61541	1.43752
0.361295	1.22945	0.203868	2.23541	0.359839	1.21963	0.832106	3.54123	0.616737	1.41341
0.361705	1.23213	0.205951	2.23535	0.360979	1.22731	0.834532	3.46924	0.618043	1.39088
0.362263	1.23586	0.208033	2.23524	0.362126	1.23495	0.8365	3.41115	0.619329	1.3698
0.362972	1.2406	0.210116	2.23519	0.36328	1.24258	0.838034	3.36606	0.620596	1.35007
0.363832	1.24624	0.212198	2.23509	0.364441	1.25024	0.839148	3.33342	0.621845	1.33167
0.364847	1.25284	0.214281	2.23504	0.365609	1.25781	0.839856	3.31284	0.623077	1.31445
0.366018	1.26044	0.216363	2.23498	0.366785	1.26536	0.840865	3.28336	0.624294	1.29834
0.367196	1.26801	0.218445	2.23491	0.367967	1.27291	0.841953	3.2518	0.625496	1.28328
0.36838	1.27549	0.220528	2.23488	0.369157	1.28042	0.843415	3.20971	0.626685	1.26928
0.369572	1.28305	0.22261	2.23479	0.370353	1.28791	0.845237	3.1574	0.627862	1.25619
0.370771	1.29052	0.224692	2.23474	0.371557	1.29532	0.8474	3.09573	0.629026	1.24394
0.371977	1.29792	0.226774	2.23469	0.372767	1.30272	0.849885	3.02551	0.63018	1.23261
0.37319	1.30532	0.228856	2.23462	0.373984	1.31012	0.852667	2.94773	0.631323	1.22204
0.374409	1.31264	0.230938	2.23459	0.375208	1.31745	0.855377	2.87281	0.632457	1.21214
0.375636	1.31997	0.23302	2.23453	0.376439	1.32473	0.85802	2.8007	0.633582	1.20298
0.376869	1.32725	0.235102	2.23447	0.377677	1.33197	0.860596	2.7314	0.634698	1.19452
0.378109	1.33449	0.237184	2.2344	0.378921	1.33917	0.863109	2.66474	0.635807	1.18666
0.379356	1.34169	0.239265	2.23437	0.380172	1.34633	0.865562	2.60072	0.63691	1.17936
0.380609	1.34881	0.241347	2.23435	0.38143	1.35342	0.867956	2.53923	0.638005	1.17264
0.381869	1.35589	0.243429	2.23427	0.382694	1.36052	0.870293	2.48014	0.639095	1.16645
0.383136	1.36294	0.24551	2.23423	0.383965	1.36755	0.872577	2.42339	0.640179	1.16076
0.384409	1.36994	0.247592	2.23421	0.385242	1.37447	0.874809	2.3689	0.641258	1.1555
0.385688	1.37689	0.249674	2.23416	0.386526	1.38141	0.876991	2.31664	0.642332	1.15071
0.386974	1.3838	0.251755	2.2341	0.387816	1.38828	0.879126	2.26646	0.643402	1.14637
0.388267	1.39067	0.253837	2.23407	0.389113	1.39509	0.881215	2.21829	0.644468	1.14241
0.389566	1.39747	0.255918	2.23406	0.390416	1.40186	0.883259	2.17209	0.645531	1.13878
0.390871	1.4042	0.257999	2.23397	0.391725	1.40858	0.885262	2.12771	0.64659	1.13554
0.392182	1.4109	0.260081	2.23393	0.393041	1.41524	0.887224	2.08516	0.647646	1.13271
0.3935	1.41754	0.262162	2.23391	0.394362	1.42182	0.889147	2.04437	0.648701	1.13012
0.394824	1.42413	0.264243	2.2339	0.39569	1.42841	0.891034	2.00518	0.649752	1.12784
0.396154	1.43071	0.266325	2.23386	0.397024	1.43493	0.892884	1.96765	0.650802	1.12585
0.39749	1.43719	0.268406	2.23381	0.398364	1.44141	0.8947	1.93163	0.65185	1.12417
0.398832	1.44362	0.270487	2.23378	0.39971	1.4478	0.896483	1.89703	0.652897	1.12274
0.40018	1.45002	0.272568	2.23373	0.401062	1.45415	0.898235	1.86388	0.653942	1.12155
0.401534	1.45633	0.27465	2.2337	0.40242	1.46043	0.899956	1.8321	0.654987	1.12062
0.402893	1.4626	0.276731	2.23369	0.403783	1.46669	0.901649	1.8016	0.65603	1.11987
0.404259	1.46885	0.278812	2.23364	0.405153	1.47289	0.903313	1.77233	0.657074	1.11938
0.40563	1.47505	0.280893	2.23362	0.406528	1.47899	0.904951	1.74429	0.658116	1.11906
0.407008	1.48115	0.282974	2.23358	0.407908	1.48512	0.906564	1.71737	0.659159	1.11894
0.40839	1.4872	0.285055	2.23355	0.409295	1.49115	0.908152	1.69158	0.660201	1.11902
0.409779	1.49323	0.287136	2.23354	0.410687	1.49713	0.909716	1.66685	0.661244	1.11925
0.411173	1.49921	0.289217	2.2335	0.412085	1.50306	0.911258	1.64306	0.662287	1.11966
0.412573	1.5051	0.291298	2.23348	0.413488	1.50891	0.912778	1.62029	0.66333	1.12026
0.413978	1.51097	0.293379	2.23343	0.414896	1.51477	0.914277	1.5985	0.664374	1.12097
0.415388	1.5168	0.295459	2.23341	0.41631	1.52055	0.915756	1.57758	0.665419	1.1218
0.416804	1.52253	0.29754	2.23339	0.41773	1.52626	0.917216	1.55748	0.666465	1.12283
0.418225	1.52822	0.299621	2.23339	0.419154	1.53194	0.918658	1.53821	0.667511	1.12397
0.419652	1.53388	0.301702	2.23335	0.420584	1.53756	0.920083	1.51974	0.668559	1.12524
0.421083	1.5395	0.303783	2.23329	0.42202	1.54312	0.92149	1.50205	0.669608	1.12661
0.42252	1.54505	0.305863	2.23326	0.42346	1.54868	0.922882	1.48508	0.670658	1.12809
0.423962	1.55058	0.307944	2.23329	0.424905	1.55413	0.924257	1.46879	0.67171	1.12968
0.42541	1.55601	0.310025	2.23326	0.426356	1.55953	0.925619	1.45317	0.672764	1.13135
0.426862	1.5614	0.312106	2.23321	0.427811	1.56491	0.926965	1.43822	0.673818	1.13318
0.428319	1.56677	0.314186	2.23319	0.429272	1.57019	0.928298	1.4239	0.674875	1.13508
0.429781	1.57206	0.316267	2.23317	0.430737	1.57547	0.929619	1.41018	0.675933	1.13702
0.431248	1.5773	0.318348	2.23317	0.432208	1.58071	0.930926	1.39699	0.676994	1.13909
0.43272	1.58252	0.320428	2.23313	0.433683	1.5859	0.932222	1.38435	0.678056	1.14126
0.434197	1.58769	0.322509	2.23311	0.435163	1.59102	0.933506	1.37228	0.67912	1.14344
0.435679	1.59277	0.324589	2.2331	0.436647	1.59607	0.934779	1.36072	0.680187	1.14574
0.437165	1.59784	0.32667	2.23306	0.438137	1.60112	0.936041	1.34963	0.681255	1.1481
0.438656	1.60286	0.32875	2.23304	0.439631	1.6061	0.937294	1.33899	0.682326	1.15052
0.440152	1.60779	0.330831	2.23303	0.44113	1.611	0.938536	1.32884	0.683399	1.15302
0.441652	1.61274	0.332911	2.23302	0.442633	1.61591	0.93977	1.31907	0.684475	1.15555
0.443157	1.61764	0.334992	2.23298	0.444141	1.62078	0.940994	1.30976	0.685552	1.15817
0.444667	1.62243	0.337072	2.23296	0.445653	1.62556	0.94221	1.30086	0.686633	1.16083
0.44618	1.6272	0.339153	2.23295	0.44717	1.63029	0.943418	1.2923	0.687716	1.16352
0.447699	1.63193	0.341233	2.23295	0.448691	1.635	0.944619	1.28414	0.688801	1.16625
0.449221	1.63661	0.343314	2.23294	0.450216	1.63967	0.945811	1.27637	0.689889	1.16908
0.450748	1.64129	0.345394	2.23287	0.451746	1.6443	0.946997	1.26892	0.690979	1.17193
0.45228	1.6459	0.347474	2.23287	0.45328	1.64886	0.948176	1.2618	0.692072	1.17482
0.453815	1.65044	0.349555	2.23287	0.454819	1.65337	0.949348	1.25501	0.693168	1.17776
0.455355	1.65494	0.351635	2.23283	0.456361	1.65786	0.950514	1.24851	0.694267	1.1807
0.456899	1.65939	0.353715	2.23285	0.457908	1.6623	0.951675	1.24232	0.695369	1.18371
0.458447	1.66385	0.355796	2.23282	0.459459	1.66672	0.952829	1.23645	0.696473	1.18675
0.459999	1.66824	0.357876	2.23277	0.461014	1.67109	0.953979	1.2308	0.69758	1.18981
0.461556	1.67256	0.359956	2.23278	0.462573	1.67536	0.955123	1.22542	0.69869	1.19291
0.463116	1.67688	0.362037	2.23279	0.464135	1.67962	0.956262	1.2203	0.699803	1.19604
0.46468	1.68112	0.364117	2.23276	0.465702	1.68391	0.957397	1.21548	0.700919	1.19917
0.466249	1.68534	0.366197	2.2327	0.467273	1.6881	0.958527	1.21083	0.702037	1.20235
0.467821	1.68953	0.368277	2.23271	0.468848	1.69222	0.959653	1.20646	0.703159	1.20556
0.469397	1.69368	0.370357	2.23272	0.470427	1.69632	0.960775	1.20229	0.704284	1.20877
0.470977	1.69776	0.372438	2.23268	0.472009	1.70043	0.961893	1.19834	0.705411	1.21202
0.472561	1.70182	0.374518	2.23267	0.473595	1.70446	0.963008	1.19461	0.706542	1.21526
0.474148	1.70586	0.376598	2.23266	0.475185	1.70841	0.964119	1.19102	0.707676	1.21856
0.475739	1.70983	0.378678	2.23265	0.476779	1.71241	0.965227	1.18773	0.708813	1.22186
0.477334	1.71375	0.380758	2.23265	0.478376	1.71634	0.966332	1.18454	0.709953	1.22516
0.478933	1.71769	0.382838	2.23261	0.479977	1.72018	0.967435	1.18156	0.711096	1.2285
0.480535	1.72156	0.384918	2.23259	0.481581	1.72404	0.968534	1.17875	0.712242	1.23185
0.482141	1.72537	0.386999	2.23262	0.483189	1.72787	0.969631	1.1761	0.713391	1.23521
0.48375	1.72914	0.389079	2.2326	0.484801	1.73162	0.970726	1.17364	0.714544	1.23857
0.485363	1.73293	0.391159	2.23255	0.486416	1.73536	0.971818	1.17127	0.715699	1.24194
0.486979	1.73665	0.393239	2.23253	0.488035	1.73906	0.972908	1.16914	0.716858	1.24534
0.488599	1.74031	0.395319	2.23255	0.489657	1.74271	0.973997	1.16712	0.71802	1.24877
0.490222	1.744	0.397399	2.23253	0.491282	1.74633	0.975083	1.16519	0.719185	1.25213
0.491848	1.74761	0.399479	2.23251	0.492911	1.74993	0.976168	1.16346	0.720353	1.25553
0.493478	1.75117	0.401559	2.23251	0.494543	1.75349	0.977251	1.16186	0.721524	1.25899
0.495112	1.75471	0.403639	2.23247	0.496178	1.75703	0.978333	1.16037	0.722699	1.2624
0.496748	1.75824	0.405719	2.23249	0.497817	1.76052	0.979413	1.159	0.723877	1.26583
0.498388	1.76172	0.407799	2.23249	0.499459	1.76394	0.980492	1.15776	0.725058	1.2693
0.500031	1.76515	0.409879	2.23246	0.501104	1.76742	0.981571	1.15663	0.726242	1.27272
0.501677	1.76858	0.411959	2.23245	0.502752	1.7708	0.982648	1.15559	0.727429	1.27615
0.503326	1.77198	0.414039	2.23244	0.504403	1.77414	0.983724	1.15467	0.72862	1.27959
0.504979	1.7753	0.416119	2.2324	0.506058	1.77746	0.984799	1.15388	0.729814	1.28303
0.506634	1.7786	0.418199	2.23241	0.507715	1.78077	0.985874	1.15319	0.731011	1.28651
0.508293	1.7819	0.420279	2.23242	0.509376	1.78403	0.986948	1.15259	0.732211	1.28997
0.509955	1.78516	0.422359	2.23239	0.51104	1.78724	0.988022	1.15207	0.733414	1.29338
0.51162	1.7884	0.424438	2.23237	0.512706	1.79049	0.989095	1.15166	0.734621	1.29685
0.513287	1.79156	0.426518	2.23236	0.514376	1.79365	0.990168	1.15135	0.735831	1.3003
0.514958	1.79472	0.428598	2.23236	0.516049	1.79677	0.99124	1.15108	0.737044	1.30375
0.516632	1.79787	0.430678	2.23236	0.517724	1.79991	0.992313	1.15091	0.73826	1.30719
0.518308	1.80098	0.432758	2.23232	0.519403	1.80298	0.993385	1.15083	0.73948	1.31064
0.519987	1.80404	0.434838	2.2323	0.521084	1.80601	0.994457	1.15082	0.740702	1.31412
0.52167	1.80711	0.436918	2.23233	0.522768	1.80907	0.995529	1.15089	0.741928	1.3175
0.523355	1.81011	0.438997	2.23231	0.524455	1.81206	0.996602	1.15107	0.743157	1.32096
0.525043	1.81307	0.441077	2.23229	0.526145	1.81502	0.997674	1.15127	0.74439	1.3244
0.526733	1.81606	0.443157	2.23229	0.527837	1.81797	0.998747	1.15156	0.745625	1.32781
0.528427	1.81898	0.445237	2.23229	0.529532	1.82087	0.99982	1.15192	0.746864	1.33124
0.530123	1.8219	0.447317	2.23228	0.53123	1.82375	1.00089	1.15206	0.748106	1.33467
0.531822	1.82475	0.449397	2.23225	0.532931	1.82662			0.749351	1.33811
0.533523	1.82761	0.451476	2.23223	0.534634	1.82944			0.750599	1.34148
