Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
476  Points		491  Points		476  Points		241  Points		401  Points		131  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.297817	1.54857	0.0828232	2.25503	0.288726	2.17467	0.44613	8.07609	0.414288	7.02104	0.553092	4.76644
0.299224	1.476	0.0849237	2.25408	0.290433	2.03876	0.45368	8.12373	0.420795	6.94257	0.557555	4.81624
0.300568	1.41319	0.0870234	2.25317	0.292264	1.90136	0.461268	8.16093	0.427225	6.85704	0.562066	4.86816
0.301857	1.35882	0.0891223	2.25231	0.293976	1.78169	0.468887	8.18868	0.433572	6.76428	0.566627	4.9227
0.3031	1.31176	0.0912204	2.25148	0.295584	1.67795	0.476527	8.20792	0.43983	6.66424	0.571239	4.98023
0.304302	1.2711	0.0933177	2.25069	0.297103	1.58806	0.484181	8.21946	0.44599	6.55681	0.575907	5.04108
0.305468	1.236	0.0954143	2.24994	0.298543	1.51023	0.491843	8.22378	0.452047	6.44206	0.580633	5.10559
0.306605	1.20572	0.0975102	2.24919	0.299917	1.44283	0.499505	8.22151	0.457994	6.32008	0.58542	5.17396
0.307715	1.17965	0.0996054	2.24849	0.301232	1.38444	0.507163	8.21308	0.463824	6.19112	0.590274	5.24624
0.308803	1.15733	0.1017	2.24785	0.302497	1.33397	0.514809	8.19872	0.469531	6.05551	0.595196	5.32247
0.309872	1.13832	0.103794	2.24723	0.303718	1.29028	0.52244	8.17878	0.475108	5.91356	0.600192	5.40257
0.310924	1.12212	0.105887	2.24663	0.304901	1.25254	0.53005	8.15355	0.48055	5.7659	0.605263	5.48631
0.311963	1.10847	0.10798	2.24607	0.306052	1.21998	0.537633	8.12317	0.485852	5.61318	0.610415	5.57336
0.31299	1.09707	0.110073	2.24554	0.307174	1.1919	0.545186	8.08773	0.49101	5.45613	0.615649	5.66316
0.314007	1.08767	0.112165	2.24501	0.308273	1.16787	0.552704	8.04749	0.496019	5.29561	0.620967	5.75524
0.315016	1.08008	0.114256	2.24453	0.30935	1.14724	0.560182	8.00251	0.500877	5.13248	0.626373	5.84895
0.316019	1.07406	0.116347	2.24407	0.31041	1.12968	0.567616	7.95285	0.505583	4.96771	0.631866	5.94356
0.317018	1.0694	0.118438	2.24362	0.311455	1.11486	0.575001	7.89872	0.510134	4.80233	0.637448	6.03831
0.318012	1.06603	0.120528	2.24321	0.312488	1.10239	0.582334	7.84011	0.514531	4.6373	0.643118	6.13237
0.319004	1.06383	0.122618	2.24279	0.31351	1.09206	0.58961	7.77716	0.518775	4.4735	0.648875	6.22513
0.319994	1.06257	0.124707	2.24243	0.314523	1.08359	0.596826	7.71001	0.522867	4.31179	0.654718	6.3158
0.320984	1.06225	0.126796	2.24207	0.315529	1.0768	0.603977	7.63869	0.52681	4.1531	0.660644	6.40367
0.321974	1.06277	0.128885	2.24171	0.316529	1.07153	0.61106	7.56337	0.530606	3.99802	0.66665	6.48824
0.322964	1.06397	0.130973	2.24138	0.317526	1.06755	0.618071	7.48413	0.53426	3.84709	0.672734	6.56891
0.323956	1.06587	0.133061	2.24103	0.318519	1.06475	0.625006	7.40116	0.537331	3.71937	0.678891	6.64527
0.324951	1.0684	0.135149	2.24075	0.31951	1.06305	0.631862	7.31455	0.539868	3.61349	0.685117	6.717
0.325947	1.07142	0.137237	2.24046	0.320499	1.06232	0.638636	7.22445	0.541911	3.5282	0.691407	6.78377
0.326947	1.0749	0.139324	2.24017	0.321489	1.06243	0.645324	7.13106	0.543493	3.46212	0.697757	6.84547
0.32795	1.07886	0.141411	2.23991	0.322479	1.06328	0.651924	7.0345	0.544637	3.41447	0.704163	6.90191
0.328957	1.08326	0.143498	2.23964	0.32347	1.06489	0.658432	6.93491	0.545361	3.38446	0.710618	6.95305
0.329969	1.08796	0.145584	2.23939	0.324463	1.06708	0.664846	6.83249	0.54639	3.34185	0.717119	6.99885
0.330985	1.09296	0.147671	2.23919	0.325459	1.06986	0.671163	6.72748	0.547494	3.29616	0.72366	7.03934
0.332005	1.09828	0.149757	2.23895	0.326457	1.07315	0.677382	6.61999	0.548972	3.2352	0.730236	7.07462
0.333031	1.10387	0.151843	2.23872	0.327458	1.07689	0.683499	6.51026	0.550802	3.16025	0.736843	7.10475
0.334062	1.10969	0.153929	2.23853	0.328464	1.08106	0.689513	6.39854	0.552958	3.07248	0.743475	7.12977
0.335099	1.1157	0.156014	2.23832	0.329473	1.0856	0.695422	6.28497	0.555412	2.97354	0.750128	7.14986
0.336141	1.12193	0.158099	2.23811	0.330487	1.09048	0.701224	6.16982	0.558131	2.86533	0.756798	7.16514
0.33719	1.12831	0.160185	2.23793	0.331505	1.09562	0.706919	6.05333	0.560751	2.76263	0.76348	7.17563
0.338244	1.13484	0.16227	2.23777	0.332528	1.10109	0.712504	5.93571	0.563278	2.66536	0.770169	7.18152
0.339304	1.14154	0.164354	2.23758	0.333557	1.10682	0.717979	5.81722	0.565718	2.57344	0.776862	7.18297
0.340371	1.14834	0.166439	2.23741	0.334591	1.11273	0.723344	5.69816	0.568074	2.48665	0.783554	7.18001
0.341444	1.15527	0.168524	2.23725	0.33563	1.11887	0.728597	5.57877	0.570351	2.40476	0.790241	7.17278
0.342524	1.16225	0.170608	2.2371	0.336675	1.1252	0.733739	5.45929	0.572555	2.32756	0.796919	7.1614
0.34361	1.16932	0.172692	2.23695	0.337727	1.13166	0.73877	5.33995	0.574688	2.2548	0.803585	7.14588
0.344703	1.1765	0.174776	2.23684	0.338784	1.13826	0.74369	5.221	0.576756	2.18633	0.810235	7.12641
0.345802	1.18369	0.17686	2.23667	0.339848	1.14496	0.748499	5.1028	0.578762	2.12185	0.816865	7.10308
0.346908	1.19096	0.178944	2.23652	0.340918	1.15183	0.753198	4.98548	0.58071	2.06116	0.823471	7.0759
0.348021	1.19826	0.181028	2.23644	0.341994	1.15882	0.757789	4.86926	0.582603	2.00415	0.83005	7.04498
0.349141	1.2056	0.183111	2.23629	0.343077	1.16586	0.762272	4.75439	0.584445	1.95049	0.836598	7.01037
0.350122	1.21205	0.185195	2.23614	0.344167	1.17298	0.766648	4.64111	0.586238	1.89996	0.843113	6.97223
0.350963	1.21756	0.187278	2.23603	0.345263	1.18016	0.77092	4.52946	0.587985	1.85254	0.84959	6.93057
0.351661	1.22211	0.189361	2.23594	0.346366	1.18737	0.774558	4.43364	0.58969	1.80796	0.856027	6.8855
0.352215	1.22558	0.191445	2.23582	0.347475	1.19468	0.777599	4.3532	0.591354	1.766	0.862421	6.8371
0.352624	1.22826	0.193528	2.23569	0.348592	1.20203	0.780071	4.28753	0.59298	1.72657	0.868767	6.78541
0.352885	1.23008	0.195611	2.23562	0.349715	1.20937	0.782	4.23628	0.594571	1.68953	0.875065	6.73061
0.353262	1.23249	0.197693	2.23552	0.350845	1.21677	0.783403	4.19873	0.596129	1.65471	0.881309	6.67277
0.353673	1.23508	0.199776	2.23539	0.351982	1.22418	0.784295	4.17494	0.597655	1.62196	0.887499	6.61196
0.354233	1.23876	0.201859	2.23533	0.353126	1.23157	0.785568	4.14107	0.599151	1.59123	0.89363	6.54835
