Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		480  Points		493  Points		480  Points		275  Points		140  Points		411  Points		159  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.333561	3.72792	0.334907	3.72792	0.000889125	7.71771	0.000397294	0.210332	0.00349791	7.71768	0.27953	442.704	0.335738	1617.37	0.139777	440.871	0.419268	1427.96
0.0343535	1.56306	0.0339716	1.56306	0.00807932	7.71737	0.00087995	0.311974	0.0106877	7.71713	0.279642	178.901	0.335811	294.758	0.1401	112.193	0.419348	342.239
0.230777	7.14079	0.231436	7.14079	0.0152679	7.71654	0.00154277	0.411154	0.0178753	7.71609	0.279849	112.172	0.335987	162.236	0.140804	64.5762	0.419527	194.495
0.618704	7.79917	0.617486	7.79917	0.0224534	7.71519	0.00237606	0.507275	0.0250594	7.71457	0.280148	81.7592	0.336266	111.989	0.141883	45.5903	0.419805	135.917
0.910478	8.29435	0.908193	8.29435	0.0296345	7.71333	0.00336825	0.599795	0.0322384	7.71252	0.280539	64.3703	0.336649	85.5664	0.143325	35.443	0.420181	104.512
0.442977	7.50093	0.444755	7.50093	0.0368096	7.71094	0.00450668	0.688319	0.0394109	7.70993	0.281018	53.1236	0.337138	69.2836	0.145117	29.1663	0.420655	84.9449
0.781169	8.07489	0.779532	8.07489	0.043977	7.708	0.00577789	0.772542	0.0465753	7.7068	0.281584	45.2592	0.337734	58.2526	0.147244	24.9261	0.421226	71.591
0.950266	8.36188			0.0511354	7.70451	0.00716852	0.852303	0.0537298	7.70309	0.282232	39.4549	0.33844	50.2925	0.149687	21.8875	0.421893	61.9023
				0.0582827	7.70043	0.00866544	0.927534	0.0608728	7.6988	0.28296	34.9982	0.339259	44.2831	0.152428	19.6159	0.422657	54.5563
				0.0654174	7.69574	0.0102561	0.998244	0.0680024	7.69389	0.283763	31.4709	0.340193	39.5903	0.155448	17.8629	0.423516	48.7985
				0.0725374	7.69043	0.0119287	1.06451	0.0751165	7.68834	0.284638	28.6115	0.341244	35.8279	0.158729	16.4759	0.424469	44.1669
				0.0796406	7.68446	0.0136726	1.12647	0.0822131	7.68212	0.28558	26.248	0.342417	32.7477	0.162251	15.3564	0.425515	40.3628
				0.0867247	7.67778	0.0154779	1.1843	0.0892898	7.67518	0.286585	24.2627	0.343714	30.1823	0.165997	14.4378	0.426653	37.1845
				0.0937875	7.67037	0.0173359	1.2382	0.096344	7.66749	0.287651	22.5724	0.345138	28.0153	0.16995	13.6736	0.427882	34.4909
				0.100826	7.66217	0.019239	1.28839	0.103373	7.65899	0.288772	21.1166	0.346691	26.1628	0.174094	13.0302	0.429201	32.1804
				0.107837	7.65312	0.0211803	1.33509	0.110374	7.64963	0.289948	19.8501	0.348377	24.563	0.178413	12.483	0.430608	30.1778
				0.114818	7.64318	0.0231538	1.37853	0.117343	7.63933	0.291174	18.7388	0.350198	23.1694	0.182894	12.0134	0.432102	28.4264
				0.121765	7.63226	0.0251544	1.41893	0.124277	7.62805	0.29245	17.7563	0.352156	21.9461	0.187522	11.6071	0.433682	26.8826
				0.128674	7.6203	0.0271777	1.45652	0.131171	7.61568	0.293774	16.8817	0.354251	20.8652	0.192286	11.253	0.435345	25.5123
				0.135541	7.6072	0.0289563	1.48713	0.13802	7.60215	0.295148	16.0987	0.356485	19.9045	0.197175	10.9425	0.437091	24.2885
				0.142359	7.59287	0.0304823	1.51176	0.144821	7.58734	0.296572	15.3941	0.358859	19.0462	0.202178	10.6685	0.438917	23.1894
				0.149125	7.57719	0.0317499	1.53117	0.151566	7.57115	0.29805	14.7571	0.361371	18.2758	0.207286	10.4255	0.440823	22.1974
				0.155832	7.56006	0.0327555	1.54592	0.158249	7.55345	0.299584	14.179	0.364022	17.5815	0.212489	10.2088	0.442805	21.298
				0.162471	7.54131	0.0334966	1.55646	0.164863	7.53409	0.30118	13.6525	0.36681	16.9532	0.217779	10.0146	0.444863	20.4793
				0.169037	7.52082	0.0339716	1.56306	0.171399	7.51291	0.302845	13.1717	0.369732	16.3829	0.223148	9.83998	0.446995	19.7311
				0.175519	7.49839	0.0346553	1.57237	0.177849	7.48975	0.304587	12.7316	0.372788	15.8634	0.22859	9.68215	0.449198	19.0451
				0.181908	7.47387	0.0353996	1.58225	0.184201	7.46441	0.306415	12.3279	0.375975	15.3888	0.234097	9.53898	0.451472	18.4141
				0.188194	7.44703	0.0364135	1.59531	0.190446	7.43668	0.30834	11.9571	0.379289	14.9542	0.239664	9.40862	0.453813	17.832
				0.194363	7.41766	0.0376984	1.6112	0.196569	7.40634	0.310374	11.6163	0.382727	14.5551	0.245284	9.28948	0.456221	17.2935
				0.200402	7.38555	0.0392556	1.62955	0.202559	7.37317	0.312532	11.3029	0.386286	14.1877	0.250952	9.18022	0.458693	16.7941
				0.206298	7.35044	0.0410862	1.64993	0.208398	7.33692	0.314828	11.0148	0.389962	13.8489	0.256664	9.07969	0.461227	16.3298
				0.212035	7.31211	0.0431911	1.67191	0.214074	7.29736	0.317278	10.7501	0.393752	13.5356	0.262413	8.98687	0.463822	15.8973
				0.217597	7.27033	0.0452995	1.69248	0.218873	7.26002	0.319898	10.5072	0.397652	13.2454	0.268196	8.90091	0.466476	15.4935
				0.222968	7.22489	0.0474106	1.71177	0.222847	7.22597	0.322705	10.2846	0.401658	12.9762	0.274008	8.82104	0.469186	15.1158
				0.228133	7.17562	0.0495235	1.72987	0.226049	7.19622	0.325714	10.0812	0.405766	12.7259	0.279844	8.7466	0.471952	14.7618
				0.233077	7.12241	0.0516378	1.74687	0.228523	7.17166	0.328939	9.89565	0.409974	12.4928	0.285702	8.677	0.474772	14.4295
				0.237788	7.0652	0.0537529	1.76286	0.230308	7.153	0.332392	9.7269	0.414276	12.2753	0.291577	8.61173	0.477643	14.117
				0.242255	7.00403	0.0558685	1.77791	0.231436	7.14079	0.336082	9.57385	0.418669	12.0723	0.297464	8.55035	0.480564	13.8227
				0.246471	6.93902	0.0579841	1.7921	0.233036	7.12288	0.340013	9.43542	0.423151	11.8823	0.303362	8.49242	0.483534	13.5451
				0.250435	6.8704	0.0600996	1.8055	0.234746	7.10292	0.344187	9.31052	0.427717	11.7043	0.309265	8.4376	0.486552	13.283
				0.254147	6.79848	0.0622147	1.81815	0.237024	7.07496	0.348599	9.19806	0.432364	11.5373	0.31517	8.38557	0.489615	13.035
				0.257614	6.72363	0.0643292	1.83011	0.239822	7.03825	0.353243	9.09696	0.43709	11.3805	0.321074	8.33601	0.492723	12.8003
				0.260844	6.64632	0.0664431	1.84144	0.243081	6.99188	0.358107	9.00614	0.441891	11.233	0.326974	8.28869	0.495874	12.5777
				0.263849	6.567	0.0685561	1.85218	0.246728	6.93482	0.363179	8.92456	0.446765	11.0941	0.332865	8.24334	0.499067	12.3665
				0.266645	6.48617	0.0706683	1.86236	0.250676	6.86598	0.368442	8.85125	0.451708	10.9632	0.338745	8.19976	0.502303	12.1658
				0.269247	6.40431	0.0727796	1.87204	0.254372	6.79386	0.373881	8.78526	0.456718	10.8397	0.34461	8.15774	0.505578	11.9749
				0.271671	6.32187	0.0748899	1.88124	0.257824	6.71885	0.379478	8.72576	0.461793	10.723	0.350456	8.1171	0.508895	11.7932
