Sym0		Asym0		Sym1		Sym2		Asym1	
475  Points		491  Points		475  Points		236  Points		399  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.311681	1.13101	0.105107	2.24636	0.305838	1.26799	0.530574	8.31048	0.48433	5.80566
0.312727	1.11553	0.107199	2.24582	0.307002	1.23312	0.538303	8.27796	0.489665	5.64415
0.31376	1.10246	0.109292	2.2453	0.308136	1.20298	0.545999	8.24009	0.494848	5.47875
0.314782	1.09155	0.111383	2.24478	0.309243	1.17704	0.553657	8.19709	0.499874	5.3104
0.315794	1.08262	0.113474	2.2443	0.310329	1.15476	0.561273	8.14918	0.504743	5.14009
0.316799	1.07531	0.115565	2.24387	0.311395	1.13568	0.568842	8.09643	0.509452	4.96882
0.317798	1.06955	0.117656	2.24344	0.312445	1.11947	0.57636	8.03905	0.514002	4.79759
0.318792	1.0652	0.119746	2.24301	0.313481	1.10576	0.583822	7.97709	0.518392	4.62746
0.319783	1.06207	0.121835	2.24264	0.314506	1.09433	0.591224	7.91073	0.522625	4.45934
0.320771	1.05998	0.123925	2.24228	0.31552	1.08485	0.598563	7.84013	0.526702	4.29403
0.321758	1.05887	0.126013	2.24191	0.316527	1.07714	0.605834	7.76536	0.530626	4.13238
0.322744	1.05872	0.128102	2.24158	0.317527	1.07101	0.613033	7.68657	0.534402	3.97505
0.323731	1.0593	0.13019	2.24127	0.318523	1.06623	0.620157	7.60391	0.538033	3.82248
0.324718	1.06059	0.132278	2.24093	0.319514	1.06277	0.627202	7.51755	0.541525	3.67509
0.325707	1.06259	0.134366	2.24065	0.320503	1.06046	0.634165	7.42753	0.544457	3.55115
0.326698	1.06514	0.136454	2.24037	0.32149	1.05912	0.641042	7.33405	0.546879	3.44889
0.327692	1.06817	0.138541	2.24008	0.322477	1.05867	0.647831	7.23733	0.548829	3.3668
