Sym0		Asym0		Sym1		Sym2		Asym1	
475  Points		491  Points		475  Points		236  Points		399  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.311681	5.64192	0.105107	2.01563	0.305838	6.07631	0.530574	9.62042	0.48433	8.75515
0.312727	5.56696	0.107199	2.01968	0.307002	5.98859	0.538303	9.59841	0.489665	8.70498
0.31376	5.49422	0.109292	2.02357	0.308136	5.90341	0.545999	9.57654	0.494848	8.65377
0.314782	5.42363	0.111383	2.02733	0.309243	5.82074	0.553657	9.55473	0.499874	8.60153
0.315794	5.35511	0.113474	2.03095	0.310329	5.7405	0.561273	9.53289	0.504743	8.54826
0.316799	5.28859	0.115565	2.03445	0.311395	5.66263	0.568842	9.51094	0.509452	8.49399
0.317798	5.22401	0.117656	2.03782	0.312445	5.58706	0.57636	9.48882	0.514002	8.43876
0.318792	5.16131	0.119746	2.04108	0.313481	5.51373	0.583822	9.46647	0.518392	8.38261
0.319783	5.10041	0.121835	2.04424	0.314506	5.44256	0.591224	9.44382	0.522625	8.32562
0.320771	5.04126	0.123925	2.04729	0.31552	5.37348	0.598563	9.42084	0.526702	8.26785
0.321758	4.98379	0.126013	2.05024	0.316527	5.30643	0.605834	9.39747	0.530626	8.20939
0.322744	4.92795	0.128102	2.0531	0.317527	5.24133	0.613033	9.37367	0.534402	8.15033
0.323731	4.87368	0.13019	2.05587	0.318523	5.17813	0.620157	9.34941	0.538033	8.09074
0.324718	4.82093	0.132278	2.05856	0.319514	5.11674	0.627202	9.32464	0.541525	8.03073
0.325707	4.76963	0.134366	2.06116	0.320503	5.05713	0.634165	9.29935	0.544457	7.97816
0.326698	4.71975	0.136454	2.06369	0.32149	4.99921	0.641042	9.2735	0.546879	7.93319
0.327692	4.67123	0.138541	2.06614	0.322477	4.94294	0.647831	9.24708	0.548829	7.89593
0.328688	4.62403	0.140628	2.06852	0.323463	4.88824	0.654528	9.22006	0.550338	7.86642
0.329689	4.5781	0.142715	2.07084	0.32445	4.83508	0.661131	9.19242	0.55143	7.84472
0.330693	4.53339	0.144801	2.07309	0.325439	4.7834	0.667636	9.16416	0.552121	7.83082
0.331701	4.48987	0.146887	2.07528	0.326429	4.73314	0.674042	9.13525	0.553103	7.81084
0.332714	4.44749	0.148973	2.0774	0.327422	4.68426	0.680345	9.1057	0.554157	7.78912
0.333732	4.40622	0.151059	2.07947	0.328418	4.6367	0.686544	9.0755	0.555567	7.75958
0.334755	4.36602	0.153145	2.08149	0.329417	4.59043	0.692637	9.04465	0.557313	7.72224
0.335783	4.32685	0.155231	2.08345	0.33042	4.54539	0.698622	9.01314	0.559371	7.67713
0.336817	4.28868	0.157316	2.08536	0.331427	4.50155	0.704497	8.98098	0.561713	7.62432
0.337856	4.25148	0.159401	2.08722	0.332439	4.45887	0.71026	8.94818	0.56431	7.56391
0.338902	4.21521	0.161486	2.08904	0.333456	4.4173	0.715912	8.91474	0.566815	7.50377
0.339953	4.17985	0.163571	2.09081	0.334477	4.37681	0.72145	8.88067	0.569232	7.44396
0.34101	4.14537	0.165656	2.09254	0.335504	4.33737	0.726875	8.84599	0.571566	7.38452
0.342074	4.11173	0.16774	2.09422	0.336536	4.29893	0.732185	8.81071	0.573823	7.3255
0.343144	4.07891	0.169825	2.09587	0.337574	4.26147	0.737381	8.77486	0.576007	7.26694
0.344221	4.04689	0.171909	2.09747	0.338618	4.22495	0.742462	8.73844	0.578122	7.20888
0.345304	4.01564	0.173993	2.09904	0.339667	4.18935	0.74743	8.70149	0.580171	7.15136
0.346393	3.98513	0.176077	2.10057	0.340723	4.15463	0.752284	8.66403	0.58216	7.09439
0.34749	3.95535	0.178161	2.10207	0.341785	4.12077	0.757025	8.62607	0.584091	7.03801
0.348593	3.92627	0.180245	2.10353	0.342853	4.08773	0.761655	8.58766	0.585967	6.98224
0.349703	3.89786	0.182328	2.10496	0.343928	4.05549	0.766175	8.54882	0.587793	6.9271
0.350819	3.87012	0.184412	2.10636	0.345009	4.02403	0.770586	8.50958	0.589571	6.87259
0.351798	3.84646	0.186495	2.10772	0.346097	3.99333	0.77489	8.46996	0.591304	6.81873
0.352637	3.82667	0.188579	2.10906	0.347192	3.96335	0.779089	8.43	0.592995	6.76554
0.353333	3.81056	0.190662	2.11037	0.348293	3.93408	0.783184	8.38973	0.594646	6.71301
0.353885	3.79798	0.192745	2.11165	0.349401	3.9055	0.78667	8.35441	0.596259	6.66117
0.354292	3.78882	0.194828	2.11291	0.350516	3.87758	0.789582	8.32415	0.597837	6.61
0.354553	3.783	0.196911	2.11413	0.351638	3.8503	0.791949	8.29903	0.599382	6.55951
0.354929	3.77468	0.198994	2.11534	0.352766	3.82365	0.793795	8.27912	0.600896	6.5097
0.355338	3.76571	0.201077	2.11651	0.353902	3.7976	0.795138	8.26444	0.602381	6.46058
0.355897	3.75362	0.20316	2.11767	0.355044	3.77215	0.795991	8.25504	0.603839	6.41214
0.356605	3.73852	0.205242	2.1188	0.356193	3.74727	0.797209	8.2415	0.60527	6.36437
0.357465	3.72054	0.207325	2.11991	0.357349	3.72294	0.798521	8.22677	0.606677	6.31728
0.358479	3.69983	0.209407	2.121	0.358512	3.69915	0.800287	8.2067	0.608062	6.27086
0.359648	3.67655	0.21149	2.12206	0.359682	3.67588	0.802489	8.18127	0.609425	6.22511
0.360825	3.65377	0.213572	2.12311	0.360859	3.65312	0.805108	8.15046	0.610768	6.18001
0.362008	3.6315	0.215654	2.12414	0.362043	3.63086	0.808118	8.11424	0.612092	6.13556
0.363199	3.6097	0.217736	2.12514	0.363233	3.60908	0.811492	8.0726	0.613398	6.09177
0.364396	3.58837	0.219819	2.12613	0.364431	3.58776	0.814784	8.0309	0.614688	6.04861
0.3656	3.5675	0.221901	2.1271	0.365635	3.5669	0.817994	7.98918	0.615962	6.00608
0.366811	3.54707	0.223983	2.12805	0.366846	3.54648	0.821127	7.94746	0.617222	5.96418
0.368029	3.52706	0.226065	2.12899	0.368064	3.52649	0.824184	7.90576	0.618467	5.92289
0.369253	3.50748	0.228146	2.1299	0.369288	3.50692	0.827167	7.86409	0.6197	5.88221
0.370484	3.4883	0.230228	2.13081	0.37052	3.48775	0.83008	7.82249	0.62092	5.84213
0.371722	3.46952	0.23231	2.13169	0.371758	3.46898	0.832924	7.78098	0.62213	5.80264
0.372966	3.45112	0.234392	2.13256	0.373002	3.4506	0.835702	7.73957	0.623328	5.76374
0.374217	3.4331	0.236473	2.13342	0.374254	3.43259	0.838416	7.69828	0.624517	5.7254
0.375475	3.41545	0.238555	2.13426	0.375512	3.41494	0.841068	7.65713	0.625697	5.68764
0.376739	3.39815	0.240637	2.13508	0.376776	3.39766	0.843661	7.61613	0.626868	5.65043
0.37801	3.3812	0.242718	2.13589	0.378047	3.38071	0.846196	7.5753	0.628031	5.61376
0.379287	3.36458	0.2448	2.13669	0.379325	3.36411	0.848676	7.53465	0.629186	5.57764
0.380571	3.3483	0.246881	2.13748	0.380608	3.34783	0.851101	7.4942	0.630334	5.54205
0.381861	3.33233	0.248962	2.13825	0.381899	3.33187	0.853476	7.45395	0.631476	5.50697
0.383158	3.31668	0.251044	2.13901	0.383195	3.31623	0.8558	7.41393	0.632612	5.47242
0.38446	3.30133	0.253125	2.13976	0.384498	3.30089	0.858077	7.37413	0.633742	5.43836
0.385769	3.28628	0.255206	2.14049	0.385807	3.28585	0.860307	7.33457	0.634868	5.40481
0.387085	3.27152	0.257287	2.14121	0.387123	3.2711	0.862493	7.29526	0.635988	5.37174
0.388406	3.25704	0.259369	2.14193	0.388444	3.25663	0.864636	7.2562	0.637104	5.33915
0.389734	3.24284	0.26145	2.14263	0.389772	3.24243	0.866738	7.21741	0.638216	5.30703
0.391067	3.2289	0.263531	2.14332	0.391106	3.2285	0.8688	7.17888	0.639325	5.27538
0.392407	3.21523	0.265612	2.144	0.392446	3.21484	0.870824	7.14063	0.64043	5.24418
0.393753	3.20181	0.267693	2.14466	0.393792	3.20143	0.872811	7.10266	0.641532	5.21343
0.395104	3.18865	0.269774	2.14532	0.395144	3.18827	0.874762	7.06498	0.642632	5.18312
0.396462	3.17572	0.271855	2.14597	0.396501	3.17535	0.876679	7.02758	0.643729	5.15325
0.397825	3.16304	0.273936	2.14661	0.397865	3.16267	0.878564	6.99048	0.644823	5.12379
0.399194	3.15059	0.276016	2.14724	0.399234	3.15023	0.880416	6.95367	0.645916	5.09476
0.400569	3.13836	0.278097	2.14786	0.400609	3.13801	0.882239	6.91716	0.647008	5.06614
0.40195	3.12636	0.280178	2.14847	0.40199	3.12601	0.884032	6.88095	0.648097	5.03792
0.403336	3.11457	0.282259	2.14907	0.403377	3.11423	0.885796	6.84505	0.649186	5.0101
0.404728	3.10299	0.284339	2.14966	0.404769	3.10266	0.887534	6.80945	0.650274	4.98266
0.406126	3.09162	0.28642	2.15025	0.406166	3.0913	0.889245	6.77416	0.651361	4.95561
0.407529	3.08046	0.288501	2.15082	0.40757	3.08014	0.890932	6.73917	0.652447	4.92894
0.408937	3.06949	0.290581	2.15139	0.408978	3.06917	0.892594	6.70449	0.653533	4.90263
0.410351	3.05871	0.292662	2.15195	0.410392	3.0584	0.894233	6.67012	0.654618	4.87669
0.411771	3.04812	0.294743	2.1525	0.411812	3.04782	0.895849	6.63606	0.655704	4.85111
0.413195	3.03771	0.296823	2.15305	0.413237	3.03742	0.897444	6.60231	0.656789	4.82587
0.414625	3.02749	0.298904	2.15359	0.414667	3.0272	0.899018	6.56887	0.657875	4.80098
0.41606	3.01744	0.300984	2.15412	0.416102	3.01715	0.900573	6.53573	0.658961	4.77643
0.417501	3.00756	0.303065	2.15464	0.417543	3.00728	0.902108	6.5029	0.660048	4.75222
0.418946	2.99786	0.305145	2.15515	0.418988	2.99758	0.903624	6.47038	0.661135	4.72833
0.420397	2.98831	0.307225	2.15566	0.420439	2.98804	0.905123	6.43816	0.662223	4.70476
0.421853	2.97893	0.309306	2.15616	0.421895	2.97866	0.906605	6.40625	0.663312	4.68151
0.423313	2.96971	0.311386	2.15666	0.423356	2.96944	0.908071	6.37464	0.664402	4.65857
0.424779	2.96064	0.313467	2.15715	0.424821	2.96038	0.90952	6.34332	0.665492	4.63593
0.426249	2.95172	0.315547	2.15763	0.426292	2.95147	0.910955	6.31231	0.666585	4.61359
0.427725	2.94295	0.317627	2.15811	0.427768	2.9427	0.912375	6.2816	0.667678	4.59155
0.429205	2.93432	0.319707	2.15858	0.429248	2.93408	0.913781	6.25118	0.668773	4.5698
0.43069	2.92584	0.321788	2.15904	0.430733	2.9256	0.915173	6.22105	0.669869	4.54834
0.43218	2.9175	0.323868	2.1595	0.432223	2.91726	0.916553	6.19122	0.670967	4.52715
0.433674	2.90929	0.325948	2.15995	0.433718	2.90905	0.91792	6.16168	0.672067	4.50624
0.435173	2.90121	0.328028	2.16039	0.435217	2.90098	0.919275	6.13242	0.673168	4.48561
0.436677	2.89326	0.330108	2.16084	0.43672	2.89303	0.920619	6.10345	0.674271	4.46524
0.438185	2.88544	0.332189	2.16127	0.438229	2.88522	0.921951	6.07476	0.675376	4.44513
0.439698	2.87775	0.334269	2.1617	0.439742	2.87753	0.923273	6.04635	0.676483	4.42528
0.441215	2.87018	0.336349	2.16213	0.441259	2.86996	0.924585	6.01822	0.677592	4.40568
0.442737	2.86273	0.338429	2.16255	0.442781	2.86251	0.925887	5.99037	0.678703	4.38633
0.444263	2.85539	0.340509	2.16296	0.444307	2.85518	0.92718	5.96279	0.679816	4.36723
0.445793	2.84817	0.342589	2.16337	0.445838	2.84796	0.928463	5.93548	0.680931	4.34836
0.447328	2.84107	0.344669	2.16377	0.447372	2.84086	0.929738	5.90844	0.682048	4.32974
0.448867	2.83407	0.346749	2.16417	0.448911	2.83387	0.931005	5.88166	0.683168	4.31135
0.45041	2.82718	0.348829	2.16457	0.450455	2.82698	0.932263	5.85515	0.68429	4.29319
0.451958	2.8204	0.350909	2.16496	0.452002	2.82021	0.933514	5.8289	0.685415	4.27525
0.453509	2.81372	0.352989	2.16534	0.453554	2.81353	0.934758	5.8029	0.686542	4.25754
0.455065	2.80715	0.355069	2.16572	0.45511	2.80696	0.935994	5.77716	0.687671	4.24004
0.456624	2.80067	0.357149	2.1661	0.456669	2.80049	0.937224	5.75168	0.688803	4.22276
0.458188	2.7943	0.359229	2.16647	0.458233	2.79411	0.938448	5.72645	0.689938	4.2057
0.459756	2.78801	0.361308	2.16684	0.459801	2.78783	0.939665	5.70146	0.691075	4.18884
0.461327	2.78183	0.363388	2.16721	0.461373	2.78165	0.940876	5.67672	0.692214	4.17218
0.462903	2.77573	0.365468	2.16757	0.462949	2.77556	0.942082	5.65222	0.693356	4.15573
0.464482	2.76973	0.367548	2.16792	0.464528	2.76956	0.943282	5.62796	0.694501	4.13948
0.466066	2.76382	0.369628	2.16827	0.466112	2.76365	0.944477	5.60394	0.695649	4.12342
0.467653	2.75799	0.371708	2.16862	0.467699	2.75782	0.945667	5.58015	0.696799	4.10756
0.469244	2.75225	0.373787	2.16896	0.46929	2.75209	0.946852	5.5566	0.697953	4.09188
0.470838	2.74659	0.375867	2.1693	0.470884	2.74643	0.948033	5.53327	0.699109	4.07639
0.472436	2.74102	0.377947	2.16964	0.472483	2.74086	0.94921	5.51018	0.700267	4.06108
0.474038	2.73553	0.380027	2.16997	0.474085	2.73537	0.950382	5.48731	0.701429	4.04596
0.475644	2.73011	0.382106	2.1703	0.47569	2.72996	0.951551	5.46466	0.702593	4.03101
0.477253	2.72478	0.384186	2.17063	0.477299	2.72462	0.952716	5.44223	0.703761	4.01624
0.478866	2.71952	0.386266	2.17095	0.478912	2.71937	0.953877	5.42001	0.704931	4.00164
0.480482	2.71433	0.388345	2.17127	0.480529	2.71419	0.955035	5.39802	0.706104	3.98721
0.482101	2.70923	0.390425	2.17159	0.482148	2.70908	0.95619	5.37623	0.70728	3.97295
0.483724	2.70419	0.392505	2.1719	0.483771	2.70404	0.957342	5.35466	0.708459	3.95886
0.485351	2.69922	0.394584	2.17221	0.485398	2.69908	0.95849	5.33329	0.709641	3.94492
0.486981	2.69433	0.396664	2.17251	0.487028	2.69418	0.959637	5.31213	0.710825	3.93115
0.488614	2.6895	0.398743	2.17281	0.488661	2.68936	0.96078	5.29117	0.712013	3.91753
0.490251	2.68474	0.400823	2.17311	0.490298	2.6846	0.961921	5.27041	0.713204	3.90407
0.491891	2.68004	0.402903	2.17341	0.491938	2.67991	0.96306	5.24985	0.714398	3.89076
0.493534	2.67542	0.404982	2.1737	0.493581	2.67528	0.964197	5.22949	0.715595	3.8776
0.49518	2.67085	0.407062	2.17399	0.495228	2.67072	0.965332	5.20932	0.716795	3.86459
0.49683	2.66635	0.409141	2.17428	0.496877	2.66622	0.966465	5.18934	0.717997	3.85173
0.498482	2.66191	0.411221	2.17456	0.49853	2.66178	0.967596	5.16956	0.719203	3.83901
0.500138	2.65753	0.4133	2.17485	0.500186	2.6574	0.968725	5.14995	0.720412	3.82644
0.501797	2.65321	0.41538	2.17512	0.501845	2.65308	0.969853	5.13054	0.721624	3.814
0.503459	2.64895	0.417459	2.1754	0.503507	2.64882	0.97098	5.11131	0.722839	3.8017
0.505124	2.64474	0.419539	2.17567	0.505172	2.64462	0.972105	5.09225	0.724057	3.78954
0.506792	2.64059	0.421618	2.17594	0.50684	2.64047	0.973229	5.07338	0.725278	3.77751
0.508463	2.6365	0.423698	2.17621	0.508511	2.63638	0.974352	5.05468	0.726503	3.76561
0.510137	2.63246	0.425777	2.17648	0.510185	2.63235	0.975474	5.03616	0.72773	3.75384
0.511814	2.62848	0.427857	2.17674	0.511862	2.62837	0.976595	5.01781	0.72896	3.74221
