Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4	
470  Points		492  Points		196  Points		137  Points		119  Points		365  Points		151  Points		119  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.247108	7.13167	0.0558234	1.77871	0.360081	10.3333	0.498356	14.2859	0.614713	17.4135	0.268643	8.89195	0.484792	13.8834	0.739812	20.9045
0.252223	7.08867	0.0579408	1.79295	0.364117	10.177	0.501916	14.0137	0.617518	17.0431	0.274464	8.81283	0.488018	13.6125	0.741913	20.4261
0.257183	7.04364	0.0600581	1.80639	0.368264	10.0317	0.505594	13.7585	0.62038	16.6929	0.280311	8.73914	0.4913	13.357	0.74406	19.9729
0.261985	6.99662	0.0621751	1.81909	0.372526	9.89657	0.509389	13.519	0.623299	16.3613	0.286182	8.67032	0.494639	13.1155	0.746253	19.543
0.266625	6.94766	0.0642915	1.8311	0.376333	9.78664	0.5133	13.2941	0.626275	16.0469	0.292072	8.60585	0.498032	12.8871	0.748491	19.1348
0.2711	6.89684	0.0664072	1.84246	0.379649	9.6983	0.517325	13.0826	0.629306	15.7486	0.297979	8.54531	0.501479	12.6708	0.750774	18.7466
0.27541	6.84426	0.0685222	1.85324	0.382439	9.6288	0.521462	12.8837	0.632392	15.4653	0.303899	8.48828	0.504977	12.4658	0.753101	18.3772
0.279554	6.79003	0.0706363	1.86346	0.384677	9.57603	0.52571	12.6964	0.635532	15.1958	0.309829	8.43442	0.508526	12.2712	0.755471	18.0252
0.283534	6.7343	0.0727496	1.87317	0.386339	9.5384	0.530067	12.5199	0.638726	14.9394	0.315766	8.38342	0.512125	12.0863	0.757885	17.6896
0.287352	6.67722	0.0748619	1.8824	0.38741	9.51483	0.53453	12.3535	0.641972	14.6951	0.321708	8.335	0.515773	11.9105	0.760341	17.3692
0.291011	6.61895	0.0769732	1.89118	0.388961	9.48163	0.539097	12.1964	0.645272	14.4622	0.327652	8.28891	0.519469	11.7432	0.762839	17.0631
0.294516	6.55966	0.0790836	1.89955	0.390661	9.44644	0.543765	12.048	0.648622	14.2399	0.333594	8.24491	0.523211	11.5838	0.765379	16.7704
0.297871	6.49952	0.081193	1.90753	0.392996	9.40003	0.548532	11.9078	0.652025	14.0277	0.339533	8.2028	0.526999	11.4318	0.76796	16.4903
0.301084	6.43872	0.0833014	1.91514	0.395986	9.34364	0.553394	11.7752	0.655478	13.8249	0.345466	8.1624	0.530833	11.2869	0.770581	16.222
0.304159	6.37742	0.0854088	1.92242	0.399657	9.27873	0.558349	11.6497	0.658982	13.6309	0.35139	8.12354	0.534711	11.1485	0.773243	15.965
0.307104	6.31578	0.0875154	1.92937	0.404038	9.20689	0.563394	11.5308	0.662536	13.4453	0.357302	8.08607	0.538633	11.0163	0.775945	15.7184
0.309925	6.25397	0.089621	1.93602	0.409161	9.1298	0.568526	11.4181	0.66614	13.2676	0.363201	8.04984	0.542598	10.8899	0.778686	15.4817
0.312629	6.19212	0.0917257	1.9424	0.414381	9.05798	0.573741	11.3112	0.669794	13.0973	0.369084	8.01472	0.546606	10.7689	0.781466	15.2544
0.315224	6.13038	0.0938295	1.9485	0.419693	8.99099	0.579037	11.2097	0.673498	12.9341	0.374949	7.98061	0.550657	10.6532	0.784284	15.036
0.317715	6.06887	0.0959325	1.95436	0.425091	8.92842	0.584411	11.1133	0.677251	12.7776	0.380792	7.94738	0.554749	10.5423	0.787141	14.8259
0.32011	6.00769	0.0980346	1.95998	0.430569	8.86989	0.589858	11.0216	0.681054	12.6274	0.386613	7.91495	0.558883	10.4361	0.790035	14.6238
0.322414	5.94695	0.100136	1.96539	0.43612	8.81505	0.595375	10.9343	0.684907	12.4832	0.392408	7.88322	0.563059	10.3343	0.792966	14.4292
0.324634	5.88674	0.102237	1.97058	0.441737	8.76357	0.60096	10.8512	0.68881	12.3447	0.398174	7.8521	0.567275	10.2366	0.795935	14.2418
0.326776	5.82713	0.104336	1.97558	0.447416	8.71513	0.606609	10.772	0.692764	12.2116	0.403911	7.82152	0.570983	10.1548	0.79894	14.0611
0.328844	5.76818	0.106436	1.98039	0.453148	8.66945	0.612317	10.6964	0.696769	12.0838	0.409615	7.7914	0.574169	10.0873	0.801981	13.8869
0.330845	5.70996	0.108534	1.98502	0.458929	8.62629	0.618083	10.6242	0.700825	11.9608	0.415283	7.76167	0.57682	10.0329	0.805058	13.7189
0.332783	5.65251	0.110632	1.98949	0.464753	8.5854	0.623901	10.5552	0.704933	11.8426	0.420915	7.73228	0.578927	9.99096	0.808171	13.5567
0.334662	5.59588	0.112729	1.9938	0.470614	8.54657	0.629769	10.4891	0.709095	11.729	0.426507	7.70316	0.580482	9.9606	0.811318	13.4001
0.336487	5.54009	0.114826	1.99796	0.476507	8.50961	0.635683	10.4258	0.713311	11.6196	0.432057	7.67426	0.581481	9.9414	0.814501	13.2488
0.338262	5.48517	0.116922	2.00197	0.482427	8.47434	0.641639	10.3651	0.717582	11.5145	0.437563	7.64553	0.582919	9.91411	0.817718	13.1025
0.339991	5.43114	0.119017	2.00585	0.48837	8.4406	0.647632	10.3068	0.72191	11.4133	0.443022	7.61693	0.584488	9.88486	0.82097	12.9611
0.341676	5.37801	0.121112	2.0096	0.494332	8.40824	0.652882	10.2578	0.726296	11.3159	0.448433	7.5884	0.58663	9.84573	0.824255	12.8244
0.343321	5.32581	0.123207	2.01323	0.500308	8.37713	0.657376	10.2173	0.730743	11.2223	0.453793	7.55991	0.589353	9.79731	0.827574	12.692
0.344929	5.27452	0.125301	2.01675	0.506295	8.34715	0.661104	10.1847	0.735251	11.1323	0.4591	7.53143	0.592666	9.74032	0.830927	12.5639
0.346503	5.22416	0.127394	2.02015	0.512289	8.31821	0.664058	10.1594	0.739824	11.0457	0.464353	7.50292	0.596581	9.67556	0.834313	12.4399
0.348046	5.17473	0.129487	2.02344	0.518287	8.29019	0.666233	10.141	0.744463	10.9625	0.469549	7.47435	0.601112	9.60392	0.837731	12.3197
0.349559	5.12622	0.13158	2.02664	0.524287	8.26301	0.667627	10.1294	0.749171	10.8825	0.474685	7.4457	0.605683	9.53503	0.841182	12.2032
0.351046	5.07863	0.133672	2.02973	0.530284	8.23659	0.669632	10.1128	0.753951	10.8057	0.479762	7.41693	0.610296	9.46875	0.844666	12.0904
0.352507	5.03195	0.135764	2.03274	0.536278	8.21085	0.671813	10.0951	0.758806	10.7319	0.484776	7.38804	0.614948	9.40499	0.848181	11.9809
0.353946	4.98617	0.137855	2.03565	0.542264	8.18574	0.674784	10.0712	0.763739	10.6612	0.489727	7.35899	0.619641	9.34362	0.851729	11.8747
0.355363	4.94128	0.139946	2.03849	0.548242	8.16119	0.678545	10.0416	0.768752	10.5934	0.494612	7.32978	0.624375	9.28456	0.855307	11.7717
0.356761	4.89728	0.142037	2.04124	0.554208	8.13715	0.683099	10.0065	0.77319	10.5367	0.499431	7.30039	0.629148	9.22769	0.858917	11.6717
0.358142	4.85414	0.144127	2.04391	0.560161	8.11356	0.688447	9.96628	0.777024	10.49	0.504182	7.27082	0.633961	9.17293	0.862558	11.5747
0.359505	4.81186	0.146217	2.04651	0.566098	8.09039	0.694587	9.92135	0.780232	10.4526	0.508864	7.24105	0.638813	9.12019	0.86623	11.4804
0.360854	4.77043	0.148307	2.04904	0.572019	8.06758	0.700725	9.87758	0.782793	10.4237	0.513476	7.21108	0.643703	9.06937	0.869932	11.3888
0.362189	4.72982	0.150396	2.0515	0.577921	8.04511	0.706857	9.83485	0.784689	10.4028	0.518018	7.18091	0.648633	9.02041	0.873665	11.2999
0.363511	4.69002	0.152486	2.05389	0.583803	8.02293	0.712978	9.79306	0.785909	10.3897	0.522489	7.15053	0.653599	8.97322	0.877427	11.2134
0.364654	4.65599	0.154574	2.05623	0.589663	8.00102	0.719082	9.7521	0.787672	10.371	0.526888	7.11995	0.658602	8.92771	0.881219	11.1294
0.365622	4.62746	0.156663	2.0585	0.5955	7.97934	0.725165	9.71189	0.789599	10.351	0.531215	7.08917	0.663642	8.88382	0.885041	11.0476
0.366418	4.60418	0.158751	2.06071	0.601312	7.95787	0.731223	9.67232	0.79224	10.3244	0.53547	7.0582	0.668716	8.84148	0.888891	10.9681
0.367045	4.58598	0.160839	2.06287	0.607097	7.93658	0.73725	9.63333	0.795612	10.2916	0.539653	7.02704	0.673825	8.80061	0.89277	10.8908
