Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4	
470  Points		492  Points		196  Points		137  Points		119  Points		365  Points		151  Points		119  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00121067	7.72387	0.000380684	0.509721	0.279519	0.13072	0.44039	0.0687578	0.559048	0.121503	0.139852	0.499151	0.419273	0.10544	0.698798	0.0925364
0.00840696	7.72281	0.000855589	0.6067	0.279641	0.204254	0.440454	0.105453	0.559161	0.165841	0.140317	0.702509	0.419372	0.160592	0.698885	0.124323
0.0156013	7.71978	0.0015112	0.795538	0.279899	0.351029	0.440586	0.178917	0.559357	0.254471	0.141161	1.10472	0.419573	0.270751	0.69903	0.187897
0.0227919	7.71496	0.00233799	0.97297	0.280295	0.496995	0.440787	0.25275	0.559636	0.34296	0.142375	1.49607	0.419876	0.380693	0.699235	0.251398
0.0299773	7.70833	0.00332423	1.1374	0.280825	0.641784	0.441057	0.327174	0.559996	0.431243	0.143948	1.87321	0.420282	0.490274	0.699498	0.314751
0.0371555	7.69976	0.00445741	1.28793	0.281491	0.785024	0.441397	0.402339	0.560439	0.51926	0.145866	2.23374	0.42079	0.599352	0.699821	0.378029
0.0443249	7.68927	0.00572414	1.42403	0.282288	0.926484	0.441807	0.478402	0.560964	0.606962	0.148111	2.57578	0.421399	0.70794	0.700203	0.441159
0.0514837	7.67687	0.00711094	1.54587	0.283217	1.06592	0.442288	0.555456	0.56157	0.694331	0.150665	2.89812	0.422109	0.815838	0.700643	0.504136
0.0586299	7.6624	0.0086047	1.65384	0.284275	1.20293	0.442842	0.633757	0.562258	0.78125	0.153511	3.20024	0.422919	0.922941	0.701142	0.566957
0.0657617	7.64575	0.0101927	1.74878	0.285458	1.33735	0.443469	0.713454	0.563026	0.867711	0.156629	3.48208	0.423829	1.02926	0.7017	0.629536
