Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		474  Points		213  Points		392  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.321063	1.13847	0.104718	2.24625	0.314412	1.30782	0.538574	8.46949	0.491678	6.15921
0.322115	1.12182	0.106811	2.24567	0.31561	1.26816	0.546454	8.44208	0.497345	6.00315
0.323153	1.10769	0.108903	2.24516	0.316775	1.23372	0.554305	8.40945	0.502865	5.8419
0.324179	1.09577	0.110994	2.24473	0.317909	1.20383	0.562124	8.37188	0.508231	5.67628
0.325195	1.08577	0.113085	2.24429	0.319018	1.17804	0.569905	8.32948	0.513442	5.50721
0.326202	1.07757	0.115176	2.24381	0.320104	1.15577	0.577645	8.28232	0.518493	5.33562
0.327203	1.0709	0.117266	2.24339	0.321172	1.13662	0.585338	8.23071	0.523384	5.16251
0.328198	1.06563	0.119356	2.243	0.322222	1.1203	0.592982	8.17465	0.528113	4.98891
0.329188	1.06168	0.121446	2.24262	0.323259	1.10636	0.600571	8.11424	0.53268	4.81581
0.330176	1.05882	0.123535	2.24228	0.324284	1.09463	0.608102	8.04968	0.537087	4.64423
0.331161	1.05693	0.125624	2.24193	0.325299	1.08488	0.615571	7.98105	0.541334	4.47501
0.332146	1.05599	0.127713	2.24161	0.326306	1.07682	0.622974	7.90847	0.545425	4.30899
0.333129	1.05594	0.129801	2.2413	0.327305	1.0703	0.630307	7.83201	0.549364	4.14686
0.334113	1.05657	0.131889	2.241	0.3283	1.06517	0.637568	7.75181	0.553153	3.98909
0.335098	1.05783	0.133977	2.2407	0.32929	1.06132	0.644752	7.66795	0.556336	3.85564
0.336084	1.05978	0.136065	2.24044	0.330278	1.05856	0.651856	7.58057	0.558966	3.74507
0.337073	1.06227	0.138152	2.24017	0.331263	1.05681	0.658877	7.48983	0.561084	3.65596
0.338064	1.06522	0.140239	2.23992	0.332247	1.05597	0.665813	7.3958	0.562723	3.58699
0.339058	1.06861	0.142326	2.23972	0.33323	1.05592	0.672659	7.29864	0.563908	3.53712
0.340055	1.07248	0.144412	2.23948	0.334214	1.05666	0.679413	7.19842	0.564658	3.50578
0.341056	1.07669	0.146499	2.23925	0.335199	1.05806	0.686072	7.09533	0.565724	3.4612
0.342061	1.08122	0.148585	2.23902	0.336186	1.06	0.692634	6.98957	0.566868	3.41342
0.343071	1.08605	0.150671	2.2388	0.337175	1.06251	0.699097	6.88124	0.568398	3.34988
0.344085	1.09116	0.152757	2.23865	0.338166	1.06556	0.705457	6.77049	0.570292	3.27145
0.345104	1.09655	0.154842	2.23847	0.33916	1.06903	0.711713	6.65753	0.572524	3.17966
0.346128	1.10213	0.156928	2.23826	0.340158	1.07288	0.717862	6.54258	0.575063	3.07619
0.347158	1.10794	0.159013	2.23813	0.341159	1.07712	0.723904	6.42584	0.577875	2.96288
0.348193	1.11391	0.161098	2.23795	0.342165	1.08169	0.729836	6.30757	0.580584	2.85533
0.349233	1.12001	0.163183	2.23775	0.343175	1.08658	0.735657	6.18793	0.583195	2.75343
0.35028	1.12634	0.165268	2.23761	0.34419	1.09169	0.741367	6.06714	0.585715	2.657
0.351332	1.13277	0.167353	2.23751	0.345209	1.09711	0.746963	5.9456	0.588146	2.5659
0.352391	1.13927	0.169438	2.23734	0.346234	1.10275	0.752446	5.82345	0.590496	2.47985
0.353455	1.14597	0.171522	2.23719	0.347264	1.10853	0.757814	5.70096	0.592767	2.39863
0.354526	1.1527	0.173606	2.23708	0.3483	1.1145	0.763069	5.57851	0.594965	2.32205
0.355603	1.15949	0.17569	2.23695	0.349341	1.12067	0.768209	5.45621	0.597094	2.24989
0.356687	1.16641	0.177775	2.23681	0.350388	1.12701	0.773236	5.33438	0.599158	2.18188
