Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		473  Points		208  Points		390  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.000449205	9.52362	0.000274385	0.51009	0.00548517	9.52256	0.279527	0.200999	0.13992	0.776224
0.00932232	9.5224	0.000749634	0.629086	0.0143573	9.52068	0.279714	0.308975	0.140643	1.07901
0.0181932	9.51888	0.00144662	0.858927	0.0232259	9.51587	0.280103	0.523554	0.14193	1.67494
0.0270597	9.51307	0.00235015	1.07083	0.0320891	9.50873	0.28069	0.734668	0.143764	2.24839
0.0359197	9.50491	0.00344199	1.26216	0.0409444	9.49914	0.281472	0.940907	0.14612	2.79355
0.044771	9.49421	0.00470205	1.43184	0.0497897	9.487	0.282443	1.14091	0.14897	3.3062
0.0536111	9.48089	0.00611007	1.57989	0.0586224	9.47215	0.283598	1.33334	0.152281	3.78387
0.0624376	9.46486	0.007646	1.70709	0.06744	9.4544	0.284928	1.51694	0.15602	4.22549
0.0712479	9.44576	0.00929104	1.815	0.0762396	9.43347	0.286424	1.69056	0.160155	4.63126
0.0800388	9.42337	0.0110281	1.90552	0.0850182	9.40911	0.288078	1.85315	0.16465	5.00211
0.0888073	9.39743	0.0128418	1.98064	0.0937724	9.38098	0.289877	2.00373	0.169475	5.33972
0.0975498	9.36752	0.0147188	2.0424	0.102499	9.34866	0.291811	2.14155	0.1746	5.64617
0.106263	9.33327	0.0166475	2.09275	0.111193	9.31165	0.293868	2.26625	0.179996	5.92363
0.114941	9.29406	0.0186184	2.13348	0.11985	9.26933	0.296034	2.37765	0.185638	6.17445
0.123581	9.24925	0.020623	2.16629	0.128465	9.22109	0.298298	2.47595	0.191502	6.40085
0.132176	9.19816	0.0223922	2.18945	0.137032	9.16607	0.300648	2.56187	0.197566	6.6049
0.140721	9.13992	0.0239137	2.20574	0.145545	9.10327	0.303072	2.63673	0.203809	6.78867
0.149208	9.07347	0.0251796	2.2172	0.153995	9.03166	0.305561	2.70231	0.210216	6.95399
0.157628	8.99763	0.0261849	2.22509	0.162374	8.94988	0.308108	2.76111	0.216767	7.10255
0.165974	8.91099	0.0269262	2.23014	0.170672	8.85642	0.310706	2.81638	0.22345	7.23589
0.174233	8.8119	0.0274015	2.2332	0.178877	8.7494	0.313356	2.87168	0.230251	7.35529
0.182394	8.69846	0.0280858	2.23732	0.186976	8.62684	0.316057	2.93132	0.237156	7.46197
0.190442	8.56847	0.0288309	2.24124	0.194953	8.48652	0.318818	2.99997	0.244155	7.5571
0.19836	8.41969	0.0298463	2.24607	0.20279	8.32587	0.321647	3.0825	0.251238	7.6416
0.206131	8.24941	0.0311335	2.25138	0.210467	8.14218	0.324562	3.18384	0.258395	7.71627
0.213732	8.05491	0.0326937	2.25658	0.217962	7.93279	0.32758	3.30872	0.265616	7.78183
0.22114	7.83363	0.034528	2.26127	0.225249	7.69521	0.330727	3.46153	0.272895	7.83896
0.228329	7.58318	0.036637	2.26529	0.232301	7.4274	0.33403	3.64577	0.280223	7.88818
0.235271	7.30193	0.0387491	2.26807	0.239089	7.12836	0.337521	3.86381	0.287594	7.92994
0.241935	6.98942	0.0408633	2.26979	0.245584	6.79847	0.34123	4.11636	0.295	7.96474
0.248295	6.64673	0.0429787	2.27073	0.251757	6.43996	0.345191	4.40202	0.302435	7.99282
0.254321	6.27711	0.0450945	2.27108	0.257584	6.05734	0.349433	4.717	0.309894	8.01448
0.259991	5.88599	0.0472106	2.27097	0.263044	5.65723	0.353981	5.055	0.317369	8.02998
0.265289	5.48088	0.0493262	2.27051	0.268126	5.24811	0.358852	5.40786	0.324857	8.03944
0.270204	5.07077	0.0514414	2.26977	0.272824	4.83945	0.364058	5.76605	0.33235	8.04298
0.274738	4.66525	0.0535557	2.26877	0.277143	4.44063	0.369597	6.11967	0.339844	8.04068
0.278897	4.27336	0.055669	2.26773	0.281098	4.06004	0.375461	6.45981	0.347333	8.03263
0.282701	3.90276	0.0577814	2.26658	0.284709	3.7041	0.381634	6.7793	0.354812	8.01874
0.28617	3.55897	0.0598925	2.26531	0.288	3.37646	0.388093	7.07302	0.362275	7.99902
0.289332	3.24528	0.0620025	2.26409	0.290631	3.11565	0.394814	7.33804	0.369717	7.97335
0.292217	2.96303	0.0641114	2.26286	0.292714	2.91222	0.401767	7.57351	0.377132	7.94163
0.294854	2.71177	0.0662191	2.26158	0.294335	2.75705	0.408926	7.77989	0.384515	7.90375
0.29727	2.49	0.0683256	2.2604	0.295556	2.64232	0.416264	7.95872	0.39186	7.85948
0.299493	2.29541	0.0704311	2.25922	0.296421	2.56249	0.423756	8.1121	0.399161	7.80867
0.301547	2.12545	0.0725354	2.25804	0.296962	2.51359	0.43138	8.24242	0.406411	7.75108
0.303454	1.97742	0.0746387	2.25694	0.297721	2.44584	0.439115	8.35212	0.413604	7.68649
0.305232	1.84864	0.076741	2.25588	0.298522	2.37552	0.446943	8.44334	0.420734	7.61466
0.306899	1.73676	0.0788423	2.25487	0.299576	2.28546	0.454848	8.51826	0.427793	7.53539
0.308468	1.63963	0.0809427	2.25389	0.300853	2.17971	0.462816	8.57875	0.434775	7.44841
0.309954	1.55524	0.0830422	2.25296	0.302319	2.06312	0.470834	8.62634	0.441672	7.35354
0.311366	1.48189	0.0851408	2.25209	0.303942	1.94077	0.47889	8.66241	0.448478	7.25067
0.312715	1.41818	0.0872387	2.25126	0.305688	1.81716	0.486975	8.68819	0.455183	7.13963
0.314009	1.36283	0.0893358	2.25047	0.307328	1.70943	0.49508	8.70466	0.461782	7.02038
0.315255	1.31476	0.0914322	2.24968	0.308874	1.61587	0.503195	8.71263	0.468265	6.893
0.316459	1.27295	0.0935278	2.24895	0.310339	1.53459	0.511315	8.71282	0.474626	6.75762
0.317627	1.23665	0.0956229	2.24833	0.311733	1.46396	0.519431	8.70581	0.480857	6.61451
0.318763	1.20521	0.0977173	2.24769	0.313066	1.4026	0.527537	8.69207	0.486951	6.46402
0.319873	1.17801	0.0998112	2.24704	0.314347	1.34929	0.535628	8.67207	0.492902	6.30666
0.320958	1.15451	0.101904	2.24646	0.315581	1.30297	0.543697	8.64612	0.498703	6.14312
0.322024	1.13431	0.103997	2.24591	0.316775	1.26271	0.551739	8.61445	0.504349	5.97409
