Sym0		Asym0		Sym1		Sym2		Asym1	
472  Points		490  Points		473  Points		206  Points		390  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.32368	5.80014	0.106004	2.02604	0.31735	6.28605	0.557883	9.98301	0.503798	9.09127
0.324721	5.72324	0.108095	2.02987	0.318521	6.19492	0.565871	9.9599	0.509331	9.03915
0.325748	5.64858	0.110187	2.03357	0.319661	6.10643	0.573818	9.93683	0.514702	8.98588
0.326764	5.57611	0.112278	2.03713	0.320774	6.02053	0.581721	9.91372	0.519907	8.93148
0.32777	5.50575	0.114368	2.04056	0.321862	5.93715	0.589573	9.8905	0.524944	8.87595
0.328769	5.43743	0.116458	2.04388	0.322931	5.85622	0.597372	9.86711	0.529813	8.81933
0.329761	5.37108	0.118548	2.04708	0.323983	5.77766	0.605113	9.84349	0.534513	8.76168
0.330749	5.30663	0.120637	2.05018	0.325019	5.70141	0.612791	9.81957	0.539045	8.70306
0.331732	5.24402	0.122726	2.05317	0.326043	5.6274	0.620404	9.79532	0.543411	8.64353
0.332713	5.18319	0.124815	2.05607	0.327056	5.55555	0.627947	9.77068	0.547614	8.58319
0.333692	5.12407	0.126904	2.05887	0.32806	5.48578	0.635416	9.74562	0.551658	8.52211
0.33467	5.0666	0.128992	2.06159	0.329056	5.41804	0.642809	9.7201	0.555545	8.4604
0.335648	5.01072	0.13108	2.06422	0.330047	5.35225	0.650121	9.69409	0.559282	8.39815
0.336626	4.95639	0.133168	2.06677	0.331033	5.28834	0.657349	9.66756	0.562874	8.33546
0.337605	4.90354	0.135255	2.06925	0.332016	5.22625	0.66449	9.64048	0.565888	8.28055
0.338586	4.85213	0.137342	2.07165	0.332996	5.16592	0.67154	9.61284	0.568377	8.23358
0.33957	4.80211	0.139429	2.07399	0.333975	5.10728	0.678497	9.5846	0.57038	8.19466
0.340556	4.75342	0.141516	2.07625	0.334953	5.05027	0.685358	9.55575	0.57193	8.16385
0.341545	4.70603	0.143602	2.07845	0.335931	4.99485	0.69212	9.52628	0.573051	8.14118
0.342538	4.65988	0.145689	2.08059	0.336909	4.94095	0.69878	9.49617	0.57376	8.12666
0.343534	4.61495	0.147775	2.08267	0.337889	4.88853	0.705336	9.46542	0.574769	8.1058
0.344535	4.57118	0.149861	2.0847	0.338871	4.83752	0.711785	9.43401	0.57585	8.08312
0.34554	4.52853	0.151947	2.08667	0.339855	4.78789	0.718126	9.40194	0.577297	8.05228
0.34655	4.48698	0.154032	2.08859	0.340842	4.73958	0.724355	9.36922	0.579088	8.01329
0.347564	4.44648	0.156118	2.09045	0.341832	4.69256	0.730473	9.33584	0.581199	7.9662
0.348584	4.407	0.158203	2.09227	0.342825	4.64676	0.736476	9.3018	0.5836	7.91108
0.349609	4.3685	0.160288	2.09405	0.343823	4.60217	0.742363	9.26711	0.58626	7.84803
0.35064	4.33096	0.162373	2.09578	0.344825	4.55873	0.748134	9.23178	0.588825	7.78526
0.351677	4.29434	0.164458	2.09746	0.345831	4.5164	0.753788	9.19582	0.591299	7.72283
0.352719	4.25862	0.166543	2.09911	0.346843	4.47516	0.759323	9.15924	0.593687	7.6608
0.353767	4.22376	0.168627	2.10071	0.347859	4.43495	0.764741	9.12207	0.595994	7.59921
0.354822	4.18975	0.170712	2.10228	0.34888	4.39576	0.77004	9.08432	0.598225	7.53811
0.355882	4.15654	0.172796	2.10381	0.349907	4.35755	0.775221	9.04602	0.600384	7.47753
0.356949	4.12412	0.17488	2.10531	0.350939	4.32028	0.780284	9.00717	0.602475	7.4175
0.358022	4.09247	0.176964	2.10677	0.351978	4.28392	0.785231	8.96782	0.604503	7.35806
0.359101	4.06155	0.179049	2.10819	0.353022	4.24845	0.790061	8.92799	0.60647	7.29923
0.360187	4.03135	0.181132	2.10959	0.354072	4.21384	0.794777	8.88771	0.608381	7.24103
0.36128	4.00184	0.183216	2.11095	0.355128	4.18006	0.799379	8.847	0.610239	7.18348
0.362378	3.97302	0.1853	2.11228	0.35619	4.14708	0.80387	8.8059	0.612046	7.1266
0.363342	3.94843	0.187384	2.11359	0.357258	4.11489	0.80825	8.76443	0.613807	7.07039
0.364167	3.92785	0.189467	2.11486	0.358333	4.08345	0.812523	8.72263	0.615523	7.01488
0.364851	3.91109	0.191551	2.11611	0.359415	4.05274	0.816159	8.68597	0.617197	6.96006
0.365395	3.89801	0.193634	2.11734	0.360502	4.02274	0.819197	8.65454	0.618833	6.90594
0.365795	3.88848	0.195717	2.11853	0.361597	3.99344	0.821666	8.62846	0.620431	6.85253
0.366052	3.88242	0.1978	2.1197	0.362698	3.9648	0.823591	8.60777	0.621994	6.79982
