Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
458  Points		491  Points		162  Points		125  Points		109  Points		318  Points		137  Points		109  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.264168	7.67392	0.0556961	1.8039	0.371803	11.0769	0.556569	16.1645	0.621154	18.4317	0.271883	9.49278	0.493039	14.4714	0.745724	21.6752
0.269853	7.63247	0.057813	1.81761	0.374599	10.9731	0.559902	15.8328	0.6244	18.0296	0.278194	9.40709	0.496744	14.1921	0.748196	21.1736
0.275391	7.58914	0.0599294	1.83053	0.376836	10.8942	0.563358	15.5216	0.627716	17.6505	0.284537	9.32773	0.500515	13.9291	0.750723	20.6994
0.280779	7.54392	0.0620451	1.84272	0.378496	10.838	0.566939	15.2294	0.631101	17.2926	0.29091	9.254	0.50435	13.681	0.753305	20.2503
0.286013	7.49687	0.06416	1.85422	0.379564	10.8027	0.570643	14.9546	0.634554	16.9544	0.297308	9.18529	0.508247	13.4469	0.755941	19.8247
0.291088	7.44802	0.0662739	1.86509	0.381109	10.753	0.574471	14.6961	0.638075	16.6344	0.303728	9.12108	0.512205	13.2256	0.75863	19.4207
0.296004	7.39746	0.068387	1.87539	0.3828	10.7002	0.57842	14.4526	0.641664	16.3313	0.310166	9.06089	0.516221	13.0162	0.761372	19.0368
0.300759	7.34525	0.070499	1.88514	0.385121	10.6306	0.58249	14.2232	0.64532	16.0439	0.316618	9.00432	0.520294	12.8178	0.764166	18.6717
0.305352	7.29151	0.0726101	1.89439	0.388089	10.5459	0.586679	14.0069	0.649043	15.7711	0.323083	8.95099	0.524424	12.6296	0.767012	18.3241
0.309784	7.23635	0.0747201	1.90318	0.391728	10.4483	0.590985	13.8026	0.652833	15.512	0.329556	8.90059	0.528608	12.451	0.769908	17.9928
0.314057	7.1799	0.0768291	1.91154	0.396068	10.3402	0.595405	13.6097	0.656689	15.2657	0.336035	8.85281	0.532845	12.2813	0.772853	17.6767
0.318172	7.12228	0.0789372	1.91949	0.401141	10.2239	0.599936	13.4273	0.660612	15.0313	0.342517	8.8074	0.537134	12.1199	0.775848	17.375
0.322134	7.06365	0.0810442	1.92707	0.406313	10.1155	0.604576	13.2548	0.664601	14.8082	0.349	8.76413	0.541473	11.9662	0.778892	17.0866
0.325946	7.00415	0.0831503	1.93429	0.411583	10.0144	0.60932	13.0914	0.668657	14.5956	0.35548	8.72278	0.545862	11.8198	0.781983	16.8108
0.329613	6.94392	0.0852555	1.94119	0.41695	9.92015	0.614167	12.9365	0.672781	14.3929	0.361956	8.68317	0.550299	11.6803	0.785121	16.5469
0.333139	6.8831	0.0873597	1.94778	0.422411	9.83212	0.61911	12.7897	0.676972	14.1995	0.368424	8.64511	0.554204	11.5639	0.788306	16.2941
0.336531	6.82185	0.0894631	1.95409	0.427963	9.74991	0.624147	12.6503	0.681231	14.015	0.374883	8.60847	0.557561	11.4683	0.791537	16.0517
0.339793	6.7603	0.0915657	1.96012	0.433603	9.67308	0.629273	12.5178	0.68556	13.8387	0.38133	8.57309	0.560356	11.3917	0.794812	15.8192
