Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
469  Points		492  Points		469  Points		178  Points		119  Points		372  Points		130  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.295509	3.9507	0.0639605	2.26599	0.2743	5.34048	0.403254	6.38785	0.493015	5.91458	0.362013	7.46622	0.521273	4.64312
0.299068	3.69625	0.0660712	2.26486	0.279141	5.04964	0.409295	6.57413	0.49859	6.05022	0.368962	7.44833	0.525628	4.70316
0.302397	3.45718	0.0681808	2.2637	0.28371	4.75916	0.415504	6.74712	0.504289	6.18006	0.375892	7.42626	0.530037	4.76149
0.30551	3.23449	0.0702894	2.26254	0.288009	4.47304	0.421868	6.90566	0.510106	6.30425	0.3828	7.39997	0.5345	4.81832
0.308424	3.0287	0.0723968	2.26138	0.292045	4.19504	0.428372	7.04924	0.516036	6.42306	0.389681	7.36952	0.539016	4.87368
0.311154	2.83977	0.0745032	2.26021	0.295826	3.92819	0.435003	7.17782	0.522075	6.53668	0.396532	7.33477	0.543582	4.92779
0.313716	2.66721	0.0766085	2.25911	0.299364	3.67501	0.441747	7.2918	0.528217	6.64528	0.403349	7.29565	0.548198	4.98085
0.316124	2.51032	0.0787128	2.25808	0.302674	3.43728	0.448591	7.3918	0.534458	6.74909	0.410127	7.25215	0.552863	5.03307
0.318393	2.36815	0.0808162	2.25706	0.305769	3.21606	0.455521	7.47857	0.540793	6.84838	0.416862	7.20417	0.557577	5.08463
0.320537	2.2396	0.0829186	2.25607	0.308667	3.01173	0.462526	7.55301	0.547219	6.94333	0.423551	7.15165	0.562338	5.13575
0.322567	2.12362	0.0850201	2.2551	0.311381	2.82424	0.469595	7.61606	0.553731	7.03421	0.430189	7.09457	0.567146	5.18657
0.324494	2.01912	0.0871207	2.25418	0.313929	2.65312	0.476718	7.66861	0.560326	7.12118	0.436771	7.0328	0.572002	5.23731
0.326329	1.92503	0.0892205	2.25335	0.316325	2.4975	0.483885	7.71153	0.567001	7.20446	0.443293	6.9663	0.576906	5.28825
0.328081	1.84042	0.0913196	2.25249	0.318583	2.35652	0.491087	7.74567	0.573751	7.28422	0.449752	6.89512	0.581856	5.33944
0.329758	1.76435	0.0934178	2.2517	0.320716	2.22912	0.498318	7.77184	0.580574	7.36061	0.455324	6.8293	0.586855	5.39113
0.331369	1.69594	0.0955154	2.25097	0.322737	2.11415	0.505569	7.79062	0.587467	7.43377	0.460031	6.77028	0.591902	5.44348
0.332919	1.63447	0.0976122	2.25021	0.324656	2.0106	0.512835	7.80269	0.594426	7.50386	0.463891	6.71952	0.596998	5.4966
0.334414	1.5793	0.0997084	2.24953	0.326483	1.9174	0.520109	7.80868	0.601449	7.571	0.466923	6.67814	0.602145	5.55063
0.335862	1.52973	0.101804	2.2489	0.328229	1.83352	0.527386	7.80901	0.608534	7.63521	0.46914	6.64684	0.607341	5.60565
0.337265	1.48517	0.103899	2.24826	0.3299	1.75815	0.53466	7.80418	0.615677	7.69667	0.470553	6.62658	0.61259	5.66172
0.338629	1.44519	0.105993	2.24768	0.331505	1.6904	0.541928	7.7946	0.622876	7.75543	0.472577	6.597	0.617891	5.71879
0.339958	1.40933	0.108087	2.24713	0.33305	1.62949	0.549184	7.78055	0.630128	7.81151	0.474767	6.5641	0.623246	5.77696
0.341255	1.37716	0.110181	2.24657	0.334541	1.5748	0.556426	7.76242	0.637432	7.865	0.477727	6.51846	0.628656	5.8361
0.342524	1.34833	0.112273	2.24606	0.335984	1.52566	0.563649	7.74052	0.644784	7.91587	0.481441	6.45927	0.634121	5.89608
0.343768	1.32255	0.114366	2.24559	0.337384	1.48154	0.57085	7.71502	0.652182	7.96414	0.485887	6.38542	0.639643	5.95678
0.344988	1.29953	0.116458	2.2451	0.338745	1.44193	0.578025	7.68614	0.659624	8.00986	0.491035	6.29567	0.645221	6.01807
0.346189	1.279	0.118549	2.24467	0.340071	1.40642	0.585172	7.6541	0.667107	8.05297	0.496852	6.18897	0.650857	6.07969
0.347372	1.2607	0.120641	2.24427	0.341366	1.37457	0.592287	7.61909	0.67463	8.09347	0.502568	6.07842	0.65655	6.14134
0.348538	1.24447	0.122731	2.24385	0.342632	1.346	0.599369	7.58121	0.682189	8.13133	0.508179	5.96422	0.662301	6.20283
0.349691	1.2301	0.124822	2.24346	0.343874	1.32048	0.606414	7.54063	0.689782	8.16648	0.513681	5.84673	0.668108	6.26383
0.35083	1.21741	0.126912	2.24312	0.345093	1.29765	0.61342	7.49746	0.697406	8.19891	0.519073	5.72635	0.673972	6.32411
0.351959	1.2063	0.129002	2.24277	0.346292	1.27733	0.620385	7.45185	0.705059	8.22848	0.524352	5.60343	0.679892	6.38328
0.353078	1.19661	0.131091	2.24244	0.347473	1.25923	0.626419	7.41012	0.712739	8.25509	0.529515	5.4784	0.685867	6.44105
0.354189	1.18821	0.13318	2.24213	0.348638	1.24315	0.631535	7.37312	0.720442	8.27871	0.53456	5.35176	0.691895	6.4972
0.355292	1.181	0.135269	2.2418	0.34979	1.22895	0.635746	7.3416	0.728165	8.29924	0.539487	5.22395	0.697974	6.5514
0.35639	1.17487	0.137357	2.24152	0.350928	1.2164	0.639062	7.3161	0.735907	8.31648	0.544295	5.09544	0.704103	6.60342
0.357482	1.16971	0.139446	2.24123	0.352056	1.2054	0.641494	7.29707	0.743662	8.3303	0.548982	4.96678	0.710279	6.65304
0.358569	1.16547	0.141534	2.24098	0.353174	1.19583	0.643046	7.28465	0.751429	8.3406	0.55355	4.83832	0.7165	6.70005
0.359653	1.16211	0.143622	2.24074	0.354284	1.18753	0.645273	7.26656	0.759204	8.3472	0.557998	4.71051	0.722763	6.74427
0.360735	1.15949	0.145709	2.24048	0.355387	1.18042	0.647688	7.24668	0.766983	8.34985	0.562327	4.58381	0.729067	6.78554
0.361814	1.15756	0.147796	2.24024	0.356484	1.17437	0.650961	7.21915	0.774763	8.34842	0.566539	4.45864	0.735407	6.82377
0.362892	1.15632	0.149884	2.24001	0.357576	1.16933	0.655083	7.18371	0.78254	8.34278	0.570635	4.3353	0.741782	6.85892
0.363969	1.15568	0.15197	2.23978	0.358663	1.1652	0.66004	7.13975	0.790309	8.33267	0.574617	4.21405	0.748188	6.89085
0.365045	1.15557	0.154057	2.23959	0.359747	1.16182	0.665816	7.0867	0.798067	8.31793	0.578488	4.09527	0.754623	6.91955
0.366122	1.15594	0.156144	2.23939	0.360828	1.15928	0.672389	7.02405	0.805808	8.29843	0.582248	3.97919	0.761082	6.94501
0.367199	1.15682	0.15823	2.23918	0.361907	1.15747	0.678904	6.95943	0.81353	8.27406	0.585902	3.86596	0.767564	6.96715
0.368277	1.15814	0.160316	2.239	0.362985	1.15623	0.685358	6.89288	0.821226	8.24473	0.589452	3.75573	0.774065	6.98608
0.369357	1.15984	0.162402	2.23884	0.364061	1.15561	0.691748	6.82449	0.828893	8.21048	0.592901	3.64865	0.780582	7.00183
0.370439	1.16191	0.164488	2.23868	0.365138	1.15556	0.698074	6.75429	0.836526	8.1714	0.596251	3.54487	0.787112	7.01443
0.371522	1.1643	0.166574	2.2385	0.366215	1.15601	0.704334	6.68228	0.844119	8.12768	0.599506	3.44442	0.792811	7.02292
0.372608	1.16702	0.168659	2.23833	0.367292	1.15693	0.710526	6.60863	0.851671	8.07971	0.602669	3.34728	0.797674	7.02826
0.373697	1.17005	0.170745	2.23817	0.368371	1.15827	0.716649	6.53339	0.859175	8.02785	0.605744	3.25348	0.801697	7.03144
0.374789	1.17333	0.17283	2.23802	0.36945	1.16	0.7227	6.45655	0.86663	7.97271	0.608732	3.16312	0.80488	7.03316
0.375742	1.17641	0.174915	2.23787	0.370532	1.16211	0.72868	6.37828	0.874031	7.91501	0.611638	3.07608	0.80722	7.03397
0.376558	1.17917	0.177	2.23776	0.371616	1.16456	0.734585	6.29865	0.881378	7.8555	0.614464	2.99231	0.808718	7.03423
0.377233	1.18149	0.179085	2.23763	0.372702	1.16728	0.740416	6.21774	0.888669	7.79507	0.617214	2.91183	0.810871	7.03428
0.377768	1.1833	0.181169	2.23749	0.373791	1.17033	0.746172	6.13568	0.895904	7.73455	0.61989	2.83452	0.813212	7.03405
0.378162	1.18488	0.183254	2.23739	0.374883	1.17365	0.75185	6.05254	0.903082	7.67476	0.622495	2.76031	0.816395	7.03316
0.378415	1.18588	0.185339	2.23723	0.375978	1.17717	0.75745	5.96849	0.910205	7.61647	0.625033	2.68912	0.82042	7.03097
0.378778	1.18711	0.187423	2.23711	0.377076	1.18095	0.762971	5.88362	0.917274	7.56038	0.627506	2.62089	0.825285	7.0269
0.379173	1.18859	0.189507	2.23701	0.378179	1.18493	0.768413	5.79804	0.924293	7.50696	0.629917	2.55553	0.830988	7.02021
0.379711	1.19074	0.191591	2.23693	0.379284	1.18908	0.773775	5.71193	0.931263	7.45658	0.632268	2.49294	0.837524	7.00997
0.380394	1.19346	0.193675	2.23681	0.380394	1.19342	0.779057	5.62537	0.937299	7.41534	0.634562	2.433	0.84405	6.99712
0.381221	1.19674	0.195759	2.23668	0.381508	1.19797	0.784258	5.53848	0.94242	7.38218	0.636802	2.37568	0.850563	6.98169
0.382194	1.20077	0.197843	2.23662	0.382627	1.20263	0.789377	5.45145	0.946637	7.35627	0.638989	2.32083	0.85706	6.96368
0.383315	1.20551	0.199927	2.23651	0.383749	1.20737	0.794416	5.36436	0.949962	7.33668	0.641126	2.26836	0.863539	6.94318
0.38444	1.2104	0.202011	2.23638	0.384876	1.21227	0.799373	5.27734	0.952401	7.32275	0.643216	2.21825	0.869998	6.92025
0.38557	1.21537	0.204094	2.23632	0.386008	1.21732	0.804249	5.19051	0.953959	7.31408	0.64526	2.17034	0.876434	6.89495
0.386705	1.22046	0.206178	2.23625	0.387145	1.22245	0.809045	5.10395	0.956196	7.30198	0.64726	2.12452	0.882846	6.86739
0.387845	1.22568	0.208261	2.23615	0.388286	1.22769	0.81376	5.01787	0.958624	7.28925	0.649219	2.08074	0.889231	6.83754
0.388989	1.23092	0.210345	2.23606	0.389432	1.23301	0.818395	4.93234	0.961919	7.27258	0.651137	2.03896	0.895587	6.80547
0.390138	1.23629	0.212428	2.23597	0.390584	1.23839	0.822951	4.84743	0.966075	7.25248	0.653018	1.99903	0.901912	6.77131
0.391293	1.24172	0.214511	2.2359	0.39174	1.24382	0.827428	4.76322	0.971086	7.22956	0.654862	1.9609	0.908204	6.73508
0.392452	1.24722	0.216594	2.23582	0.392901	1.24936	0.831827	4.67981	0.976946	7.2045	0.656672	1.92455	0.914462	6.69682
0.393617	1.25279	0.218677	2.23578	0.394068	1.25495	0.836148	4.59735	0.983645	7.17787	0.658449	1.88979	0.920683	6.65663
0.394787	1.2584	0.22076	2.23569	0.39524	1.26056	0.840393	4.51583	0.990321	7.15332	0.660193	1.85659	0.926866	6.61464
0.395962	1.26406	0.222843	2.23561	0.396417	1.26626	0.844563	4.43534	0.996974	7.13042	0.661908	1.82493	0.933009	6.57079
0.397142	1.26974	0.224926	2.23553	0.397599	1.27197	0.848658	4.35598	1.00361	7.11932	0.663594	1.79472	0.93911	6.52521
0.398328	1.27548	0.227009	2.23546	0.398787	1.27771	0.85268	4.27774			0.665252	1.76587	0.945168	6.47796
0.399519	1.28127	0.229092	2.23542	0.39998	1.28351	0.856629	4.20068			0.666885	1.73838	0.951181	6.4291
0.400715	1.28707	0.231174	2.23536	0.401179	1.28931	0.860507	4.12487			0.668492	1.71214	0.957148	6.37882
0.401917	1.29286	0.233257	2.2353	0.402383	1.2951	0.864315	4.05035			0.670075	1.68709	0.963067	6.32705
0.403124	1.29868	0.23534	2.23523	0.403592	1.30096	0.868055	3.97712			0.671635	1.66321	0.968937	6.27388
0.404337	1.30456	0.237422	2.23519	0.404807	1.30682	0.871726	3.90521			0.673174	1.64043	0.974758	6.21947
0.405555	1.31043	0.239505	2.2351	0.406027	1.31268	0.875332	3.83464			0.674692	1.61871	0.980527	6.16392
0.406779	1.31629	0.241587	2.23506	0.407253	1.31858	0.878872	3.76545			0.67619	1.598	0.986243	6.10725
0.408008	1.32215	0.24367	2.23504	0.408484	1.32446	0.882348	3.69756			0.67767	1.57823	0.991907	6.04951
0.409242	1.32805	0.245752	2.23495	0.409721	1.33032	0.885762	3.6311			0.679131	1.55945	0.997516	5.9909
0.410483	1.33393	0.247834	2.23487	0.410963	1.33619	0.889114	3.56605			0.680576	1.54153	1.00307	5.9614
0.411728	1.3398	0.249916	2.23483	0.412211	1.34205	0.892407	3.50232			0.682004	1.52444		
0.412979	1.34566	0.251998	2.23481	0.413464	1.34791	0.895641	3.44002			0.683416	1.50816		
0.414236	1.35152	0.254081	2.23477	0.414722	1.35377	0.898817	3.37907			0.684814	1.49263		
0.415498	1.35738	0.256163	2.23471	0.415986	1.35963	0.901937	3.31947			0.686198	1.47787		
0.416765	1.36321	0.258245	2.23464	0.417256	1.36549	0.905002	3.26126			0.687568	1.46386		
0.418038	1.36905	0.260327	2.23461	0.418531	1.37131	0.908014	3.20436			0.688925	1.45048		
0.419316	1.37486	0.262409	2.23459	0.419811	1.37708	0.910973	3.1488			0.690271	1.43775		
0.4206	1.38066	0.264491	2.23455	0.421097	1.38286	0.913881	3.09459			0.691604	1.42564		
0.421889	1.38642	0.266573	2.23449	0.422388	1.38868	0.91674	3.04166			0.692927	1.41412		
0.423183	1.39215	0.268654	2.23446	0.423685	1.3944	0.919549	2.99			0.69424	1.4032		
0.424483	1.39791	0.270736	2.23441	0.424986	1.40012	0.922311	2.93968			0.695542	1.3928		
0.425788	1.40365	0.272818	2.23438	0.426294	1.40584	0.925027	2.89056			0.696835	1.38294		
0.427098	1.40934	0.2749	2.23433	0.427606	1.41148	0.927698	2.84268			0.698119	1.37359		
0.428414	1.41497	0.276981	2.23427	0.428924	1.41716	0.930324	2.79599			0.699394	1.3647		
0.429735	1.4206	0.279063	2.23428	0.430247	1.42282	0.932908	2.75049			0.700662	1.3563		
0.431061	1.42627	0.281145	2.23424	0.431575	1.4284	0.935449	2.70621			0.701922	1.34829		
0.432393	1.43182	0.283226	2.23419	0.432908	1.43397	0.93795	2.66305			0.703174	1.34073		
0.433729	1.43738	0.285308	2.23416	0.434247	1.43953	0.940412	2.621			0.70442	1.33358		
0.435071	1.44294	0.287389	2.23411	0.435591	1.44503	0.942834	2.58009			0.705659	1.32682		
0.436418	1.44839	0.289471	2.23409	0.43694	1.45052	0.945219	2.54026			0.706892	1.32044		
0.43777	1.45386	0.291552	2.23407	0.438294	1.45598	0.947568	2.50145			0.70812	1.31439		
0.439127	1.45935	0.293634	2.23399	0.439653	1.46142	0.94988	2.4637			0.709342	1.30873		
0.440489	1.46473	0.295715	2.23399	0.441017	1.46681	0.952159	2.42699			0.710558	1.30338		
0.441856	1.47009	0.297797	2.23399	0.442386	1.47218	0.954403	2.39127			0.71177	1.29832		
0.443229	1.47544	0.299878	2.23392	0.44376	1.4775	0.956614	2.3565			0.712978	1.29359		
0.444606	1.48076	0.301959	2.23388	0.445139	1.4828	0.958794	2.3227			0.714181	1.28914		
0.445988	1.48605	0.304041	2.23386	0.446523	1.48808	0.960943	2.28984			0.71538	1.28497		
0.447375	1.49126	0.306122	2.23385	0.447912	1.49329	0.963061	2.25784			0.716575	1.28106		
0.448767	1.49647	0.308203	2.23381	0.449306	1.49849	0.96515	2.22676			0.717767	1.27742		
0.450163	1.50167	0.310284	2.23379	0.450704	1.50366	0.96721	2.19653			0.718956	1.27406		
0.451565	1.50683	0.312366	2.23378	0.452108	1.50877	0.969243	2.16713			0.720141	1.27091		
0.452971	1.51191	0.314447	2.23374	0.453516	1.51385	0.971248	2.13859			0.721324	1.26799		
0.454382	1.51697	0.316528	2.23372	0.454928	1.51895	0.973228	2.11088			0.722504	1.26531		
0.455798	1.52203	0.318609	2.23367	0.456346	1.524	0.975182	2.08392			0.723682	1.26281		
0.457218	1.52705	0.32069	2.23365	0.457768	1.52894	0.977111	2.05769			0.724857	1.26049		
0.458643	1.53201	0.322771	2.23367	0.459195	1.53389	0.979016	2.03223			0.72603	1.25845		
0.460073	1.53691	0.324852	2.23361	0.460627	1.53883	0.980898	2.00753			0.727202	1.25652		
0.461507	1.54185	0.326933	2.23358	0.462063	1.54371	0.982757	1.9835			0.728372	1.25478		
0.462946	1.5467	0.329014	2.23356	0.463503	1.54857	0.984594	1.96013			0.72954	1.25329		
0.464389	1.55151	0.331095	2.23352	0.464948	1.55338	0.986409	1.93746			0.730707	1.25189		
0.465837	1.55632	0.333176	2.23353	0.466398	1.55817	0.988204	1.91547			0.731873	1.25064		
0.467289	1.56108	0.335257	2.2335	0.467852	1.5629	0.989979	1.89411			0.733037	1.24961		
0.468746	1.5658	0.337338	2.23349	0.46931	1.56761	0.991734	1.87336			0.734201	1.24873		
0.470207	1.57047	0.339419	2.23348	0.470773	1.57228	0.993469	1.8532			0.735364	1.24792		
0.471672	1.57514	0.3415	2.23341	0.47224	1.57692	0.995187	1.8336			0.736527	1.2473		
0.473142	1.57975	0.343581	2.2334	0.473711	1.58154	0.996886	1.81461			0.737689	1.2468		
0.474616	1.58433	0.345662	2.2334	0.475187	1.58609	0.998568	1.79618			0.73885	1.24641		
