Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		468  Points		491  Points		467  Points		170  Points		120  Points		362  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
				0.28052	7.91682	0.0600634	1.85353	0.254586	8.20342	0.386806	10.7759	0.489808	13.643	0.336397	9.44191	0.508319	14.2634
				0.28533	7.84626	0.0621765	1.86511	0.260501	8.14937	0.392082	10.6465	0.494653	13.4294	0.343313	9.39047	0.512479	14.0138
				0.289894	7.77262	0.0642887	1.87604	0.266198	8.09172	0.397528	10.528	0.499646	13.2303	0.350227	9.34151	0.516702	13.7782
				0.294214	7.69619	0.0663997	1.88636	0.271665	8.03049	0.403142	10.4196	0.504783	13.0445	0.357134	9.29477	0.520984	13.5556
				0.298294	7.61728	0.0685098	1.89611	0.276895	7.96571	0.40892	10.3204	0.510058	12.8709	0.364032	9.24998	0.525324	13.3451
				0.302143	7.53625	0.0706187	1.90535	0.281883	7.89751	0.414854	10.2296	0.515467	12.7086	0.370916	9.20694	0.52972	13.1456
				0.305768	7.45347	0.0727266	1.91411	0.286624	7.82607	0.420936	10.1465	0.521005	12.5567	0.377784	9.16544	0.534172	12.9565
				0.309182	7.36931	0.0748334	1.92241	0.29112	7.75163	0.427156	10.0703	0.526667	12.4144	0.384631	9.12529	0.538676	12.777
				0.312396	7.28416	0.0769392	1.93031	0.295373	7.67447	0.433503	10.0003	0.532448	12.281	0.390578	9.09127	0.543232	12.6065
				0.315423	7.19836	0.0790439	1.93782	0.299388	7.59494	0.439967	9.93583	0.538344	12.1557	0.395632	9.06291	0.54784	12.4444
				0.318276	7.11225	0.0811478	1.94497	0.303173	7.51338	0.446536	9.87637	0.544349	12.0381	0.399799	9.03984	0.552497	12.29
				0.320968	7.02612	0.0832506	1.95179	0.306738	7.43018	0.453199	9.82135	0.550459	11.9275	0.403085	9.02183	0.557202	12.143
				0.323512	6.94027	0.0853526	1.95829	0.310095	7.34571	0.459944	9.77026	0.556669	11.8233	0.405496	9.00871	0.561956	12.0029
				0.32592	6.85491	0.0874537	1.9645	0.313256	7.26034	0.466763	9.72268	0.562976	11.7253	0.407037	9.00037	0.566758	11.8693
				0.328203	6.77027	0.0895539	1.97044	0.316233	7.17443	0.473644	9.67819	0.569375	11.6328	0.409249	8.98843	0.571606	11.7417
				0.330373	6.68651	0.0916534	1.97613	0.31904	7.08828	0.480579	9.63644	0.575862	11.5456	0.411649	8.97554	0.576501	11.6199
				0.332439	6.6038	0.0937521	1.98157	0.32169	7.00221	0.48756	9.59712	0.582433	11.4632	0.414905	8.95814	0.581443	11.5035
				0.334411	6.52225	0.0958501	1.98679	0.324195	6.91646	0.494578	9.55994	0.589084	11.3853	0.419009	8.93632	0.586431	11.3922
				0.336296	6.44197	0.0979474	1.9918	0.326567	6.83129	0.501626	9.52465	0.595812	11.3116	0.42395	8.91019	0.591465	11.2857
				0.338104	6.36304	0.100044	1.9966	0.328818	6.74687	0.508698	9.49103	0.602613	11.2419	0.429716	8.87984	0.596547	11.1838
				0.339841	6.28551	0.10214	2.00122	0.330958	6.66339	0.515788	9.45887	0.609483	11.1758	0.436286	8.84532	0.601676	11.0863
				0.341513	6.20944	0.104235	2.00567	0.332996	6.58099	0.522889	9.42802	0.61642	11.1132	0.442805	8.81104	0.606852	10.993
				0.343127	6.13487	0.10633	2.00994	0.334943	6.49979	0.529998	9.39831	0.623421	11.0537	0.449268	8.77693	0.612076	10.9036
				0.344689	6.0618	0.108425	2.01406	0.336807	6.41988	0.536194	9.37324	0.630481	10.9972	0.455672	8.74289	0.617349	10.818
				0.346201	5.99026	0.110518	2.01802	0.338594	6.34133	0.541476	9.35241	0.637598	10.9435	0.462011	8.70885	0.62267	10.736
				0.347671	5.92024	0.112612	2.02185	0.340312	6.26421	0.545841	9.33552	0.644769	10.8924	0.468284	8.67475	0.628041	10.6574
				0.349101	5.85175	0.114704	2.02554	0.341968	6.18855	0.549291	9.32237	0.651991	10.8438	0.474486	8.6405	0.633463	10.5821
				0.350495	5.78477	0.116797	2.02911	0.343567	6.11439	0.551826	9.31281	0.659261	10.7973	0.480613	8.60606	0.638935	10.5099
				0.351856	5.71929	0.118889	2.03255	0.345114	6.04174	0.553448	9.30673	0.666576	10.7531	0.486661	8.57136	0.644458	10.4407
