Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
466  Points		491  Points		466  Points		165  Points		121  Points		111  Points		352  Points		131  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.270842	5.9229	0.0561698	2.2707	0.23747	7.01405	0.377487	5.15885	0.491887	4.36095	0.625136	3.63417	0.319271	7.3276	0.499037	4.24132
0.276254	5.69283	0.058285	2.26992	0.243928	6.84229	0.382363	5.3105	0.496029	4.52959	0.628557	3.70895	0.326103	7.33744	0.503023	4.31379
0.281449	5.45679	0.0603995	2.26897	0.25022	6.65827	0.387382	5.46621	0.500328	4.69614	0.632047	3.78234	0.332064	7.34291	0.507075	4.38402
0.286422	5.21698	0.062513	2.26788	0.256335	6.46229	0.392548	5.62435	0.50478	4.86006	0.635605	3.85427	0.337147	7.34527	0.511192	4.45211
0.291171	4.97583	0.0646255	2.26682	0.262262	6.25509	0.397862	5.78316	0.509384	5.02096	0.639229	3.92489	0.341351	7.34569	0.515371	4.51821
0.295694	4.73573	0.066737	2.2657	0.26799	6.03768	0.403324	5.94059	0.514136	5.17835	0.642918	3.9942	0.344675	7.34506	0.519611	4.58229
0.299995	4.49908	0.0688473	2.26456	0.273512	5.81142	0.408932	6.09476	0.519033	5.33183	0.646672	4.06214	0.347119	7.34415	0.52391	4.64453
0.304078	4.26805	0.0709567	2.26344	0.278819	5.57817	0.414681	6.24394	0.524071	5.48119	0.650488	4.1288	0.348683	7.34323	0.528265	4.70506
0.307948	4.04454	0.073065	2.26225	0.283906	5.34	0.420567	6.38645	0.529247	5.62617	0.654365	4.19425	0.350931	7.34145	0.532677	4.76389
0.311614	3.83006	0.0751722	2.26115	0.28877	5.09922	0.426582	6.52109	0.534555	5.76657	0.658303	4.25848	0.353373	7.33916	0.537142	4.82125
0.315085	3.62582	0.0772784	2.26009	0.293408	4.85828	0.432718	6.6469	0.539992	5.90227	0.6623	4.32153	0.356694	7.33534	0.541661	4.87716
0.318371	3.43267	0.0793836	2.25904	0.297823	4.61956	0.438968	6.76316	0.545553	6.0332	0.666356	4.38348	0.36089	7.32927	0.546231	4.93179
0.321482	3.25109	0.0814879	2.25801	0.302016	4.38539	0.445321	6.86957	0.551234	6.15927	0.670469	4.44432	0.36596	7.32018	0.550851	4.98531
0.324429	3.08128	0.0835912	2.25701	0.305994	4.15782	0.451768	6.96592	0.55703	6.28053	0.674637	4.50412	0.371899	7.30714	0.55552	5.0377
0.327223	2.92307	0.0856936	2.25608	0.309764	3.93857	0.458301	7.05243	0.562937	6.39699	0.678861	4.56298	0.378699	7.28902	0.560238	5.08924
0.329876	2.77629	0.0877951	2.25513	0.313333	3.72896	0.46491	7.1295	0.56895	6.5087	0.68314	4.62088	0.385481	7.2675	0.565003	5.14002
0.332397	2.64057	0.0898958	2.25426	0.316712	3.53008	0.470724	7.18919	0.575066	6.61567	0.687472	4.67793	0.392241	7.24254	0.569816	5.1901
0.334796	2.51524	0.0919957	2.25342	0.319911	3.34253	0.475716	7.23483	0.581278	6.71806	0.691857	4.73416	0.398977	7.21416	0.574674	5.23971
0.337083	2.39986	0.0940948	2.25263	0.322941	3.16665	0.479867	7.26892	0.587584	6.81589	0.696294	4.78965	0.405684	7.18236	0.579579	5.28892
0.339268	2.29384	0.0961932	2.25187	0.325812	3.00254	0.483162	7.29373	0.593979	6.90924	0.700782	4.84453	0.41236	7.14708	0.58453	5.33783
0.341358	2.19641	0.0982909	2.25112	0.328536	2.84999	0.485592	7.31077	0.600459	6.99832	0.705321	4.89876	0.419002	7.10828	0.589526	5.38657
0.343361	2.10703	0.100388	2.25046	0.331123	2.70867	0.48715	7.32111	0.607019	7.08308	0.70991	4.95251	0.425606	7.06595	0.594567	5.43527
0.345284	2.02509	0.102484	2.2498	0.333583	2.57807	0.489394	7.33519	0.613657	7.16363	0.714549	5.00589	0.432169	7.02007	0.599654	5.48403
0.347134	1.95005	0.10458	2.24913	0.335927	2.45769	0.491837	7.34952	0.620368	7.24011	0.719238	5.05889	0.438687	6.97065	0.604786	5.53285
0.348918	1.88134	0.106675	2.24855	0.338163	2.34696	0.495167	7.36759	0.627148	7.31252	0.723976	5.11171	0.445158	6.91767	0.609964	5.58187
