Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
250  Points		498  Points		250  Points		228  Points		211  Points		144  Points		313  Points		236  Points		192  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.306255	9.80464	0.047645	1.45238	0.302212	10.5493	0.508264	16.1019	0.577489	18.4077	0.849286	26.931	0.187038	7.13867	0.439822	14.1199	0.711069	22.6371
0.307778	9.568	0.0496553	1.47186	0.302676	10.4537	0.50871	15.654	0.578556	17.9098	0.849927	26.1779	0.189872	6.99798	0.441035	13.7476	0.711801	22.0077
0.309335	9.34571	0.0516752	1.49057	0.303184	10.3523	0.509176	15.2316	0.579649	17.4407	0.850585	25.4673	0.19275	6.86821	0.442281	13.3973	0.712554	21.4141
0.310926	9.13658	0.0537039	1.50854	0.303883	10.2183	0.50966	14.8327	0.580769	16.9979	0.851261	24.7959	0.19567	6.74824	0.443558	13.0672	0.713328	20.8534
0.312549	8.93955	0.0554782	1.52363	0.304779	10.0549	0.510162	14.4554	0.581915	16.5793	0.851956	24.1604	0.198631	6.63708	0.444866	12.7557	0.714121	20.3231
0.314205	8.75363	0.056995	1.53609	0.305881	9.86601	0.510684	14.098	0.583086	16.1831	0.852668	23.5582	0.20163	6.53387	0.446205	12.4612	0.714935	19.8207
0.315892	8.57798	0.0582522	1.54613	0.307199	9.65564	0.511226	13.759	0.584284	15.8076	0.853398	22.9866	0.204665	6.43786	0.447574	12.1824	0.715769	19.3442
0.31761	8.41182	0.0592479	1.55389	0.308743	9.42808	0.511788	13.4372	0.585506	15.4512	0.854146	22.4436	0.207735	6.34837	0.448974	11.9183	0.716623	18.8916
0.319358	8.25443	0.059981	1.55951	0.310321	9.21412	0.51237	13.1313	0.586753	15.1125	0.854912	21.9269	0.210837	6.26481	0.450404	11.6677	0.717498	18.4612
0.321135	8.10518	0.0604506	1.56306	0.311932	9.01263	0.512973	12.8401	0.588025	14.7904	0.855695	21.4348	0.213972	6.18667	0.451674	11.4596	0.718392	18.0514
0.322942	7.9635	0.061126	1.56812	0.313576	8.82262	0.513597	12.5628	0.589322	14.4835	0.856496	20.9655	0.217136	6.11346	0.452774	11.2892	0.719306	17.6609
0.324776	7.82887	0.061861	1.57354	0.315251	8.64319	0.514242	12.2983	0.590642	14.1911	0.857315	20.5176	0.220329	6.04479	0.453697	11.1531	0.720239	17.2884
0.326637	7.70078	0.0628616	1.58079	0.316957	8.47352	0.514909	12.0458	0.591987	13.9119	0.858151	20.0897	0.223549	5.98028	0.454433	11.0483	0.721192	16.9326
0.328525	7.57883	0.0641286	1.58977	0.318694	8.3129	0.515598	11.8046	0.593355	13.6453	0.859005	19.6804	0.226795	5.91958	0.454979	10.9728	0.722165	16.5925
0.330439	7.46259	0.0656633	1.60036	0.320461	8.16065	0.516216	11.6031	0.594747	13.3904	0.859876	19.2886	0.230066	5.8624	0.455331	10.9251	0.723158	16.267
0.332379	7.3517	0.0674666	1.61241	0.322256	8.01617	0.516757	11.4374	0.596162	13.1465	0.860764	18.9133	0.233362	5.80847	0.455839	10.8576	0.724169	15.9554
0.334344	7.24584	0.0695397	1.62575	0.324079	7.87893	0.517214	11.3043	0.597601	12.9129	0.86167	18.5534	0.23668	5.75754	0.456394	10.7853	0.7252	15.6567
0.336332	7.14467	0.0716164	1.63861	0.325931	7.74843	0.517582	11.2015	0.599061	12.689	0.862593	18.208	0.24002	5.70938	0.457155	10.689	0.72625	15.3702
0.338345	7.04793	0.0736962	1.651	0.327809	7.62421	0.517856	11.1273	0.600545	12.4743	0.863533	17.8762	0.24338	5.6638	0.458127	10.5703	0.72732	15.0952
0.34038	6.95535	0.0757789	1.66295	0.329713	7.50585	0.518032	11.0804	0.602051	12.2681	0.86449	17.5574	0.246761	5.62062	0.459317	10.4312	0.728408	14.831
0.342439	6.86668	0.0778641	1.67447	0.331643	7.39299	0.518289	11.0138	0.603578	12.0701	0.865464	17.2508	0.250161	5.57965	0.460732	10.2739	0.729515	14.577
