Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
427  Points		528  Points		426  Points		406  Points		353  Points		254  Points		457  Points		401  Points		346  Points		217  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.283846	10.3783	0.0273773	0.930864	0.283906	10.3095	0.446087	16.3945	0.563681	20.6855	0.840937	31.0671	0.157153	6.96301	0.42434	15.2482	0.701325	25.4488	0.88487	31.8419
0.284146	10.047	0.0288762	0.951678	0.284168	10.0235	0.446429	15.8638	0.564004	20.013	0.841106	30.0394	0.158464	6.74277	0.424684	14.7662	0.701501	24.6227	0.885045	30.8151
0.284456	9.73719	0.0303979	0.971984	0.284398	9.79257	0.446781	15.3676	0.564337	19.384	0.84128	29.078	0.159809	6.54067	0.425039	14.3148	0.701682	23.8491	0.885225	29.8529
0.284776	9.44686	0.0319414	0.991792	0.284593	9.60989	0.447144	14.9025	0.564681	18.7944	0.84146	28.1769	0.161184	6.35466	0.425404	13.8912	0.701869	23.1232	0.885411	28.9496
0.285106	9.17426	0.0335058	1.01112	0.284749	9.47045	0.447518	14.4658	0.565036	18.2406	0.841646	27.3304	0.16259	6.18297	0.425781	13.493	0.702062	22.4408	0.885603	28.0999
0.285446	8.91784	0.0350901	1.02997	0.284865	9.37062	0.447904	14.0549	0.565401	17.7194	0.841837	26.5339	0.164025	6.02409	0.426169	13.118	0.702261	21.798	0.885801	27.2991
0.285796	8.67623	0.0366933	1.04835	0.284941	9.30788	0.4483	13.6678	0.565777	17.2281	0.842034	25.7829	0.165487	5.8767	0.426568	12.7642	0.702465	21.1915	0.886004	26.5432
0.286156	8.4482	0.0383145	1.06629	0.28505	9.21925	0.448707	13.3024	0.566163	16.7643	0.842237	25.0738	0.166975	5.73965	0.426977	12.4299	0.702675	20.6183	0.886212	25.8286
0.286526	8.23267	0.0399531	1.08379	0.285169	9.12492	0.449126	12.9569	0.566559	16.3256	0.842445	24.4031	0.168489	5.61194	0.427398	12.1136	0.702891	20.0758	0.886427	25.1518
0.286906	8.02866	0.0416081	1.10086	0.285334	8.99987	0.449555	12.6298	0.566966	15.9102	0.842659	23.7679	0.170026	5.49269	0.427829	11.8139	0.703113	19.5616	0.886647	24.5101
0.287296	7.83528	0.0432788	1.11752	0.285546	8.84685	0.449995	12.3197	0.567384	15.5162	0.842879	23.1653	0.171586	5.38113	0.428271	11.5294	0.703341	19.0735	0.886873	23.9008
0.287695	7.65175	0.0449646	1.13377	0.285807	8.66905	0.450445	12.0253	0.567812	15.1421	0.843104	22.593	0.173168	5.27657	0.428725	11.2592	0.703574	18.6096	0.887105	23.3215
0.288105	7.47736	0.0466646	1.14963	0.28612	8.46997	0.450907	11.7454	0.56825	14.7864	0.843335	22.0487	0.174771	5.1784	0.429188	11.0022	0.703813	18.1682	0.887342	22.77
0.288525	7.31145	0.0483784	1.16511	0.286489	8.25326	0.451379	11.4791	0.568699	14.4478	0.843572	21.5304	0.176394	5.08608	0.429663	10.7575	0.704058	17.7477	0.887585	22.2444
0.288954	7.15344	0.0501052	1.18021	0.286868	8.04815	0.451861	11.2254	0.569157	14.1252	0.843814	21.0364	0.178036	4.99912	0.430148	10.5241	0.704309	17.3466	0.887833	21.7429
0.289393	7.0028	0.0518444	1.19495	0.287257	7.85377	0.452355	10.9835	0.569627	13.8173	0.844062	20.5649	0.179696	4.9171	0.430644	10.3014	0.704565	16.9637	0.888087	21.264
0.289843	6.85903	0.0535957	1.20935	0.287656	7.66931	0.452858	10.7525	0.570106	13.5233	0.844315	20.1144	0.181373	4.83962	0.431085	10.1155	0.704827	16.5977	0.888347	20.806
0.290302	6.72169	0.0553583	1.2234	0.288064	7.49405	0.453373	10.5317	0.570596	13.2423	0.844574	19.6837	0.183067	4.76632	0.431468	9.96268	0.705095	16.2475	0.888612	20.3678
0.290771	6.59038	0.0571319	1.23712	0.288483	7.32734	0.453898	10.3205	0.571096	12.9734	0.844839	19.2714	0.184777	4.69691	0.431788	9.84004	0.705369	15.9122	0.888883	19.948
0.29125	6.46472	0.0589158	1.25052	0.288911	7.16858	0.454363	10.1439	0.571606	12.7158	0.845109	18.8764	0.186503	4.63109	0.432044	9.74538	0.705649	15.5908	0.88916	19.5455
