Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
455  Points		541  Points		453  Points		403  Points		367  Points		278  Points		479  Points		418  Points		368  Points		278  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.279508	-0.00304005	2.00677e-005	0.091055	0.279507	-0.00654486	0.356649	0.0181784	0.559017	0.00721352	0.838526	0.00418199	0.139755	0.0455841	0.419265	0.0107263	0.69877	-0.0115251	0.713298	0.0186461
0.279506	-0.0054569	0.000104903	0.126594	0.279501	-0.00902794	0.356666	0.0330793	0.559024	0.0117663	0.83853	0.0065209	0.139797	0.0812998	0.419275	0.0154493	0.698759	-0.0173765	0.713315	0.0322642
0.279498	-0.0103637	0.000255962	0.197396	0.27949	-0.0139137	0.35671	0.0629137	0.559039	0.0209567	0.838538	0.0111939	0.139906	0.152631	0.419293	0.0248576	0.698738	-0.0289247	0.713358	0.0593489
0.279486	-0.01527	0.000472728	0.267661	0.279475	-0.0187047	0.356783	0.0926998	0.559063	0.0301824	0.838551	0.0158524	0.140082	0.22359	0.419321	0.0342258	0.698705	-0.0400825	0.713426	0.0861256
0.27947	-0.020029	0.000754719	0.33722	0.279455	-0.0233795	0.356883	0.122389	0.559096	0.0393319	0.838568	0.0204818	0.140323	0.293877	0.419357	0.0435874	0.698663	-0.0507528	0.713518	0.112433
0.279449	-0.0246397	0.0011011	0.405806	0.279431	-0.0278951	0.357011	0.151958	0.559136	0.0484757	0.838589	0.0251264	0.140629	0.363333	0.419402	0.0530087	0.698611	-0.0608873	0.713635	0.138168
0.279424	-0.0291004	0.00151089	0.473325	0.279403	-0.0322389	0.357166	0.18136	0.559186	0.0576813	0.838614	0.0298014	0.141	0.43186	0.419456	0.0624032	0.698549	-0.0703165	0.713776	0.163271
0.279395	-0.0334075	0.00198309	0.539587	0.279371	-0.0363853	0.357349	0.210573	0.559244	0.0668639	0.838644	0.0344639	0.141434	0.499186	0.419518	0.0717439	0.69848	-0.0789941	0.71394	0.187621
0.279362	-0.0374807	0.00251636	0.604437	0.279335	-0.0402837	0.357559	0.239556	0.55931	0.0760006	0.838679	0.0391014	0.14193	0.56521	0.41959	0.0811235	0.698402	-0.0869011	0.714126	0.211201
0.279325	-0.0413059	0.00310939	0.667779	0.279296	-0.0439057	0.357795	0.268299	0.559386	0.085192	0.838717	0.0437621	0.142487	0.629803	0.41967	0.0905077	0.698318	-0.0939261	0.714333	0.233971
0.279285	-0.0448546	0.00376069	0.729498	0.279254	-0.0472678	0.358059	0.296782	0.559469	0.0943462	0.83876	0.0483959	0.143104	0.692851	0.419758	0.0999011	0.698227	-0.100139	0.714562	0.255852
0.279241	-0.0481434	0.00446873	0.78958	0.279208	-0.0503299	0.358348	0.324962	0.559561	0.103499	0.838807	0.0530494	0.143778	0.754275	0.419856	0.109313	0.698131	-0.105534	0.71481	0.276911
0.279195	-0.0511322	0.00523198	0.847855	0.27916	-0.0530851	0.358664	0.352831	0.559662	0.112724	0.838859	0.0577421	0.144509	0.813913	0.419962	0.118688	0.698031	-0.110025	0.715078	0.297129
0.279146	-0.0537406	0.00604861	0.904272	0.279109	-0.0554459	0.359006	0.380371	0.559771	0.121871	0.838915	0.0623667	0.145295	0.871813	0.420077	0.128064	0.697926	-0.113733	0.715364	0.316471
0.279095	-0.0560277	0.006917	0.95888	0.279057	-0.0574576	0.359373	0.407547	0.559889	0.13101	0.838975	0.0670017	0.146134	0.927847	0.420201	0.137441	0.697819	-0.116683	0.715667	0.335014
0.279042	-0.0579652	0.00783538	1.01155	0.279002	-0.0591373	0.359765	0.434359	0.560016	0.140205	0.83904	0.0716575	0.147024	0.98198	0.420333	0.146819	0.697709	-0.118845	0.715988	0.352837
0.278987	-0.0594965	0.00880191	1.06233	0.278946	-0.0603726	0.360182	0.460809	0.56015	0.149368	0.839109	0.0763548	0.147964	1.03422	0.420474	0.156201	0.697597	-0.120315	0.716325	0.369951
0.278931	-0.0606548	0.00981492	1.11123	0.27889	-0.0612319	0.360624	0.486831	0.560294	0.158538	0.839182	0.0809887	0.148951	1.08456	0.420624	0.165589	0.697485	-0.121129	0.716677	0.38631
