Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
457  Points		540  Points		457  Points		406  Points		369  Points		280  Points		481  Points		421  Points		370  Points		280  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279506	321.812	0.000242754	0.0960086	0.279507	366.798	0.3565	4449.11	0.559017	1834.72	0.838526	2326.15	0.139755	1218.5	0.419264	713.173	0.69877	1619.18	0.713001	4919.13
0.279499	155.257	0.000453938	0.13119	0.2795	165.022	0.356517	352.351	0.559024	452.145	0.83853	648.93	0.139796	133.598	0.419274	275.914	0.698759	512.567	0.713018	662.262
0.279488	102.304	0.000729843	0.166181	0.279489	106.456	0.356561	183.462	0.55904	257.85	0.838538	377.063	0.139903	70.7266	0.419292	171.051	0.698737	304.467	0.71306	355.051
0.279471	76.2827	0.00106968	0.200934	0.279473	78.5677	0.356633	124.037	0.559064	180.356	0.83855	265.737	0.140076	48.1398	0.419319	123.95	0.698703	216.542	0.713128	242.558
0.27945	60.8119	0.00147268	0.235432	0.279453	62.2556	0.356732	93.7065	0.559096	138.683	0.838566	205.166	0.140314	36.5262	0.419355	97.1929	0.69866	168.014	0.713221	184.213
0.279424	50.5561	0.00193761	0.269602	0.279427	51.5502	0.356859	75.3089	0.559136	112.657	0.838587	167.084	0.140617	29.4599	0.419399	79.9409	0.698606	137.25	0.713338	148.506
0.279394	43.2585	0.00246333	0.303417	0.279398	43.9845	0.357013	62.962	0.559185	94.8599	0.838612	140.928	0.140984	24.7129	0.419451	67.8937	0.698543	116.004	0.71348	124.405
0.27936	37.8004	0.00304853	0.336842	0.279364	38.3537	0.357195	54.1041	0.559243	81.9217	0.838641	121.854	0.141413	21.3082	0.419512	59.0052	0.698471	100.45	0.713644	107.044
0.279322	33.5639	0.0036917	0.369835	0.279327	33.9996	0.357404	47.4408	0.559309	72.0921	0.838675	107.329	0.141904	18.7499	0.419582	52.1774	0.69839	88.5707	0.713831	93.9436
0.27928	30.1801	0.00439142	0.402376	0.279285	30.5321	0.357639	42.2473	0.559383	64.3713	0.838713	95.8997	0.142455	16.7596	0.41966	46.7685	0.698303	79.2013	0.71404	83.7073
0.279235	27.415	0.00514611	0.434439	0.27924	27.7052	0.357902	38.0865	0.559466	58.1466	0.838755	86.6713	0.143066	15.1687	0.419747	42.378	0.69821	71.6222	0.714269	75.489
0.279186	25.113	0.00595396	0.465987	0.279192	25.3565	0.35819	34.6788	0.559557	53.0218	0.838801	79.0641	0.143734	13.8694	0.419843	38.7433	0.698111	65.3649	0.714519	68.7461
0.279135	23.1669	0.00681343	0.497011	0.279141	23.374	0.358505	31.8374	0.559656	48.7292	0.838852	72.6856	0.144457	12.7895	0.419947	35.6848	0.698007	60.1113	0.714787	63.1143
0.279081	21.4999	0.00772274	0.527492	0.279087	21.6783	0.358845	29.4324	0.559764	45.0815	0.838906	67.2604	0.145236	11.8785	0.420059	33.0757	0.697899	55.6379	0.715074	58.3402
0.279025	20.056	0.00868016	0.557415	0.279031	20.2112	0.35921	27.3708	0.559881	41.9436	0.838965	62.5897	0.146066	11.1006	0.42018	30.824	0.697788	51.7828	0.715379	54.2419
0.278967	18.7933	0.00968386	0.586762	0.278973	18.9296	0.359601	25.5843	0.560005	39.2158	0.839029	58.5264	0.146948	10.4292	0.42031	28.8609	0.697675	48.4262	0.715701	50.6857
0.278907	17.6796	0.0107322	0.615533	0.278914	17.8002	0.360017	24.0215	0.560139	36.8226	0.839096	54.9593	0.147879	9.84432	0.420449	27.1345	0.69756	45.4772	0.716039	47.5708
0.278846	16.69	0.0118234	0.643719	0.278853	16.7975	0.360457	22.6432	0.56028	34.7062	0.839168	51.8028	0.148858	9.33074	0.420595	25.6044	0.697444	42.8659	0.716392	44.82
0.278785	15.805	0.0129556	0.671313	0.278792	15.9014	0.36092	21.4188	0.56043	32.8213	0.839244	48.9898	0.149882	8.87655	0.420751	24.239	0.697327	40.5374	0.71676	42.3731
0.278723	15.0087	0.0141274	0.698316	0.27873	15.0957	0.361408	20.324	0.560588	31.1319	0.839324	46.4673	0.150951	8.47233	0.420915	23.0133	0.69721	38.4482	0.717143	40.1825
