Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		496  Points		225  Points		193  Points		180  Points		125  Points		329  Points		205  Points		168  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.152899	5.18472	0.0469312	2.20425	0.309812	1.95876	0.489035	0.817727	0.579575	1.36008	0.851348	0.855238	0.192628	3.62457	0.443382	1.60079	0.71274	0.954891
0.157724	5.17348	0.0481943	2.20957	0.311179	1.99354	0.489812	0.851871	0.58086	1.39827	0.852157	0.881073	0.196034	3.68611	0.444894	1.64535	0.713644	0.984104
0.162539	5.16155	0.0491951	2.21356	0.312328	2.02179	0.490622	0.886689	0.58218	1.43603	0.85299	0.906816	0.199496	3.7442	0.446448	1.68935	0.714574	1.01323
0.167342	5.14889	0.0499322	2.21638	0.313248	2.0438	0.491465	0.922195	0.583536	1.4734	0.853847	0.932448	0.203011	3.79907	0.448042	1.73283	0.715532	1.04219
0.172133	5.13551	0.0504044	2.21802	0.313931	2.05991	0.492341	0.958415	0.584926	1.51042	0.854728	0.958002	0.206575	3.85085	0.449677	1.77576	0.716516	1.07096
0.176912	5.12135	0.0510837	2.22031	0.314371	2.07014	0.493251	0.995333	0.58635	1.54704	0.855632	0.983477	0.210187	3.89974	0.451351	1.81812	0.717527	1.09965
0.181676	5.10636	0.0518229	2.22277	0.315007	2.08463	0.494195	1.03292	0.587808	1.58328	0.85656	1.00886	0.213842	3.94594	0.453064	1.85992	0.718565	1.12816
0.186427	5.09051	0.0528296	2.22592	0.315703	2.10024	0.495175	1.07124	0.5893	1.61914	0.857512	1.03415	0.217539	3.98966	0.454817	1.90119	0.719629	1.15646
0.191162	5.07368	0.0541046	2.22954	0.316658	2.12134	0.496191	1.11031	0.590825	1.65461	0.858487	1.05931	0.221276	4.03096	0.456607	1.94191	0.72072	1.18466
0.195881	5.05584	0.0556492	2.23354	0.31788	2.14761	0.497244	1.15008	0.592383	1.68974	0.859486	1.08435	0.225051	4.07003	0.458435	1.98203	0.721837	1.21271
