Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
469  Points		497  Points		231  Points		196  Points		183  Points		128  Points		338  Points		209  Points		171  Points		106  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.14261	5.20079	0.0404646	1.45139	0.305984	11.0819	0.478922	17.1587	0.576441	20.9258	0.849025	30.9345	0.18592	8.17975	0.439454	16.1594	0.710707	26.0154	0.941434	34.5144
0.147372	5.19781	0.0424868	1.47464	0.307683	10.7797	0.479675	16.6305	0.577608	20.2822	0.849745	29.9442	0.189148	7.99409	0.440821	15.6728	0.711526	25.1864	0.941741	33.3853
0.152123	5.19468	0.0445203	1.49682	0.309198	10.5331	0.48046	16.1365	0.578809	19.6805	0.850487	29.0176	0.192437	7.82496	0.442228	15.2187	0.71237	24.4112	0.942059	32.3288
0.156864	5.19141	0.0463007	1.51531	0.310514	10.3343	0.481276	15.6734	0.580045	19.1169	0.851253	28.149	0.195782	7.67041	0.443676	14.7942	0.713241	23.6849	0.94239	31.3382
0.161594	5.18797	0.0478238	1.53049	0.31162	10.1773	0.482125	15.2387	0.581316	18.588	0.852042	27.3329	0.199182	7.52877	0.445164	14.3965	0.714138	23.003	0.942734	30.4075
0.166312	5.18437	0.0490867	1.54266	0.312505	10.0575	0.483008	14.8299	0.58262	18.0908	0.852854	26.565	0.202632	7.39863	0.446691	14.0234	0.715061	22.3616	0.94309	29.5315
0.171017	5.1806	0.0500874	1.55203	0.313161	9.97186	0.483924	14.4448	0.583958	17.6225	0.853689	25.8411	0.20613	7.27875	0.448258	13.6726	0.716009	21.7573	0.943458	28.7056
0.17571	5.17665	0.0508242	1.55879	0.313584	9.91807	0.484875	14.0816	0.585329	17.1808	0.854546	25.1576	0.209674	7.16805	0.449862	13.3424	0.716983	21.1871	0.94384	27.9256
0.180389	5.17251	0.0512963	1.56306	0.314196	9.84212	0.485861	13.7385	0.586734	16.7636	0.855427	24.5112	0.21326	7.0656	0.451505	13.031	0.717983	20.6481	0.944234	27.1878
0.185053	5.16817	0.0519755	1.56912	0.314865	9.76134	0.486883	13.414	0.58817	16.3689	0.85633	23.899	0.216887	6.97059	0.453185	12.737	0.719007	20.138	0.944642	26.4889
0.189701	5.16363	0.0527146	1.5756	0.315783	9.65437	0.487941	13.1067	0.589639	15.9951	0.857256	23.3185	0.220552	6.88231	0.454902	12.459	0.720057	19.6545	0.945063	25.826
0.194333	5.15888	0.0537209	1.58425	0.316958	9.52363	0.489036	12.8154	0.59114	15.6405	0.858204	22.7673	0.224254	6.80011	0.456656	12.1959	0.721132	19.1957	0.945497	25.1963
0.198947	5.15391	0.0549956	1.59493	0.318397	9.37197	0.490169	12.5389	0.592673	15.3038	0.859175	22.2433	0.227989	6.72344	0.458445	11.9464	0.722232	18.7597	0.945945	24.5975
0.203543	5.1487	0.0565396	1.60744	0.320111	9.2025	0.49134	12.2763	0.594237	14.9837	0.860168	21.7445	0.231758	6.65181	0.46027	11.7097	0.723357	18.345	0.946407	24.0274
0.20812	5.14324	0.0583543	1.6216	0.322112	9.01847	0.49255	12.0266	0.595832	14.6791	0.861184	21.2692	0.235557	6.58476	0.46213	11.4848	0.724506	17.95	0.946882	23.484
0.212675	5.13754	0.0604407	1.63719	0.324149	8.84477	0.493799	11.7889	0.597458	14.3888	0.862222	20.8159	0.239385	6.52191	0.464025	11.2709	0.72568	17.5734	0.947371	22.9655
0.217209	5.13156	0.0625308	1.65211	0.32622	8.68062	0.495088	11.5625	0.599114	14.1121	0.863281	20.383	0.243241	6.46291	0.465954	11.0673	0.726877	17.214	0.947875	22.4702
0.221719	5.1253	0.0646241	1.6664	0.328326	8.52529	0.496417	11.3466	0.6008	13.8479	0.864363	19.9692	0.247123	6.40743	0.467916	10.8732	0.7281	16.8707	0.948392	21.9966
0.226205	5.11875	0.0667202	1.68009	0.330466	8.37817	0.497788	11.1407	0.602515	13.5955	0.865467	19.5734	0.251029	6.3552	0.469652	10.7115	0.729345	16.5425	0.948924	21.5434
0.230665	5.1119	0.0688186	1.6932	0.332639	8.23865	0.499201	10.9441	0.604261	13.3541	0.866592	19.1944	0.254959	6.30595	0.471152	10.5787	0.730615	16.2284	0.949471	21.1093
0.235097	5.10472	0.0709191	1.70578	0.334844	8.10623	0.500466	10.78	0.606035	13.1231	0.867739	18.8312	0.258911	6.25945	0.472406	10.4723	0.731909	15.9275	0.950032	20.6932
0.2395	5.0972	0.0730212	1.71784	0.337083	7.98042	0.50157	10.6451	0.607838	12.9018	0.868908	18.4829	0.262884	6.2155	0.473406	10.3902	0.733226	15.639	0.950608	20.2939
0.243872	5.08933	0.0751248	1.72942	0.339354	7.86078	0.502501	10.5368	0.609669	12.6898	0.870098	18.1485	0.266877	6.1739	0.474146	10.331	0.734566	15.3624	0.951199	19.9105
0.248211	5.0811	0.0772295	1.74054	0.341657	7.74694	0.503249	10.4533	0.611528	12.4863	0.87131	17.8274	0.270888	6.13448	0.474622	10.2936	0.73593	15.0967	0.951805	19.542
0.252516	5.07247	0.0793352	1.75123	0.343992	7.63852	0.503805	10.393	0.613416	12.291	0.872543	17.5186	0.274917	6.09708	0.475309	10.2405	0.737316	14.8415	0.952427	19.1877
0.256784	5.06345	0.0814416	1.7615	0.346359	7.53519	0.504164	10.355	0.615331	12.1035	0.873797	17.2216	0.278963	6.06155	0.476059	10.1837	0.738726	14.5961	0.953063	18.8468
0.261014	5.05401	0.0835486	1.77137	0.348759	7.43667	0.504684	10.3009	0.617273	11.9231	0.875072	16.9358	0.283024	6.02777	0.477086	10.1078	0.740158	14.3601	0.953715	18.5185
0.265204	5.04413	0.0856559	1.78088	0.351192	7.34267	0.505255	10.243	0.619242	11.7497	0.876368	16.6605	0.2871	5.99562	0.478395	10.0141	0.741612	14.1328	0.954383	18.2022
0.26935	5.0338	0.0877636	1.79002	0.353658	7.25294	0.50604	10.1656	0.621238	11.5828	0.877685	16.3951	0.29119	5.96497	0.479993	9.90408	0.743089	13.9139	0.955066	17.8972
0.273452	5.02299	0.0898714	1.79883	0.356158	7.16726	0.507048	10.0701	0.62326	11.4221	0.879023	16.1392	0.295294	5.93573	0.481889	9.77937	0.744588	13.7029	0.955766	17.603
0.277507	5.01171	0.0919792	1.80732	0.358692	7.08541	0.508289	9.95785	0.625308	11.2673	0.880381	15.8923	0.299409	5.90782	0.484092	9.64179	0.746109	13.4995	0.956481	17.3189
0.281513	4.99992	0.0940871	1.8155	0.361261	7.0072	0.509776	9.83063	0.627382	11.118	0.88176	15.6539	0.303536	5.88113	0.486325	9.50979	0.747652	13.3031	0.957212	17.0446
0.285467	4.98761	0.0961948	1.82339	0.363867	6.93246	0.511526	9.69025	0.62921	10.9922	0.883159	15.4236	0.307673	5.85559	0.488587	9.38307	0.749217	13.1136	0.95796	16.7796
0.289367	4.97477	0.0983024	1.831	0.366509	6.86102	0.51332	9.55559	0.630783	10.8881	0.884578	15.2011	0.311821	5.83113	0.490877	9.26133	0.750802	12.9305	0.958724	16.5233
0.293211	4.96139	0.10041	1.83835	0.36919	6.79273	0.51516	9.42636	0.632095	10.804	0.886018	14.9859	0.315978	5.80768	0.493194	9.14432	0.75241	12.7535	0.959505	16.2754
