Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
403  Points		403  Points		395  Points		364  Points		250  Points		146  Points		409  Points		380  Points		352  Points		264  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.31935	2.48182	1.31968	2.48184	0.479767	11.2634	0.852935	20.2629	1.04938	24.3168	1.2963	30.1581	0.256378	7.02519	1.29767	2.60436	0.736282	17.4484	1.07666	25.6433
1.31563	2.48156	1.31597	2.48159	0.482214	10.9498	0.85222	19.5747	1.05084	23.5626	1.29615	29.175	0.257681	6.9278	1.2939	2.60434	0.738636	16.9253	1.07631	24.783
1.31184	2.48116	1.31218	2.4812	0.484681	10.6566	0.851503	18.9306	1.05233	22.8562	1.296	28.2537	0.259344	6.81018	1.29013	2.60432	0.740996	16.4358	1.07596	23.9781
1.308	2.48068	1.30835	2.48073	0.487167	10.3818	0.850785	18.3266	1.05384	22.1932	1.29586	27.3887	0.261378	6.67562	1.28635	2.60428	0.743363	15.9768	1.07561	23.2232
1.30414	2.48014	1.30449	2.48019	0.489668	10.1237	0.850069	17.759	1.05537	21.5698	1.29571	26.575	0.263792	6.52759	1.28257	2.60423	0.745735	15.5455	1.07526	22.5139
1.30026	2.47957	1.30061	2.47962	0.492184	9.88084	0.849355	17.2247	1.05692	20.9826	1.29557	25.8081	0.266599	6.36954	1.27878	2.60417	0.748112	15.1395	1.0749	21.8462
1.29636	2.47897	1.29672	2.47902	0.494713	9.65193	0.848644	16.7208	1.0585	20.4285	1.29543	25.0841	0.269441	6.22285	1.27499	2.60411	0.750492	14.7567	1.07454	21.2166
1.29246	2.47835	1.29282	2.4784	0.497254	9.43578	0.847939	16.2449	1.06009	19.9047	1.2953	24.3995	0.272315	6.08635	1.2712	2.60404	0.752875	14.395	1.07419	20.6219
1.28856	2.47771	1.28891	2.47777	0.499804	9.23133	0.84724	15.7948	1.0617	19.409	1.29517	23.7513	0.275219	5.95901	1.2674	2.60396	0.75526	14.0528	1.07383	20.0592
1.28464	2.47707	1.285	2.47713	0.502362	9.03765	0.84655	15.3684	1.06333	18.939	1.29504	23.1365	0.278149	5.83995	1.2636	2.60387	0.757646	13.7285	1.07348	19.5261
1.28073	2.47641	1.28109	2.47647	0.504928	8.8539	0.845868	14.9639	1.06497	18.4928	1.29492	22.5528	0.281103	5.72838	1.2598	2.60378	0.760034	13.4207	1.07313	19.0204
1.27681	2.47575	1.27717	2.47581	0.507499	8.67932	0.845197	14.5797	1.06662	18.0687	1.2948	21.9978	0.284079	5.6236	1.25599	2.60368	0.762421	13.1283	1.07278	18.5399
1.27289	2.47508	1.27325	2.47514	0.510075	8.51322	0.844538	14.2145	1.06829	17.665	1.29469	21.4694	0.287073	5.52501	1.25218	2.60357	0.764807	12.85	1.07244	18.0829
1.26897	2.4744	1.26933	2.47446	0.512653	8.35498	0.843892	13.8667	1.06997	17.2803	1.29459	20.9659	0.290083	5.43205	1.24837	2.60346	0.767193	12.5849	1.0721	17.6478
1.26505	2.47372	1.26541	2.47378	0.515234	8.20405	0.84326	13.5353	1.07166	16.9133	1.29449	20.4855	0.293108	5.34424	1.24456	2.60334	0.769576	12.332	1.07177	17.2329
1.26113	2.47303	1.26149	2.47309	0.517815	8.0599	0.842644	13.2192	1.07336	16.5628	1.2944	20.0267	0.296144	5.26114	1.24074	2.60322	0.771956	12.0905	1.07144	16.8369
1.25721	2.47234	1.25757	2.4724	0.520395	7.92209	0.842044	12.9173	1.07506	16.2277	1.29433	19.588	0.29919	5.18237	1.23692	2.6031	0.774334	11.8596	1.07113	16.4586
1.25329	2.47165	1.25365	2.47171	0.522642	7.80682	0.841463	12.6287	1.07678	15.907	1.29426	19.1683	0.302244	5.10757	1.2331	2.60296	0.776707	11.6387	1.07082	16.0969
1.24937	2.47095	1.24973	2.47101	0.524557	7.7119	0.8409	12.3527	1.07849	15.5997	1.2942	18.7663	0.305304	5.03642	1.22928	2.60283	0.779075	11.427	1.07052	15.7506
1.24545	2.47025	1.24581	2.47031	0.526138	7.63562	0.840358	12.0884	1.08021	15.3051	1.29415	18.3809	0.308367	4.96865	1.22546	2.60269	0.781439	11.2241	1.07023	15.4189
1.24153	2.46954	1.24189	2.46961	0.527388	7.57666	0.839837	11.8352	1.08194	15.0223	1.29412	18.0112	0.311432	4.90398	1.22164	2.60255	0.783796	11.0293	1.06995	15.1009
1.23762	2.46884	1.23797	2.4689	0.528306	7.53406	0.839339	11.5924	1.08366	14.7507	1.2941	17.6562	0.314496	4.84218	1.21781	2.6024	0.786147	10.8421	1.06969	14.7958
1.2337	2.46813	1.23405	2.46819	0.528893	7.50711	0.838865	11.3594	1.08539	14.4895	1.29409	17.3151	0.317559	4.78305	1.21399	2.60225	0.78849	10.6622	1.06944	14.5027
1.22978	2.46742	1.23014	2.46748	0.529737	7.46881	0.838416	11.1356	1.08712	14.2382	1.2941	16.9872	0.320618	4.72637	1.21016	2.6021	0.790826	10.4891	1.0692	14.2211
1.22586	2.46671	1.22622	2.46677	0.530653	7.42774	0.837992	10.9207	1.08885	13.9962	1.29412	16.6716	0.323672	4.67198	1.20633	2.60195	0.793152	10.3223	1.06898	13.9504
1.22195	2.46599	1.22231	2.46606	0.531898	7.37282	0.837595	10.714	1.09057	13.763	1.29416	16.3677	0.326719	4.61971	1.20251	2.6018	0.79547	10.1616	1.06877	13.6898
1.21804	2.46527	1.21839	2.46534	0.53347	7.30483	0.837227	10.5151	1.09229	13.5381	1.29422	16.075	0.329757	4.56941	1.19868	2.60164	0.797778	10.0066	1.06858	13.4389
