Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
416  Points		417  Points		394  Points		365  Points		294  Points		172  Points		411  Points		397  Points		371  Points		268  Points		172  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.32203	2.38111	1.32291	2.38084	0.466823	12.3075	0.839628	22.2484	0.965743	25.0847	1.29134	33.5794	0.254543	7.08709	1.34132	2.54468	0.699577	18.1051	1.06928	27.6109	1.25941	32.7869
1.3191	2.38202	1.31997	2.38174	0.468979	11.911	0.838282	21.3945	0.96779	24.2295	1.29082	32.3517	0.255468	7.01222	1.3389	2.54707	0.701964	17.5127	1.06845	26.5981	1.26078	31.6338
1.31618	2.38296	1.31705	2.38268	0.471165	11.5434	0.836946	20.6015	0.969854	23.4343	1.29029	31.2094	0.256064	6.96549	1.33647	2.54944	0.704357	16.9616	1.06761	25.6554	1.26217	30.5619
1.31327	2.38392	1.31414	2.38363	0.473381	11.2016	0.835622	19.8632	0.971932	22.6931	1.28976	30.1441	0.256924	6.89987	1.33402	2.55179	0.706754	16.4476	1.06676	24.7757	1.26359	29.5631
1.31038	2.38491	1.31124	2.38461	0.475622	10.8829	0.834311	19.1741	0.974023	22.0005	1.28921	29.1481	0.257864	6.83056	1.33154	2.55411	0.709155	15.9672	1.06591	23.953	1.26504	28.6301
1.30749	2.38593	1.30835	2.38562	0.477886	10.5851	0.833015	18.5297	0.976126	21.3519	1.28866	28.2149	0.259151	6.73949	1.32905	2.5564	0.71156	15.517	1.06506	23.1819	1.26651	27.7567
1.30462	2.38697	1.30547	2.38666	0.480171	10.3063	0.831737	17.9257	0.978239	20.7432	1.28811	27.3388	0.260792	6.6293	1.32653	2.55866	0.713966	15.0944	1.0642	22.4577	1.268	26.9373
1.30175	2.38804	1.3026	2.38772	0.482476	10.0445	0.830476	17.3586	0.980361	20.1708	1.28755	26.5146	0.262795	6.50297	1.32398	2.56088	0.716374	14.6968	1.06334	21.7763	1.26952	26.1672
1.2989	2.38913	1.29975	2.3888	0.484797	9.79842	0.829235	16.825	0.98249	19.6316	1.28698	25.738	0.265168	6.36364	1.32141	2.56306	0.718782	14.3221	1.06249	21.134	1.27105	25.4419
1.29606	2.39026	1.29691	2.38992	0.487133	9.56655	0.828015	16.3223	0.984627	19.1228	1.28642	25.0048	0.267921	6.21444	1.3188	2.56519	0.721191	13.9684	1.06163	20.5276	1.27261	24.7577
1.29324	2.39141	1.29408	2.39106	0.489481	9.3477	0.826818	15.8477	0.986768	18.6418	1.28585	24.3117	0.270703	6.07555	1.31617	2.56727	0.723598	13.6339	1.06078	19.9543	1.27418	24.1112
1.29042	2.39259	1.29126	2.39223	0.491841	9.1408	0.825644	15.3992	0.988914	18.1864	1.28528	23.6554	0.273509	5.94592	1.3135	2.5693	0.726003	13.317	1.05993	19.4113	1.27576	23.4993
1.28761	2.39379	1.28845	2.39343	0.494209	8.94487	0.824495	14.9747	0.991063	17.7547	1.28471	23.033	0.276337	5.82464	1.3108	2.57127	0.728405	13.0165	1.05909	18.8963	1.27736	22.9194
1.28482	2.39503	1.28565	2.39466	0.496585	8.75905	0.823373	14.5723	0.993214	17.3447	1.28414	22.4421	0.279185	5.71091	1.30806	2.57319	0.730805	12.731	1.05825	18.4074	1.27897	22.3691
1.28204	2.39629	1.28287	2.39591	0.498967	8.58255	0.822277	14.1904	0.995367	16.9549	1.28358	21.8803	0.282048	5.60403	1.30528	2.57504	0.7332	12.4594	1.05743	17.9426	1.2806	21.846
1.27927	2.39758	1.28009	2.39719	0.501352	8.41467	0.821211	13.8276	0.997519	16.5839	1.28302	21.3455	0.284925	5.50337	1.30247	2.57682	0.73559	12.2008	1.05661	17.5001	1.28223	21.3482
1.27651	2.3989	1.27733	2.3985	0.50374	8.25477	0.820174	13.4824	0.999671	16.2302	1.28246	20.8359	0.287813	5.40837	1.29962	2.57854	0.737975	11.9541	1.05581	17.0785	1.28387	20.8739
1.27377	2.40025	1.27458	2.39984	0.506128	8.10227	0.819167	13.1538	1.00182	15.8927	1.28191	20.3497	0.290709	5.31854	1.29672	2.58019	0.740353	11.7187	1.05502	16.6764	1.28552	20.4215
1.27103	2.40163	1.27184	2.40121	0.508515	7.95664	0.818193	12.8405	1.00397	15.5702	1.28136	19.8854	0.293611	5.23343	1.29379	2.58177	0.742724	11.4936	1.05424	16.2924	1.28718	19.9894
1.26831	2.40303	1.26912	2.40261	0.5109	7.81741	0.817251	12.5417	1.00611	15.2619	1.28082	19.4416	0.296517	5.15265	1.29082	2.58327	0.745087	11.2783	1.05347	15.9253	1.28884	19.5764
1.26559	2.40447	1.2664	2.40404	0.513282	7.68414	0.816344	12.2562	1.00825	14.9666	1.28029	19.0169	0.299423	5.07585	1.2878	2.58471	0.747441	11.072	1.05273	15.5742	1.2905	19.1812
1.26289	2.40594	1.2637	2.4055	0.515352	7.57255	0.815471	11.9835	1.01039	14.6837	1.27977	18.6102	0.302328	5.00269	1.28475	2.58607	0.749786	10.8742	1.052	15.238	1.29217	18.8026
1.2602	2.40743	1.261	2.40698	0.517114	7.48057	0.814635	11.7225	1.01252	14.4123	1.27926	18.2203	0.30523	4.93288	1.28165	2.58736	0.752121	10.6844	1.05129	14.9159	1.29384	18.4395
1.25753	2.40896	1.25832	2.4085	0.518567	7.4066	0.813836	11.4727	1.01464	14.1518	1.27876	17.8464	0.308126	4.86617	1.27852	2.58858	0.754445	10.5021	1.0506	14.607	1.2955	18.0912
1.25486	2.41051	1.25565	2.41005	0.519714	7.34939	0.813075	11.2334	1.01675	13.9014	1.27828	17.4873	0.311014	4.80231	1.27535	2.58973	0.756758	10.3268	1.04993	14.3105	1.29717	17.7565
