Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
421  Points		412  Points		421  Points		393  Points		369  Points		339  Points		198  Points		413  Points		410  Points		372  Points		271  Points		188  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40204	2.33695	0.216548	198.42	1.40212	2.33695	0.43304	429.483	0.865871	928.424	0.87807	3327.29	1.29902	928.206	0.216507	1291.93	1.40139	2.40006	0.649523	2196.03	1.08253	2184.66	1.17079	876.911
1.39861	2.33686	0.216732	85.5048	1.39869	2.33686	0.433171	176.685	0.865087	364.094	0.878576	514.607	1.29895	456.916	0.216598	134.453	1.39825	2.40061	0.649642	373.541	1.08245	558.284	1.17095	421.431
1.39519	2.33678	0.217062	54.5641	1.39527	2.33678	0.433412	111.273	0.863825	226.169	0.879688	279.208	1.29884	303.025	0.216835	70.9924	1.39526	2.40144	0.64993	204.218	1.08228	319.988	1.17122	277.416
1.39177	2.33671	0.217536	40.1248	1.39186	2.33671	0.433761	81.253	0.862277	163.845	0.881192	191.813	1.29869	226.662	0.217216	48.2949	1.39241	2.4025	0.650381	140.596	1.08203	224.225	1.17159	206.803
1.38837	2.33666	0.218152	31.7781	1.38846	2.33666	0.434217	64.027	0.860566	128.325	0.882934	146.244	1.29849	181.024	0.217742	36.6502	1.38967	2.40375	0.650991	107.26	1.08168	172.545	1.17208	164.881
1.38498	2.33662	0.218908	26.3482	1.38506	2.33662	0.434778	52.8596	0.858761	105.376	0.884822	118.279	1.29824	150.672	0.218408	29.5768	1.387	2.40513	0.651751	86.7538	1.08126	140.198	1.17266	137.121
1.38159	2.3366	0.219799	22.5397	1.38167	2.3366	0.435442	45.037	0.856904	89.3271	0.886805	99.3714	1.29796	129.025	0.219213	24.832	1.38438	2.40662	0.652654	72.8731	1.08075	118.041	1.17335	117.389
1.37821	2.33659	0.220822	19.7251	1.37829	2.33659	0.436206	39.2557	0.855017	77.4734	0.888853	85.7343	1.29763	112.807	0.220152	21.4339	1.38181	2.4082	0.653689	62.8583	1.08017	101.911	1.17412	102.644
1.37484	2.33659	0.221973	17.5634	1.37492	2.33659	0.437067	34.8114	0.853114	68.3605	0.890948	75.4344	1.29727	100.202	0.221222	18.8843	1.37928	2.40984	0.654848	55.2951	1.07951	89.6416	1.175	91.2112
1.37148	2.33661	0.223248	15.8537	1.37156	2.33661	0.438023	31.2903	0.851206	61.1367	0.893079	67.3804	1.29686	90.123	0.222418	16.9037	1.37677	2.41154	0.656119	49.3837	1.07878	79.9936	1.17595	82.088
1.36813	2.33665	0.224641	14.4695	1.36821	2.33665	0.439069	28.4334	0.849299	55.2699	0.895237	60.9102	1.29641	81.8792	0.223736	15.323	1.37429	2.41329	0.657495	44.6379	1.07799	72.2068	1.17699	74.6401
1.36479	2.3367	0.226147	13.3275	1.36487	2.3367	0.440203	26.07	0.847397	50.411	0.897418	55.5986	1.29593	75.0106	0.22517	14.0339	1.37182	2.41508	0.658965	40.745	1.07715	65.7893	1.17811	68.4459
1.36146	2.33677	0.227761	12.3704	1.36154	2.33677	0.44142	24.0834	0.845504	46.321	0.899618	51.16	1.29541	69.1994	0.226716	12.964	1.36937	2.41692	0.660521	37.4949	1.07624	60.4086	1.1793	63.214
1.35813	2.33686	0.229479	11.5576	1.35822	2.33686	0.442718	22.391	0.843622	42.831	0.901835	47.3957	1.29486	64.2184	0.228368	12.0629	1.36694	2.41879	0.662155	34.7412	1.07529	55.8318	1.18056	58.737
1.35482	2.33696	0.231293	10.8595	1.3549	2.33696	0.444092	20.9324	0.841754	39.8183	0.904064	44.1628	1.29427	59.9013	0.230121	11.2944	1.36453	2.4207	0.663859	32.3786	1.07429	51.891	1.18188	54.8629
1.35152	2.33708	0.2332	10.2541	1.3516	2.33708	0.445539	19.6629	0.8399	37.1913	0.906306	41.3564	1.29365	56.1235	0.231969	10.6319	1.36212	2.42264	0.665628	30.3297	1.07325	48.462	1.18326	51.4779
1.34822	2.33722	0.235193	9.72459	1.3483	2.33722	0.447055	18.5482	0.838063	34.8806	0.908559	38.8973	1.29301	52.7897	0.233907	10.0555	1.35973	2.42461	0.667454	28.5361	1.07217	45.451	1.1847	48.4952
1.34494	2.33738	0.237267	9.25786	1.34502	2.33737	0.448636	17.5621	0.836244	32.8325	0.910821	36.7247	1.29233	49.8259	0.235931	9.54993	1.35735	2.42661	0.669333	26.9532	1.07106	42.7859	1.18619	45.8473
1.34166	2.33755	0.239418	8.84371	1.34175	2.33754	0.450278	16.6837	0.834444	31.0048	0.913091	34.7915	1.29162	47.1736	0.238033	9.10318	1.35499	2.42865	0.671258	25.5459	1.06991	40.4103	1.18772	43.481
1.3384	2.33774	0.24164	8.47398	1.33848	2.33774	0.451978	15.8966	0.832664	29.3639	0.915369	33.0601	1.2909	44.786	0.24021	8.70587	1.35263	2.43072	0.673226	24.2867	1.06875	38.2794	1.1893	41.3537
1.33515	2.33795	0.243928	8.14209	1.33523	2.33795	0.453733	15.1873	0.830905	27.8826	0.917653	31.5004	1.29014	42.6254	0.242456	8.35045	1.35029	2.43281	0.675233	23.1535	1.06756	36.3573	1.19093	39.4312
1.3319	2.33819	0.246277	7.84265	1.33198	2.33818	0.455539	14.545	0.829168	26.5389	0.919942	30.0883	1.28937	40.6607	0.244767	8.0308	1.34795	2.43494	0.677274	22.1283	1.06635	34.6146	1.19259	37.6852
1.32867	2.33844	0.248683	7.57126	1.32875	2.33843	0.457392	13.9608	0.827453	25.3145	0.922237	28.8035	1.28857	38.8665	0.247137	7.74193	1.34563	2.43709	0.679346	21.1964	1.06513	33.0275	1.19428	36.0926
1.32545	2.33871	0.251141	7.32425	1.32553	2.3387	0.45929	13.4272	0.825762	24.1944	0.924535	27.6298	1.28776	37.2215	0.249247	7.51205	1.34331	2.43928	0.681446	20.3457	1.06389	31.576	1.19601	34.6341
1.32224	2.339	0.253647	7.09852	1.32232	2.33899	0.461228	12.9379	0.824096	23.1659	0.926838	26.5532	1.28692	35.7077	0.251077	7.33032	1.34101	2.44149	0.683571	19.5659	1.06265	30.2434	1.19777	33.2934
1.31904	2.33931	0.256197	6.8915	1.31912	2.3393	0.463206	12.4878	0.822454	22.2183	0.929143	25.5622	1.28608	34.3101	0.25261	7.18899	1.33871	2.44373	0.685719	18.8487	1.06139	29.0158	1.19955	32.0569
1.31585	2.33965	0.258786	6.70099	1.31593	2.33964	0.465218	12.0723	0.820839	21.3424	0.93145	24.647	1.28521	33.0158	0.253835	7.08253	1.33642	2.446	0.687887	18.1867	1.06014	27.8812	1.20137	30.9129
1.31267	2.34	0.261411	6.52509	1.31275	2.33999	0.467263	11.6876	0.81925	20.5307	0.93376	23.7991	1.28434	31.8137	0.254742	7.00705	1.33414	2.44829	0.690073	17.5739	1.05887	26.8296	1.2032	29.8514
1.30951	2.34038	0.264069	6.3622	1.30959	2.34037	0.469338	11.3304	0.817689	19.7762	0.93607	23.0115	1.28346	30.6944	0.255325	6.95994	1.33187	2.45062	0.692275	17.0049	1.05761	25.8521	1.20505	28.8638
1.30635	2.34078	0.266755	6.21093	1.30643	2.34077	0.471439	10.9979	0.816156	19.0733	0.93838	22.2778	1.28256	29.6495	0.256167	6.89377	1.32961	2.45297	0.69449	16.4752	1.05635	24.9413	1.20693	27.9426
1.30321	2.3412	0.269466	6.07005	1.30329	2.34119	0.473566	10.6877	0.814653	18.4169	0.940691	21.5927	1.28166	28.672	0.257088	6.82388	1.32735	2.45534	0.696718	15.9808	1.05509	24.0907	1.20882	27.0814
1.30008	2.34164	0.272198	5.93853	1.30015	2.34163	0.475714	10.3975	0.813179	17.8027	0.943001	20.9516	1.28075	27.7554	0.258347	6.73203	1.32511	2.45775	0.698956	15.5184	1.05384	23.2944	1.21072	26.2745
1.29696	2.34211	0.27495	5.81542	1.29703	2.3421	0.477882	10.1254	0.811736	17.2268	0.945309	20.3503	1.27984	26.8944	0.259952	6.62088	1.32287	2.46018	0.701202	15.0849	1.0526	22.5475	1.21264	25.5169
1.29385	2.34261	0.277716	5.69993	1.29392	2.34259	0.480067	9.86987	0.810325	16.6857	0.947616	19.7851	1.27892	26.084	0.26191	6.49343	1.32063	2.46264	0.703456	14.6776	1.05136	21.8456	1.21458	24.8042
1.29075	2.34312	0.280495	5.59132	1.29083	2.34311	0.482268	9.62936	0.808946	16.1765	0.94992	19.253	1.278	25.3199	0.264229	6.35281	1.31841	2.46512	0.705716	14.2943	1.05013	21.1847	1.21652	24.1326
1.28767	2.34366	0.283283	5.48898	1.28774	2.34365	0.484481	9.40258	0.807601	15.6966	0.952221	18.7511	1.27708	24.5982	0.266917	6.2022	1.31619	2.46763	0.70798	13.9328	1.04892	20.5615	1.21847	23.4985
1.28459	2.34423	0.286078	5.39232	1.28467	2.34421	0.486706	9.18836	0.806289	15.2434	0.954518	18.2769	1.27616	23.9156	0.269629	6.06191	1.31397	2.47016	0.710247	13.5913	1.04772	19.9729	1.22043	22.8989
1.28153	2.34482	0.288877	5.30086	1.28161	2.3448	0.488939	8.98567	0.805012	14.815	0.956811	17.8281	1.27525	23.2691	0.272363	5.93091	1.31176	2.47272	0.712516	13.2683	1.04653	19.416	1.2224	22.331
1.27848	2.34544	0.291677	5.21414	1.27856	2.34542	0.491179	8.79358	0.803772	14.4094	0.959099	17.4027	1.27433	22.6557	0.275115	5.80829	1.30956	2.4753	0.714785	12.9621	1.04536	18.8885	1.22437	21.7924
1.27545	2.34608	0.294475	5.13175	1.27552	2.34606	0.493424	8.61125	0.802568	14.025	0.961381	16.9989	1.27343	22.0732	0.277882	5.69322	1.30736	2.4779	0.717054	12.6716	1.04421	18.3881	1.22635	21.2809
1.27242	2.34675	0.29727	5.05334	1.2725	2.34673	0.495672	8.43793	0.801401	13.66	0.963657	16.6151	1.27253	21.5192	0.280662	5.58501	1.30516	2.48053	0.71932	12.3955	1.04307	17.9128	1.22833	20.7944
1.26941	2.34744	0.300057	4.97857	1.26949	2.34743	0.497921	8.27295	0.800273	13.3133	0.965927	16.2498	1.27163	20.9917	0.283451	5.48302	1.30297	2.48318	0.721584	12.1327	1.04196	17.4609	1.23031	20.3311
1.26641	2.34817	0.302836	4.90715	1.26649	2.34815	0.50017	8.11568	0.799185	12.9834	0.968189	15.9017	1.27075	20.4889	0.286246	5.3867	1.30079	2.48585	0.723844	11.8823	1.04087	17.0307	1.23229	19.8895
1.26343	2.34892	0.305603	4.83882	1.2635	2.3489	0.502416	7.96557	0.798136	12.6693	0.970443	15.5697	1.26987	20.0092	0.289045	5.29553	1.2986	2.48854	0.726098	11.6435	1.0398	16.6206	1.23427	19.4679
1.26046	2.34969	0.308356	4.77332	1.26053	2.34967	0.504658	7.82211	0.79713	12.3699	0.972688	15.2525	1.26901	19.5509	0.291845	5.20908	1.29642	2.49124	0.728346	11.4153	1.03875	16.2295	1.23625	19.0651
1.25749	2.3505	0.311093	4.71044	1.25757	2.35048	0.506894	7.68485	0.796165	12.0842	0.974923	14.9492	1.26816	19.1128	0.294643	5.12694	1.29424	2.49397	0.730587	11.1971	1.03773	15.8559	1.23823	18.6798
1.25455	2.35133	0.313812	4.64998	1.25462	2.35131	0.508837	7.56995	0.795243	11.8115	0.977149	14.6589	1.26732	18.6935	0.297437	5.04875	1.29206	2.49672	0.732819	10.9883	1.03673	15.4989	1.2402	18.3108
1.25161	2.35219	0.31651	4.59176	1.25168	2.35217	0.510487	7.47526	0.794366	11.5508	0.979364	14.3807	1.2665	18.292	0.300224	4.97419	1.28988	2.49948	0.735042	10.7881	1.03576	15.1573	1.24217	17.9572
1.24869	2.35309	0.319185	4.53559	1.24876	2.35306	0.511848	7.39913	0.793534	11.3015	0.981567	14.1139	1.2657	17.9071	0.303002	4.90297	1.2877	2.50225	0.737255	10.5961	1.03482	14.8303	1.24413	17.618
1.24578	2.35401	0.321835	4.48134	1.24585	2.35398	0.512921	7.34025	0.792748	11.0629	0.983758	13.8578	1.26491	17.5378	0.305768	4.83481	1.28552	2.50504	0.739456	10.4118	1.03391	14.517	1.24609	17.2922
1.24289	2.35496	0.324459	4.42886	1.24296	2.35493	0.513708	7.29768	0.792008	10.8344	0.985936	13.6118	1.26414	17.1832	0.308521	4.76948	1.28334	2.50784	0.741645	10.2346	1.03303	14.2165	1.24803	16.9791
1.24	2.35594	0.327053	4.37801	1.24007	2.35591	0.514212	7.27075	0.791317	10.6153	0.988101	13.3751	1.26339	16.8426	0.311257	4.70675	1.28115	2.51065	0.74382	10.0641	1.03218	13.9281	1.24997	16.678
1.23713	2.35695	0.329617	4.32869	1.2372	2.35693	0.514933	7.23246	0.790675	10.4052	0.990251	13.1474	1.26267	16.5151	0.313974	4.64643	1.27896	2.51346	0.745981	9.90004	1.03136	13.6512	1.2519	16.3881
1.23428	2.35799	0.332147	4.28079	1.23435	2.35797	0.515716	7.19139	0.790082	10.2036	0.992386	12.928	1.26196	16.2001	0.316671	4.58833	1.27676	2.51629	0.748126	9.7419	1.03058	13.3851	1.25382	16.1088
1.23143	2.35907	0.334644	4.23419	1.2315	2.35904	0.516779	7.13643	0.789541	10.01	0.994506	12.7165	1.26128	15.8968	0.319345	4.53229	1.27456	2.51911	0.750256	9.58939	1.02983	13.1292	1.25572	15.8396
1.2286	2.36017	0.337104	4.18882	1.22867	2.36014	0.518117	7.06837	0.789051	9.82405	0.996609	12.5124	1.26062	15.6046	0.321994	4.47814	1.27235	2.52194	0.752367	9.44219	1.02912	12.8831	1.25761	15.5798
1.22579	2.36131	0.339526	4.14458	1.22586	2.36128	0.519728	6.98812	0.788614	9.64528	0.998694	12.3154	1.25999	15.323	0.324615	4.42576	1.27013	2.52476	0.754461	9.30001	1.02844	12.6461	1.25949	15.329
1.22298	2.36247	0.341909	4.10141	1.22305	2.36244	0.521605	6.89673	0.78823	9.47335	1.00076	12.1251	1.25938	15.0514	0.327208	4.37501	1.2679	2.52758	0.756536	9.16256	1.0278	12.4178	1.26135	15.0866
1.22019	2.36367	0.344252	4.05923	1.22026	2.36364	0.523743	6.79532	0.787901	9.30793	1.00281	11.9411	1.25881	14.7894	0.329769	4.32578	1.26566	2.5304	0.758591	9.0296	1.0272	12.1978	1.2632	14.8523
1.21742	2.36491	0.346553	4.01798	1.21748	2.36488	0.525862	6.69738	0.787627	9.14869	1.00484	11.7631	1.25826	14.5365	0.332298	4.27795	1.26341	2.5332	0.760625	8.90089	1.02663	11.9857	1.26503	14.6256
1.21465	2.36617	0.348811	3.97759	1.21472	2.36614	0.527961	6.60273	0.787409	8.99535	1.00685	11.5908	1.25774	14.2922	0.334792	4.23144	1.26114	2.53599	0.762637	8.7762	1.02611	11.7811	1.26684	14.4061
1.2119	2.36747	0.351025	3.93802	1.21197	2.36744	0.530037	6.51116	0.787248	8.84762	1.00884	11.4238	1.25725	14.0561	0.33725	4.18613	1.25885	2.53876	0.764627	8.65533	1.02563	11.5836	1.26863	14.1935
1.20916	2.3688	0.353194	3.89923	1.20923	2.36877	0.53209	6.42251	0.787145	8.70524	1.0108	11.262	1.2568	13.8278	0.33967	4.14197	1.25654	2.5415	0.766593	8.53809	1.02519	11.3929	1.27041	13.9875
1.20644	2.37017	0.355319	3.86115	1.20651	2.37014	0.534119	6.3366	0.787099	8.56797	1.01275	11.1051	1.25637	13.6071	0.342051	4.09885	1.25422	2.54422	0.768535	8.42429	1.0248	11.2087	1.27216	13.7877
1.20373	2.37157	0.357397	3.82376	1.2038	2.37153	0.536122	6.25328	0.787113	8.43558	1.01467	10.9528	1.25599	13.3935	0.344391	4.05673	1.25187	2.54691	0.770452	8.31377	1.02444	11.0307	1.27389	13.5938
1.20103	2.373	0.35943	3.78703	1.2011	2.37297	0.538097	6.17241	0.787186	8.30785	1.01656	10.8049	1.25563	13.1868	0.346689	4.01553	1.24949	2.54957	0.772344	8.20636	1.02413	10.8587	1.27559	13.4055
1.19835	2.37447	0.361417	3.75092	1.19841	2.37444	0.540045	6.09386	0.787319	8.18458	1.01843	10.6612	1.25532	12.9866	0.348945	3.9752	1.24709	2.55218	0.774209	8.10193	1.02387	10.6923	1.27728	13.2226
1.19568	2.37598	0.363357	3.7154	1.19574	2.37594	0.541964	6.01751	0.787512	8.06556	1.02028	10.5216	1.25504	12.7927	0.351156	3.93568	1.24466	2.55476	0.776046	8.00032	1.02366	10.5313	1.27894	13.0449
1.19302	2.37751	0.365252	3.68046	1.19309	2.37747	0.543853	5.94323	0.787766	7.95063	1.0221	10.3858	1.25479	12.6048	0.353323	3.89692	1.2422	2.55728	0.777857	7.90141	1.02349	10.3754	1.28057	12.872
1.19038	2.37909	0.367101	3.64606	1.19044	2.37905	0.545711	5.87093	0.788037	7.85367	1.02389	10.2536	1.25459	12.4226	0.355445	3.85889	1.2397	2.55975	0.779411	7.81732	1.02336	10.2246	1.28218	12.7039
1.18774	2.3807	0.368906	3.6122	1.18781	2.38065	0.547536	5.8005	0.788305	7.77328	1.02566	10.1249	1.25443	12.246	0.357521	3.82154	1.23717	2.56215	0.780719	7.74712	1.02329	10.0785	1.28375	12.5402
1.18513	2.38234	0.370666	3.57886	1.18519	2.3823	0.549329	5.73185	0.788552	7.70832	1.0274	9.99963	1.2543	12.0746	0.35955	3.78485	1.2346	2.5645	0.781788	7.69007	1.02326	9.93698	1.28531	12.3808
1.18252	2.38402	0.372383	3.54602	1.18258	2.38398	0.551089	5.66489	0.788764	7.65791	1.02911	9.87751	1.25422	11.9084	0.361534	3.74877	1.23199	2.56678	0.782626	7.64559	1.02329	9.79984	1.28683	12.2254
1.17993	2.38573	0.374059	3.51368	1.17999	2.38569	0.552814	5.59954	0.788929	7.62137	1.03079	9.75845	1.25418	11.747	0.363472	3.71329	1.22934	2.56899	0.783237	7.61322	1.02336	9.66691	1.28832	12.0741
1.17735	2.38749	0.375693	3.48183	1.17741	2.38744	0.554504	5.53573	0.789038	7.59821	1.03244	9.64233	1.25418	11.5903	0.365364	3.67838	1.22665	2.57112	0.783627	7.59266	1.02348	9.53802	1.28978	11.9264
1.17478	2.38927	0.377288	3.45045	1.17484	2.38923	0.556159	5.47339	0.789202	7.56523	1.03406	9.52902	1.25423	11.4382	0.367211	3.64401	1.22392	2.57317	0.784184	7.5633	1.02365	9.41301	1.29122	11.7824
1.17223	2.3911	0.378845	3.41955	1.17229	2.39105	0.557779	5.41244	0.789387	7.5298	1.03565	9.41841	1.25432	11.2904	0.369012	3.61018	1.22114	2.57514	0.784785	7.53166	1.02388	9.29174	1.29262	11.6419
1.16968	2.39296	0.380366	3.38913	1.16975	2.39291	0.559362	5.35283	0.789651	7.48228	1.03721	9.3104	1.25445	11.1468	0.37077	3.57687	1.21832	2.57703	0.785597	7.48906	1.02415	9.17405	1.29399	11.5046
1.16715	2.39485	0.381852	3.35917	1.16722	2.3948	0.560909	5.29451	0.790006	7.42328	1.03874	9.20487	1.25463	11.0072	0.372485	3.54407	1.21545	2.57884	0.786614	7.43591	1.02447	9.05982	1.29532	11.3706
1.16463	2.39678	0.383306	3.32968	1.1647	2.39673	0.562419	5.23741	0.790466	7.35352	1.04024	9.10174	1.25485	10.8715	0.374158	3.51176	1.21253	2.58055	0.787828	7.37266	1.02485	8.94892	1.29663	11.2396
1.16213	2.39875	0.384728	3.30065	1.16219	2.3987	0.563893	5.18149	0.791049	7.27383	1.04171	9.0009	1.25512	10.7395	0.37579	3.47993	1.20957	2.58218	0.789231	7.29986	1.02528	8.84121	1.2979	11.1116
1.15963	2.40075	0.386121	3.27208	1.1597	2.4007	0.56533	5.1267	0.791775	7.18514	1.04315	8.90229	1.25544	10.6112	0.377383	3.44859	1.20656	2.58373	0.790812	7.21812	1.02575	8.73659	1.29913	10.9865
1.15715	2.40279	0.387488	3.24398	1.15721	2.40274	0.566731	5.073	0.792562	7.09929	1.04455	8.80581	1.2558	10.4863	0.378938	3.41772	1.20351	2.58518	0.792362	7.13822	1.02628	8.63493	1.30034	10.864
1.15468	2.40486	0.388829	3.21634	1.15474	2.40481	0.568095	5.02035	0.793409	7.01617	1.04592	8.71138	1.25621	10.3648	0.380456	3.38732	1.20042	2.58656	0.793881	7.0601	1.02686	8.53613	1.30151	10.7442
1.15221	2.40697	0.390147	3.18917	1.15227	2.40691	0.569424	4.96871	0.794315	6.93565	1.04727	8.61895	1.25666	10.2465	0.38194	3.35739	1.19728	2.58785	0.795368	6.98369	1.02749	8.44009	1.30264	10.627
1.14976	2.40911	0.391444	3.16246	1.14982	2.40905	0.570717	4.91805	0.79528	6.85766	1.04858	8.52843	1.25716	10.1313	0.383392	3.32792	1.1941	2.58906	0.796825	6.90892	1.02817	8.34671	1.30375	10.5122
1.14731	2.41127	0.392722	3.13622	1.14737	2.41122	0.571974	4.86834	0.796304	6.78207	1.04986	8.43976	1.2577	10.0192	0.384812	3.29892	1.19089	2.59019	0.79825	6.83573	1.0289	8.25588	1.30481	10.3998
1.14488	2.41347	0.393984	3.11044	1.14494	2.41342	0.573198	4.81954	0.797384	6.7088	1.05111	8.35288	1.2583	9.90994	0.386204	3.27038	1.18763	2.59124	0.799645	6.76407	1.02967	8.16752	1.30585	10.2897
1.14245	2.4157	0.39523	3.08512	1.14251	2.41564	0.574387	4.77163	0.798522	6.63777	1.05233	8.26774	1.25893	9.80352	0.387569	3.24231	1.18434	2.59222	0.80101	6.69388	1.03039	8.09247	1.30685	10.1818
1.14002	2.41795	0.396464	3.06027	1.14008	2.41789	0.575543	4.72458	0.799715	6.56887	1.05352	8.18427	1.25962	9.69981	0.388909	3.2147	1.18101	2.59313	0.802344	6.62512	1.03103	8.02987	1.30782	10.076
1.1376	2.42022	0.397686	3.03588	1.13766	2.42016	0.576667	4.67838	0.800962	6.50203	1.05453	8.11287	1.26034	9.59872	0.390225	3.18756	1.17765	2.59397	0.803649	6.55774	1.03158	7.97905	1.30876	9.97236
1.13517	2.4225	0.3989	3.01196	1.13523	2.42244	0.577759	4.63298	0.802263	6.43716	1.05537	8.05295	1.26112	9.50017	0.391521	3.16087	1.17426	2.59475	0.804925	6.4917	1.03202	7.93945	1.30967	9.87071
1.13274	2.42478	0.400106	2.9885	1.1328	2.42472	0.578821	4.58839	0.803616	6.37419	1.05606	8.00405	1.26193	9.40407	0.392799	3.13466	1.17084	2.59546	0.806173	6.42694	1.03236	7.91066	1.31054	9.77102
1.1303	2.42705	0.401307	2.9655	1.13036	2.427	0.579853	4.54457	0.805019	6.31305	1.0566	7.96579	1.26279	9.31033	0.394059	3.10891	1.16739	2.59612	0.807393	6.36345	1.03258	7.89237	1.31139	9.67323
1.12784	2.42929	0.402504	2.94296	1.1279	2.42924	0.580856	4.50152	0.806472	6.25366	1.05699	7.93788	1.2637	9.21888	0.395304	3.08362	1.16391	2.59672	0.808587	6.30117	1.03289	7.86628	1.31221	9.57728
1.12534	2.43147	0.4037	2.92087	1.1254	2.43142	0.581832	4.4592	0.807973	6.19595	1.05724	7.92012	1.26464	9.12964	0.396537	3.0588	1.16041	2.59727	0.809755	6.24009	1.03324	7.83817	1.31299	9.48312
1.12279	2.43355	0.404895	2.89925	1.12285	2.4335	0.582782	4.41761	0.809521	6.13986	1.05759	7.89473	1.26563	9.04254	0.397759	3.03444	1.15688	2.59777	0.810897	6.18015	1.03373	7.80037	1.31375	9.39072
