Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		374  Points		355  Points		227  Points		396  Points		379  Points		289  Points		231  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40293	2.49678	1.40023	2.49647	0.433013	10122.1	0.866024	787.283	1.23198	1147.1	0.216532	261.676	1.40175	2.60477	0.821318	3794.12	1.08253	1562.83
1.39908	2.49634	1.39638	2.49603	0.433278	291.543	0.86602	340.498	1.232	489.399	0.216697	95.4251	1.39794	2.60467	0.821355	494.838	1.08254	506.793
1.39523	2.4959	1.39253	2.4956	0.434014	148.151	0.866012	217.222	1.23203	311.06	0.217015	58.4279	1.39413	2.60458	0.821451	264.709	1.08254	302.434
1.39138	2.49547	1.38869	2.49516	0.435149	99.5103	0.866001	159.48	1.23207	227.988	0.217485	42.1677	1.39033	2.6045	0.821605	180.708	1.08255	215.527
1.38754	2.49503	1.38485	2.49472	0.436599	75.0649	0.865986	125.989	1.23213	179.939	0.218104	33.0412	1.38652	2.60441	0.821816	137.199	1.08256	167.419
1.3837	2.49459	1.381	2.49429	0.438288	60.373	0.865968	104.122	1.23221	148.622	0.218871	27.208	1.38272	2.60433	0.822084	110.594	1.08258	136.87
1.37985	2.49416	1.37716	2.49385	0.440156	50.575	0.865947	88.7217	1.2323	126.594	0.219781	23.1647	1.37892	2.60425	0.822409	92.6478	1.0826	115.75
1.37601	2.49372	1.37333	2.49342	0.442162	43.5782	0.865923	77.2894	1.2324	110.256	0.220831	20.202	1.37512	2.60418	0.82279	79.727	1.08262	100.277
1.37218	2.49329	1.36949	2.49299	0.444273	38.3332	0.865896	68.4664	1.23251	97.6555	0.222017	17.9415	1.37133	2.60411	0.823227	69.9816	1.08265	88.4541
1.36834	2.49286	1.36566	2.49256	0.446469	34.2564	0.865866	61.4508	1.23264	87.6425	0.223334	16.1627	1.36754	2.60405	0.823719	62.3706	1.08268	79.1256
1.36451	2.49243	1.36182	2.49213	0.448731	30.9971	0.865833	55.7387	1.23278	79.4942	0.224778	14.7287	1.36375	2.604	0.824265	56.2629	1.08271	71.5776
1.36068	2.492	1.35799	2.4917	0.451049	28.3324	0.865798	50.9978	1.23293	72.7343	0.226344	13.5498	1.35997	2.60395	0.824864	51.2542	1.08275	65.3448
1.35685	2.49158	1.35417	2.49128	0.453414	26.1134	0.86576	46.9997	1.23309	67.0359	0.228026	12.5648	1.35619	2.6039	0.825516	47.0729	1.08279	60.1111
1.35302	2.49115	1.35034	2.49085	0.45582	24.2371	0.86572	43.5826	1.23327	62.1673	0.229819	11.7306	1.35241	2.60387	0.826219	43.5302	1.08284	55.6541
1.3492	2.49073	1.34652	2.49043	0.45826	22.6301	0.865678	40.6283	1.23345	57.9597	0.231719	11.016	1.34864	2.60384	0.826973	40.4908	1.08289	51.8129
1.34537	2.49031	1.3427	2.49001	0.460731	21.2383	0.865634	38.0488	1.23365	54.287	0.233719	10.3976	1.34487	2.60383	0.827775	37.8548	1.08294	48.4682
1.34155	2.48989	1.33888	2.4896	0.46323	20.0214	0.865589	35.777	1.23386	51.0535	0.235814	9.85785	1.34111	2.60382	0.828627	35.5474	1.083	45.5296
1.33774	2.48947	1.33506	2.48918	0.465753	18.9483	0.865543	33.7609	1.23408	48.1848	0.237715	9.44088	1.33735	2.60383	0.829525	33.5109	1.08306	42.9274
1.33392	2.48906	1.33125	2.48877	0.468299	17.9952	0.865495	31.9598	1.23431	45.6225	0.239386	9.11895	1.3336	2.60384	0.830469	31.7006	1.08313	40.607
1.33011	2.48865	1.32744	2.48836	0.470866	17.143	0.865447	30.3408	1.23454	43.3201	0.240803	8.87322	1.32986	2.60388	0.831458	30.081	1.0832	38.525
1.3263	2.48824	1.32363	2.48795	0.473451	16.3766	0.865398	28.8779	1.23479	41.24	0.241944	8.69077	1.32613	2.60392	0.83249	28.6236	1.08328	36.6465
1.32249	2.48783	1.31982	2.48755	0.476054	15.6836	0.86535	27.5493	1.23504	39.3514	0.242795	8.56278	1.3224	2.60399	0.833564	27.3055	1.08336	34.9431
1.31869	2.48743	1.31602	2.48715	0.478672	15.054	0.865301	26.3375	1.2353	37.6291	0.243345	8.48347	1.31868	2.60407	0.834679	26.1076	1.08345	33.3914
1.31488	2.48703	1.31222	2.48675	0.481306	14.4795	0.865253	25.2278	1.23557	36.0521	0.244142	8.37282	1.31498	2.60417	0.835834	25.0144	1.08354	31.972
1.31109	2.48663	1.30843	2.48636	0.483953	13.9533	0.865206	24.2076	1.23584	34.6028	0.245017	8.25686	1.31128	2.60429	0.837028	24.0129	1.08364	30.6688
1.30729	2.48624	1.30463	2.48596	0.486614	13.4695	0.86516	23.2667	1.23612	33.2662	0.246222	8.10596	1.30759	2.60444	0.838258	23.092	1.08375	29.468
1.3035	2.48585	1.30084	2.48558	0.489286	13.0231	0.865115	22.3962	1.2364	32.0296	0.247769	7.92555	1.30392	2.60461	0.839524	22.2424	1.08386	28.3581
1.29971	2.48546	1.29705	2.48519	0.491969	12.6101	0.865073	21.5884	1.23669	30.8824	0.249674	7.72164	1.30026	2.60481	0.840825	21.4564	1.08398	27.3291
1.29592	2.48508	1.29327	2.48482	0.494663	12.2268	0.865033	20.8369	1.23698	29.815	0.251952	7.50035	1.29662	2.60504	0.842159	20.727	1.0841	26.3726
1.29214	2.4847	1.28949	2.48444	0.497366	11.8701	0.864995	20.1359	1.23728	28.8195	0.254623	7.26758	1.29299	2.6053	0.843524	20.0484	1.08423	25.4811
1.28836	2.48433	1.28571	2.48407	0.500078	11.5374	0.864961	19.4805	1.23757	27.8888	0.25735	7.05478	1.28938	2.6056	0.844921	19.4155	1.08437	24.6483
1.28458	2.48396	1.28194	2.48371	0.502798	11.2263	0.864931	18.8666	1.23787	27.0168	0.26013	6.85956	1.28578	2.60594	0.846346	18.824	1.08452	23.8685
1.28081	2.4836	1.27817	2.48334	0.505526	10.9348	0.864904	18.2901	1.23818	26.1981	0.262959	6.67991	1.28221	2.60632	0.8478	18.2698	1.08468	23.137
1.27704	2.48324	1.2744	2.48299	0.50826	10.6611	0.864882	17.7479	1.23848	25.428	0.265833	6.51408	1.27866	2.60675	0.849281	17.7496	1.08484	22.4493
1.27327	2.48288	1.27064	2.48264	0.511001	10.4036	0.864865	17.237	1.23878	24.7021	0.26875	6.36058	1.27513	2.60723	0.850788	17.2604	1.08501	21.8017
1.26951	2.48254	1.26688	2.4823	0.513747	10.1609	0.864854	16.7548	1.23909	24.0169	0.271706	6.21813	1.27162	2.60776	0.852319	16.7995	1.0852	21.1907
1.26575	2.48219	1.26312	2.48196	0.516497	9.93182	0.864848	16.299	1.23939	23.369	0.274699	6.08561	1.26814	2.60835	0.853873	16.3646	1.08539	20.6135
1.262	2.48186	1.25937	2.48163	0.519253	9.71516	0.864848	15.8673	1.23969	22.7554	0.277726	5.96203	1.2647	2.609	0.85545	15.9535	1.08559	20.0672
1.25825	2.48153	1.25562	2.4813	0.522012	9.50996	0.864856	15.4581	1.23999	22.1735	0.280785	5.84653	1.26128	2.60971	0.857047	15.5643	1.0858	19.5495
