Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Sym7		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7	
311  Points		310  Points		303  Points		293  Points		285  Points		218  Points		177  Points		105  Points		310  Points		304  Points		296  Points		257  Points		217  Points		179  Points		105  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.07902	2.50682	2.07843	2.50689	0.542342	10.5494	0.870751	16.0782	1.29596	24.8796	1.42962	26.8462	1.73423	32.1769	2.16503	41.4874	0.260522	6.881	0.648369	12.1977	0.957427	18.3558	1.09177	20.6605	1.51655	28.3832	1.88752	34.5136	1.95435	37.4179
2.07236	2.50754	2.07177	2.5076	0.545585	10.258	0.871342	15.2734	1.29571	23.5662	1.43177	25.5013	1.73448	30.5424	2.16504	39.3088	0.266319	6.53485	0.648434	11.5693	0.959259	17.4246	1.0929	19.6086	1.51668	26.9278	1.88838	32.7947	1.95506	35.4674
2.06571	2.50827	2.06512	2.50834	0.548158	10.0411	0.871979	14.547	1.29547	22.3842	1.434	24.2897	1.73474	29.0666	2.16505	37.3476	0.272294	6.23869	0.648525	11.073	0.961145	16.5874	1.09411	18.6619	1.51682	25.6148	1.88926	31.2407	1.95583	33.7123
2.05908	2.50903	2.05849	2.5091	0.550055	9.88872	0.872665	13.8883	1.29523	21.3148	1.43632	23.1926	1.73503	27.7275	2.16506	35.5729	0.278427	5.98272	0.64863	10.6829	0.963081	15.8305	1.09541	17.8055	1.51696	24.4242	1.89016	29.8289	1.95664	32.1247
2.05246	2.50982	2.05188	2.50989	0.551271	9.79417	0.873401	13.2883	1.29501	20.3428	1.43872	22.1948	1.73532	26.507	2.16508	33.9592	0.284696	5.75947	0.648738	10.3809	0.96506	15.1431	1.09679	17.0273	1.51712	23.3398	1.89109	28.5407	1.95752	30.682
2.04586	2.51062	2.04528	2.5107	0.55302	9.66211	0.874191	12.7397	1.29479	19.4554	1.4412	21.2834	1.73564	25.39	2.16509	32.4857	0.291084	5.56315	0.648838	10.1542	0.967076	14.5159	1.09825	16.3174	1.51729	22.3479	1.89203	27.3606	1.95844	29.3652
2.03928	2.51146	2.0387	2.51153	0.554925	9.52351	0.875036	12.2362	1.29458	18.6421	1.44376	20.4477	1.73597	24.364	2.16512	31.1348	0.297572	5.38924	0.64892	9.9939	0.969124	13.9414	1.09981	15.6672	1.51746	21.4373	1.893	26.2755	1.95943	28.1588
2.03271	2.51232	2.03213	2.5124	0.55752	9.34278	0.875941	11.7727	1.29439	17.894	1.44639	19.6789	1.73632	23.4182	2.16514	29.8919	0.304147	5.23412	0.648977	9.89403	0.971197	13.4131	1.10146	15.0698	1.51765	20.5983	1.89397	25.2744	1.96048	27.0494
2.02616	2.51321	2.02558	2.51329	0.56081	9.12617	0.876906	11.3446	1.29422	17.2037	1.4491	18.9692	1.73669	22.5437	2.16518	28.7444	0.310795	5.09492	0.649063	9.75402	0.973292	12.9257	1.10321	14.5192	1.51786	19.8228	1.89496	24.3478	1.96159	26.0261
2.01963	2.51412	2.01905	2.5142	0.564796	8.88052	0.8778	10.9976	1.29406	16.5647	1.45188	18.3123	1.73707	21.7327	2.16521	27.6819	0.317504	4.96927	0.649165	9.60642	0.975401	12.4745	1.10506	14.0101	1.51807	19.104	1.89596	23.4877	1.96276	25.0792
