Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		374  Points		355  Points		227  Points		396  Points		379  Points		289  Points		231  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.28458	2.61521	1.28194	2.61346	0.502798	1.88711	0.864931	-0.0197602	1.23787	0.208529	0.26013	1.94274	1.28578	2.48283	0.846346	0.997562	1.08452	0.105063
1.28081	2.61273	1.27817	2.61098	0.505526	1.89205	0.864904	-0.0168264	1.23818	0.209525	0.262959	1.97552	1.28221	2.46842	0.8478	1.01662	1.08468	0.110717
1.27704	2.61019	1.2744	2.60836	0.50826	1.89652	0.864882	-0.0135222	1.23848	0.210125	0.265833	2.00608	1.27866	2.45299	0.849281	1.03482	1.08484	0.116606
1.27327	2.60753	1.27064	2.60567	0.511001	1.90054	0.864865	-0.00991676	1.23878	0.210372	0.26875	2.03451	1.27513	2.43641	0.850788	1.05225	1.08501	0.122744
1.26951	2.60485	1.26688	2.60295	0.513747	1.90419	0.864854	-0.00600174	1.23909	0.210282	0.271706	2.06092	1.27162	2.41865	0.852319	1.06881	1.0852	0.129087
1.26575	2.60212	1.26312	2.60013	0.516497	1.90739	0.864848	-0.00176056	1.23939	0.209882	0.274699	2.08544	1.26814	2.39974	0.853873	1.08455	1.08539	0.135695
1.262	2.59931	1.25937	2.59728	0.519253	1.91019	0.864848	0.00283996	1.23969	0.209155	0.277726	2.1081	1.2647	2.37965	0.85545	1.09949	1.08559	0.142539
1.25825	2.59639	1.25562	2.59429	0.522012	1.91258	0.864856	0.00779295	1.23999	0.208141	0.280785	2.12903	1.26128	2.35843	0.857047	1.11362	1.0858	0.149633
1.2545	2.5934	1.25188	2.59124	0.524419	1.91432	0.864871	0.0130847	1.24029	0.206845	0.283872	2.14831	1.25789	2.33614	0.858664	1.12701	1.08602	0.157012
1.25076	2.59035	1.24814	2.58815	0.526472	1.91557	0.864894	0.0187609	1.24059	0.205279	0.286986	2.16605	1.25453	2.31279	0.8603	1.13958	1.08625	0.164664
