Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		373  Points		352  Points		225  Points		395  Points		379  Points		286  Points		227  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40343	2.65897	1.40021	2.65785	0.433108	0.46664	0.866024	-0.00216613	1.25082	0.00602585	0.21651	0.0781466	1.4036	2.63215	0.833894	0.0462093	1.08253	0.00297616
1.39959	2.65836	1.39637	2.65724	0.433782	0.650396	0.866021	-0.00289775	1.25083	0.00806387	0.216623	0.131343	1.39981	2.63126	0.833961	0.0647991	1.08254	0.00440535
1.39576	2.65705	1.39254	2.65592	0.434986	0.964507	0.866016	-0.00428692	1.25085	0.0122004	0.21689	0.23732	1.39601	2.62949	0.834081	0.101965	1.08254	0.00737454
1.39192	2.65567	1.3887	2.65452	0.436566	1.18279	0.866009	-0.00567366	1.25087	0.0162986	0.217308	0.342267	1.39221	2.62757	0.834255	0.139017	1.08256	0.0103833
1.38809	2.65432	1.38487	2.65312	0.4384	1.33035	0.866	-0.00705554	1.25089	0.020247	0.217878	0.445741	1.38842	2.6254	0.834483	0.17584	1.08257	0.0133245
1.38426	2.65293	1.38104	2.65171	0.440406	1.43181	0.865989	-0.00835445	1.25092	0.0241886	0.218595	0.547292	1.38464	2.62313	0.834763	0.212426	1.0826	0.0163506
1.38043	2.65146	1.37722	2.65028	0.442533	1.50428	0.865976	-0.00963392	1.25096	0.0280437	0.219458	0.646537	1.38085	2.62062	0.835096	0.248684	1.08262	0.019473
1.37661	2.64999	1.37339	2.64873	0.444749	1.55827	0.865961	-0.0108013	1.25101	0.0317254	0.220461	0.74322	1.37707	2.61787	0.835481	0.28458	1.08265	0.0225684
1.37278	2.64851	1.36957	2.64718	0.447032	1.6001	0.865944	-0.0118908	1.25105	0.0352802	0.221603	0.836978	1.37329	2.61494	0.835917	0.320115	1.08269	0.0256831
1.36896	2.64695	1.36575	2.64563	0.449368	1.63375	0.865926	-0.0128981	1.25111	0.0387278	0.222878	0.927593	1.36952	2.61173	0.836405	0.355224	1.08273	0.0289095
1.36514	2.64536	1.36193	2.64397	0.451748	1.66171	0.865907	-0.0138139	1.25117	0.0420342	0.224281	1.01493	1.36575	2.60822	0.836943	0.389772	1.08277	0.032213
1.36133	2.64373	1.35812	2.64235	0.454165	1.68554	0.865887	-0.0146203	1.25123	0.0451313	0.225807	1.09878	1.36199	2.60443	0.83753	0.423787	1.08282	0.035524
