Sym0		Asym0		Sym1		Asym1		Asym2	
338  Points		335  Points		210  Points		288  Points		289  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00215824	9.01414	0.000447712	0.241804	0.459108	969.452	0.330735	968.812	0.330719	6238.81
0.00795357	9.01399	0.000811681	0.325391	0.459075	411.171	0.330855	336.127	0.330787	475.309
0.0137479	9.01333	0.00128192	0.408591	0.459016	260.888	0.331089	203.466	0.33097	247.201
0.0195408	9.01236	0.00185755	0.491371	0.45893	191.032	0.331439	145.997	0.331268	167.155
0.0253314	9.01104	0.00253725	0.573615	0.458819	150.665	0.331903	113.935	0.331681	126.368
0.0311192	9.0094	0.00331973	0.65527	0.458682	124.364	0.332481	93.4975	0.332208	101.665
0.0369035	9.00741	0.00420321	0.736226	0.458522	105.866	0.33317	79.3457	0.332847	85.1142
0.0426834	9.00505	0.00518608	0.81644	0.458339	92.1454	0.33397	68.975	0.333597	73.2614
0.0484585	9.00235	0.0062663	0.895827	0.458135	81.5619	0.334879	61.0555	0.334458	64.3627
0.054228	8.99929	0.00744189	0.974334	0.45791	73.1491	0.335895	54.8154	0.335426	57.442
0.0599911	8.99587	0.00871062	1.0519	0.457666	66.3007	0.337017	49.7759	0.336501	51.9106
0.065747	8.99207	0.0100702	1.12847	0.457404	60.617	0.338242	45.6243	0.33768	47.392
0.071495	8.98789	0.0115183	1.204	0.457128	55.8239	0.339567	42.1479	0.33896	43.6344
0.0772344	8.98333	0.0130523	1.27843	0.456837	51.7271	0.340991	39.1967	0.34034	40.4632
0.0829643	8.97838	0.0146699	1.35174	0.456535	48.1851	0.342511	36.662	0.341818	37.7531
0.0886838	8.97302	0.0163684	1.42389	0.456223	45.0923	0.344125	34.463	0.34339	35.412
0.0943921	8.96724	0.0181452	1.49486	0.455904	42.3684	0.345829	32.5386	0.345053	33.3711
0.100088	8.96104	0.0199979	1.56461	0.455579	39.9512	0.347621	30.8415	0.346806	31.5771
0.105771	8.95441	0.0219237	1.63314	0.455251	37.7917	0.349499	29.3348	0.348646	29.9891
0.11144	8.94732	0.0239201	1.70041	0.454923	35.851	0.351459	27.9889	0.350569	28.5743
0.117093	8.93976	0.0259845	1.76643	0.454597	34.0977	0.353498	26.7802	0.352574	27.3067
0.122731	8.93173	0.0281145	1.83119	0.454275	32.506	0.355615	25.6893	0.354656	26.1651
0.12835	8.92319	0.0303074	1.89468	0.45396	31.0548	0.357806	24.7004	0.356814	25.1322
0.133951	8.91414	0.0325608	1.9569	0.453656	29.7265	0.360068	23.8002	0.359045	24.1937
0.139532	8.90457	0.0348722	2.01785	0.453363	28.5064	0.362398	22.9777	0.361345	23.3376
0.145092	8.89443	0.0372395	2.07754	0.453086	27.382	0.364795	22.2237	0.363712	22.554
0.150629	8.88372	0.0396601	2.13597	0.452828	26.3429	0.367254	21.5303	0.366143	21.8343
0.156142	8.87242	0.0421321	2.19316	0.45259	25.3798	0.369774	20.8906	0.368636	21.1712
0.161629	8.86049	0.044653	2.24911	0.452377	24.4851	0.372351	20.2989	0.371188	20.5587
0.167088	8.84792	0.0472208	2.30384	0.452191	23.6519	0.374984	19.7502	0.373797	19.9913
0.172518	8.83468	0.0498335	2.35737	0.452035	22.8745	0.37767	19.2401	0.376459	19.4644
0.177917	8.82074	0.052489	2.4097	0.451913	22.1478	0.380405	18.7649	0.379172	18.9739
0.183282	8.80606	0.0551856	2.46086	0.451828	21.4672	0.383189	18.3211	0.381935	18.5164
0.188613	8.79062	0.0579213	2.51086	0.451784	20.8288	0.386018	17.906	0.384744	18.0888
