Sym0		Asym0		Sym1		Asym1		Asym2	
337  Points		334  Points		218  Points		288  Points		288  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00206857	9.0139	0.000423313	0.549279	0.459111	-0.0356009	0.360851	0.141506	0.360846	0.109121
0.00760618	9.01325	0.000760757	0.628602	0.45909	-0.0508738	0.360938	0.221611	0.360913	0.189257
0.013143	9.01152	0.00119567	0.786595	0.459049	-0.081253	0.361123	0.381508	0.361078	0.349245
0.0186785	9.00884	0.00172723	0.943186	0.45899	-0.111243	0.361407	0.540685	0.361342	0.508604
0.024212	9.00525	0.00235454	1.09819	0.458912	-0.140677	0.361788	0.698864	0.361703	0.667037
0.0297431	9.00075	0.00307656	1.25136	0.458817	-0.16922	0.362265	0.855826	0.362161	0.824285
0.0352711	8.99518	0.00389207	1.40253	0.458704	-0.196759	0.362839	1.01135	0.362716	0.980052
0.0407953	8.98872	0.00479983	1.55148	0.458575	-0.223292	0.363508	1.16501	0.363365	1.13408
0.0463153	8.98124	0.00579835	1.69796	0.45843	-0.248476	0.364271	1.3166	0.364109	1.28618
0.0518304	8.97272	0.00688609	1.84187	0.45827	-0.272186	0.365126	1.46605	0.364946	1.43609
0.05734	8.96324	0.00806142	1.98295	0.458096	-0.294392	0.366072	1.61298	0.365874	1.58352
0.0628434	8.9526	0.00932251	2.12115	0.457908	-0.314811	0.367108	1.75723	0.366891	1.7283
0.0683399	8.94089	0.0106676	2.25638	0.457709	-0.333322	0.368231	1.89867	0.367997	1.87037
0.0738289	8.92811	0.0120949	2.38844	0.457499	-0.349795	0.36944	2.03714	0.369189	2.00943
0.0793097	8.91411	0.0136023	2.51726	0.457279	-0.364081	0.370734	2.17246	0.370466	2.14537
0.0847815	8.89889	0.0151878	2.64282	0.457051	-0.376101	0.37211	2.30447	0.371825	2.27807
