Sym0		Asym0		Sym1		Asym1		Asym2	
340  Points		338  Points		219  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.293767	5.73178	0.126873	5.29873	0.470614	2.96675	0.473646	4.92151	0.47331	4.92125
0.29724	5.5716	0.130135	5.32139	0.472495	3.16067	0.47667	4.92271	0.476335	4.92263
0.300613	5.40953	0.133411	5.34305	0.474497	3.35747	0.479694	4.9219	0.479359	4.92206
0.303886	5.24622	0.1367	5.36371	0.476621	3.55646	0.482717	4.91915	0.482382	4.91958
0.307059	5.08246	0.140001	5.38348	0.478867	3.75684	0.485738	4.91454	0.485403	4.91518
0.310131	4.91898	0.143315	5.40236	0.481237	3.95789	0.488756	4.90811	0.488421	4.90893
0.313103	4.75644	0.146639	5.42035	0.48373	4.1587	0.491769	4.89979	0.491435	4.90087
0.315975	4.59573	0.149974	5.43745	0.486346	4.35849	0.494776	4.88971	0.494443	4.89097
0.318749	4.43761	0.15332	5.45377	0.489085	4.55659	0.497776	4.87789	0.497444	4.87928
0.321427	4.28265	0.156675	5.4693	0.491945	4.75218	0.500769	4.86434	0.500438	4.86589
0.324011	4.13168	0.16004	5.48413	0.494924	4.94441	0.503753	4.84903	0.503423	4.85079
0.326504	3.98526	0.163414	5.49826	0.49802	5.13272	0.506727	4.83207	0.506398	4.83402
0.328908	3.84391	0.166796	5.51162	0.501231	5.31651	0.50969	4.81358	0.509362	4.81569
0.331227	3.70818	0.170186	5.52436	0.504552	5.49514	0.512642	4.79338	0.512315	4.79571
0.333464	3.57844	0.173583	5.5365	0.507982	5.66823	0.51558	4.77164	0.515255	4.77418
0.335624	3.45504	0.176988	5.54801	0.511517	5.83537	0.518504	4.74849	0.518181	4.75111
0.337709	3.33819	0.1804	5.55892	0.515152	5.99614	0.521414	4.72374	0.521092	4.72652
0.339725	3.22813	0.183818	5.5693	0.518884	6.15039	0.524308	4.69756	0.523988	4.70055
0.341676	3.12487	0.186802	5.5778	0.522709	6.29806	0.527186	4.67009	0.526868	4.67318
0.343565	3.02852	0.189349	5.58479	0.526622	6.43889	0.530046	4.64114	0.52973	4.64441
0.345397	2.93914	0.191458	5.59048	0.53062	6.57281	0.532889	4.61088	0.532575	4.61432
0.347176	2.85645	0.193127	5.59472	0.534698	6.70002	0.535712	4.57948	0.5354	4.58303
0.348906	2.78048	0.194355	5.59765	0.538853	6.8205	0.538515	4.54678	0.538206	4.55042
0.350592	2.71109	0.195141	5.59965	0.543079	6.93427	0.541298	4.51282	0.540991	4.51664
0.352237	2.64794	0.196272	5.60235	0.547373	7.04162	0.54406	4.47788	0.543755	4.48184
0.353846	2.59095	0.197501	5.60521	0.551731	7.14258	0.5468	4.44189	0.546498	4.44591
0.355421	2.53984	0.199174	5.60922	0.556149	7.23743	0.549518	4.40477	0.549218	4.40893
0.356966	2.49439	0.201292	5.61381	0.560623	7.32637	0.552212	4.36675	0.551915	4.37107
0.358486	2.45435	0.203855	5.61921	0.56515	7.4095	0.554883	4.32791	0.554246	4.33729
0.359982	2.41938	0.206865	5.62533	0.569727	7.48713	0.557191	4.29334	0.556219	4.30809
0.361458	2.38932	0.210323	5.63194	0.57435	7.55941	0.559144	4.26339	0.55784	4.28346
0.362918	2.36385	0.213785	5.63814	0.579015	7.62666	0.560748	4.23838	0.559115	4.26395
0.364363	2.34269	0.217251	5.64396	0.58372	7.68908	0.562009	4.21847	0.560049	4.24936
0.365796	2.32568	0.22072	5.64931	0.588463	7.74682	0.562933	4.20365	0.560645	4.23993
