Sym0		Asym0		Sym1		Asym1		Asym2	
338  Points		335  Points		210  Points		288  Points		289  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00215824	9.01393	0.000447712	0.56611	0.459108	-0.0515029	0.330735	0.185544	0.330719	0.104943
0.00795357	9.01318	0.000811681	0.648753	0.459075	-0.0720714	0.330855	0.275401	0.330787	0.194816
0.0137479	9.01125	0.00128192	0.813361	0.459016	-0.112974	0.331089	0.454648	0.33097	0.374323
0.0195408	9.00833	0.00185755	0.97626	0.45893	-0.153173	0.331439	0.632919	0.331268	0.553115
0.0253314	9.00442	0.00253725	1.13712	0.458819	-0.192389	0.331903	0.809875	0.331681	0.730689
0.0311192	8.99946	0.00331973	1.2956	0.458682	-0.230384	0.332481	0.985052	0.332208	0.906676
0.0369035	8.99335	0.00420321	1.45144	0.458522	-0.266783	0.33317	1.15826	0.332847	1.08087
0.0426834	8.98624	0.00518608	1.60444	0.458339	-0.301478	0.33397	1.32913	0.333597	1.25285
0.0484585	8.97807	0.0062663	1.75432	0.458135	-0.334249	0.334879	1.49732	0.334458	1.42223
0.054228	8.96873	0.00744189	1.90092	0.45791	-0.364768	0.335895	1.66262	0.335426	1.58881
0.0599911	8.95821	0.00871062	2.04404	0.457666	-0.392901	0.337017	1.82466	0.336501	1.75238
0.065747	8.94653	0.0100702	2.18349	0.457404	-0.418388	0.338242	1.98328	0.33768	1.91256
0.071495	8.93367	0.0115183	2.31911	0.457128	-0.44113	0.339567	2.13834	0.33896	2.06925
0.0772344	8.91951	0.0130523	2.45098	0.456837	-0.460928	0.340991	2.28958	0.34034	2.22227
0.0829643	8.90405	0.0146699	2.57887	0.456535	-0.477597	0.342511	2.43687	0.341818	2.37131
0.0886838	8.88724	0.0163684	2.70272	0.456223	-0.490983	0.344125	2.58011	0.34339	2.51636
0.0943921	8.869	0.0181452	2.82264	0.455904	-0.500877	0.345829	2.71916	0.345053	2.65732
0.100088	8.84931	0.0199979	2.9385	0.455579	-0.507293	0.347621	2.85397	0.346806	2.79405
0.105771	8.82806	0.0219237	3.05028	0.455251	-0.510042	0.349499	2.98444	0.348646	2.92645
0.11144	8.80521	0.0239201	3.15804	0.454923	-0.508959	0.351459	3.11059	0.350569	3.05454
0.117093	8.78072	0.0259845	3.26191	0.454597	-0.503928	0.353498	3.23235	0.352574	3.17827
0.122731	8.75447	0.0281145	3.36181	0.454275	-0.494927	0.355615	3.34977	0.354656	3.29762
0.12835	8.72627	0.0303074	3.45782	0.45396	-0.481807	0.357806	3.46286	0.356814	3.41267
0.133951	8.69619	0.0325608	3.55005	0.453656	-0.464376	0.360068	3.57155	0.359045	3.52336
0.139532	8.66405	0.0348722	3.63858	0.453363	-0.442675	0.362398	3.67601	0.361345	3.6297
0.145092	8.62971	0.0372395	3.72349	0.453086	-0.416574	0.364795	3.77624	0.363712	3.73177
0.150629	8.59319	0.0396601	3.80492	0.452828	-0.385917	0.367254	3.87225	0.366143	3.82966
0.156142	8.55421	0.0421321	3.88286	0.45259	-0.350609	0.369774	3.96419	0.368636	3.92345
0.161629	8.51265	0.044653	3.95745	0.452377	-0.310559	0.372351	4.05212	0.371188	4.01317
0.167088	8.46849	0.0472208	4.02882	0.452191	-0.265697	0.374984	4.13606	0.373797	4.09889
0.172518	8.42147	0.0498335	4.09704	0.452035	-0.215882	0.37767	4.21606	0.376459	4.18065
0.177917	8.37146	0.052489	4.16228	0.451913	-0.160936	0.380405	4.29232	0.379172	4.25862
0.183282	8.31825	0.0551856	4.22461	0.451828	-0.100822	0.383189	4.36492	0.381935	4.33284
0.188613	8.26172	0.0579213	4.2841	0.451784	-0.0353613	0.386018	4.43381	0.384744	4.40336
0.193906	8.20173	0.0606943	4.34088	0.451783	0.0355981	0.38889	4.4992	0.387597	4.47031
0.199159	8.138	0.063503	4.39511	0.451829	0.112142	0.391804	4.5612	0.390492	4.53375
0.20437	8.0704	0.0663458	4.44679	0.451927	0.194436	0.394755	4.61971	0.393427	4.59387
0.209537	7.99868	0.069221	4.49602	0.452079	0.282604	0.397744	4.67496	0.396399	4.65064
0.214655	7.92263	0.0721271	4.54301	0.45229	0.376895	0.400767	4.72709	0.399407	4.7041
