Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.26893	8.39348	0.0988023	3.07534	0.458514	14.4503	0.429227	13.5082	0.428463	13.5468	0.866832	27.4509
0.273185	8.35854	0.101899	3.10949	0.459716	14.2005	0.432575	13.3436	0.431808	13.3806	0.866171	26.8826
0.277346	8.32215	0.105011	3.14282	0.461031	13.9638	0.435936	13.1857	0.435166	13.2213	0.865546	26.3377
0.281411	8.28431	0.10814	3.17536	0.462463	13.7396	0.439307	13.0343	0.438535	13.0683	0.864959	25.8148
0.285377	8.245	0.111284	3.20712	0.464015	13.5273	0.442688	12.8887	0.441914	12.9215	0.86441	25.3127
0.28924	8.20423	0.114442	3.23813	0.465691	13.3264	0.446077	12.7487	0.445302	12.7803	0.863899	24.8303
0.292999	8.16201	0.117613	3.26841	0.467495	13.1363	0.449473	12.614	0.448696	12.6444	0.863428	24.3664
0.296652	8.11835	0.120797	3.29796	0.469428	12.9566	0.452873	12.4842	0.452096	12.5134	0.862996	23.9203
0.300196	8.0733	0.123993	3.32683	0.471493	12.7867	0.456278	12.359	0.4555	12.3872	0.862605	23.4908
0.303631	8.02689	0.127201	3.35501	0.473691	12.6262	0.459685	12.2382	0.458906	12.2654	0.862256	23.0772
0.306956	7.97917	0.130419	3.38253	0.476025	12.4746	0.463094	12.1214	0.462315	12.1478	0.861949	22.6788
0.310171	7.9302	0.133647	3.4094	0.478494	12.3315	0.466502	12.0086	0.465723	12.034	0.861684	22.2947
0.313276	7.88006	0.136885	3.43565	0.481099	12.1966	0.469909	11.8993	0.46913	11.924	0.861463	21.9242
0.316273	7.82883	0.140132	3.46129	0.483839	12.0693	0.473313	11.7935	0.472536	11.8174	0.861285	21.5668
0.319163	7.77661	0.143387	3.48633	0.486713	11.9494	0.476714	11.691	0.475937	11.7141	0.861153	21.2219
0.321948	7.72348	0.14665	3.51079	0.48972	11.8363	0.480109	11.5915	0.479333	11.6139	0.861066	20.8887
0.324631	7.66955	0.149921	3.53469	0.492856	11.7299	0.483498	11.4949	0.482724	11.5167	0.861024	20.567
0.327215	7.61492	0.152777	3.55507	0.49612	11.6296	0.48688	11.401	0.486107	11.4222	0.86103	20.256
0.329703	7.55972	0.155216	3.57212	0.499508	11.5352	0.490252	11.3097	0.489482	11.3303	0.861083	19.9554
0.3321	7.50405	0.157235	3.586	0.503016	11.4462	0.493615	11.2208	0.492847	11.2409	0.861184	19.6648
