Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		473  Points		208  Points		390  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.000335864	9.52625	0.000272668	0.1937	0.0053894	9.52631	0.279524	772.707	0.13991	204.503
0.00921122	9.52604	0.000746873	0.319261	0.0142638	9.52548	0.279704	216.248	0.14062	87.026
0.0180844	9.52489	0.001443	0.441139	0.0231348	9.52389	0.280085	125.873	0.141895	55.699
0.0269532	9.52295	0.00234577	0.558148	0.0320002	9.52153	0.280666	88.9074	0.143718	41.3073
0.0358156	9.52027	0.0034369	0.669379	0.0408578	9.51839	0.281441	68.8368	0.146063	33.1138
0.0446692	9.51677	0.0046965	0.774214	0.0497054	9.51443	0.282407	56.2538	0.148903	27.8707
0.0535117	9.51248	0.00610402	0.87227	0.0585405	9.50964	0.283556	47.6411	0.152205	24.2584
0.0623406	9.50731	0.00763962	0.963437	0.0673604	9.50398	0.284881	41.3854	0.155937	21.6398
0.0711532	9.50126	0.00928442	1.04776	0.0761624	9.49739	0.286373	36.6426	0.160064	19.6694
0.0799465	9.49425	0.0110212	1.12543	0.0849433	9.48982	0.288023	32.9282	0.164553	18.1438
0.0887173	9.48624	0.0128348	1.19676	0.0936999	9.48122	0.289819	29.944	0.169373	16.9354
0.0974623	9.47717	0.0147116	1.26212	0.102428	9.4715	0.291751	27.4967	0.174493	15.9605
0.106177	9.46695	0.0166404	1.32192	0.111125	9.46058	0.293805	25.4551	0.179886	15.1617
0.114859	9.45549	0.0186111	1.37659	0.119784	9.44837	0.29597	23.7274	0.185524	14.4984
0.123501	9.44269	0.0206158	1.42656	0.128402	9.43474	0.298234	22.2472	0.191385	13.9413
0.132098	9.4284	0.022385	1.46659	0.136971	9.41956	0.300584	20.9654	0.197446	13.4688
0.140645	9.41252	0.0239065	1.49833	0.145486	9.40268	0.303009	19.8449	0.203689	13.0643
0.149134	9.39485	0.0251724	1.52304	0.153939	9.38392	0.3055	18.8573	0.210093	12.7152
0.157558	9.37521	0.0261777	1.54165	0.162321	9.36307	0.308048	17.9806	0.216644	12.4118
0.165905	9.3534	0.026919	1.55484	0.170621	9.3399	0.310649	17.1972	0.223326	12.1463
0.174167	9.32914	0.0273942	1.56306	0.178828	9.31414	0.313301	16.4933	0.230126	11.9125
0.18233	9.30217	0.0280786	1.5746	0.186929	9.28548	0.316005	15.8579	0.237032	11.7054
0.190381	9.27215	0.0288237	1.58678	0.194908	9.25356	0.318768	15.282	0.244031	11.521
0.198302	9.23872	0.0298391	1.60275	0.202748	9.21801	0.3216	14.7586	0.251114	11.3559
0.206075	9.20147	0.0311263	1.62203	0.210427	9.17838	0.324515	14.2817	0.258271	11.2073
0.21368	9.15994	0.0326865	1.64404	0.217925	9.1342	0.327535	13.8468	0.265494	11.0731
0.221091	9.11365	0.0345208	1.66817	0.225215	9.08496	0.330681	13.4501	0.272773	10.9511
0.228283	9.06208	0.0366298	1.69383	0.232269	9.03017	0.333983	13.0884	0.280102	10.8399
0.235228	9.00473	0.038742	1.7175	0.239061	8.9693	0.337471	12.7592	0.287474	10.738
0.241897	8.94111	0.0408561	1.73938	0.245559	8.90193	0.341177	12.4604	0.294881	10.6443
0.24826	8.87082	0.0429715	1.75964	0.251736	8.82769	0.345133	12.1901	0.302318	10.5576
0.25429	8.79355	0.0450875	1.77844	0.257566	8.74639	0.349369	11.9466	0.309778	10.4773
0.259965	8.70919	0.0472034	1.7959	0.263031	8.65802	0.353909	11.7282	0.317255	10.4023
0.265267	8.61784	0.0493191	1.81216	0.268116	8.56281	0.358773	11.5333	0.324744	10.3323
0.270188	8.51981	0.0514342	1.82732	0.272818	8.46122	0.36397	11.3601	0.332239	10.2664
0.274726	8.41567	0.0535485	1.84148	0.277142	8.35394	0.3695	11.2068	0.339734	10.2042
0.278891	8.30619	0.0556619	1.85473	0.281102	8.24182	0.375356	11.0715	0.347225	10.1453
0.282699	8.19228	0.0577742	1.86715	0.284716	8.12583	0.381521	10.9524	0.354706	10.0892
0.286173	8.07494	0.0598854	1.87881	0.288012	8.00698	0.387973	10.8475	0.362171	10.0356
0.28934	7.95517	0.0619954	1.88977	0.290646	7.90185	0.394686	10.755	0.369615	9.98413
0.292229	7.83392	0.0641043	1.90009	0.292732	7.81157	0.401633	10.6734	0.377032	9.93447
0.29487	7.71209	0.0662119	1.90982	0.294355	7.73672	0.408787	10.601	0.384417	9.88635
0.29729	7.59043	0.0683185	1.91901	0.295577	7.67753	0.41612	10.5366	0.391764	9.83953
0.299517	7.46959	0.0704239	1.9277	0.296444	7.63406	0.423609	10.479	0.399067	9.79377
0.301574	7.35011	0.0725283	1.93593	0.296985	7.60629	0.431229	10.4272	0.40632	9.74885
0.303483	7.23241	0.0746315	1.94373	0.297745	7.56643	0.438962	10.3803	0.413515	9.70455
0.305264	7.11683	0.0767338	1.95114	0.298548	7.52321	0.446788	10.3376	0.420647	9.6607
0.306933	7.00361	0.0788351	1.95818	0.299604	7.46469	0.454691	10.2985	0.427709	9.6171
0.308505	6.89294	0.0809355	1.96488	0.300882	7.39114	0.462658	10.2623	0.434694	9.57359
0.309992	6.78493	0.083035	1.97126	0.30235	7.30304	0.470675	10.2288	0.441594	9.53001
0.311406	6.67967	0.0851337	1.97735	0.303975	7.20106	0.478731	10.1974	0.448402	9.48619
0.312757	6.57719	0.0872316	1.98316	0.305724	7.08609	0.486816	10.1678	0.45511	9.44201
0.314052	6.47751	0.0893286	1.98871	0.307365	6.97354	0.49492	10.1398	0.461712	9.39732
0.315299	6.38062	0.091425	1.99402	0.308913	6.86358	0.503036	10.113	0.468198	9.352
0.316504	6.28648	0.0935207	1.99911	0.31038	6.7563	0.511156	10.0873	0.474563	9.30594
0.317673	6.19506	0.0956157	2.00398	0.311776	6.65179	0.519272	10.0624	0.480797	9.25903
0.318811	6.10629	0.0977102	2.00865	0.313111	6.55007	0.527379	10.0383	0.486895	9.21119
0.319921	6.02013	0.099804	2.01314	0.314392	6.45114	0.53547	10.0147	0.492849	9.16234
0.321007	5.93649	0.101897	2.01745	0.315628	6.35499	0.54354	9.99154	0.498654	9.11242
0.322074	5.85532	0.10399	2.02159	0.316822	6.26159	0.551583	9.96866	0.504304	9.06138
0.323122	5.77655	0.106082	2.02558	0.317982	6.17089	0.559595	9.94597	0.509794	9.00921
0.324156	5.70009	0.108174	2.02941	0.319112	6.08283	0.567569	9.92337	0.51512	8.95588
0.325177	5.62587	0.110265	2.03311	0.320216	5.99735	0.575501	9.90079	0.52028	8.9014
0.326188	5.55383	0.112356	2.03668	0.321296	5.91439	0.583388	9.87813	0.525272	8.8458
0.32719	5.48389	0.114447	2.04012	0.322358	5.83387	0.591224	9.85533	0.530094	8.7891
0.328184	5.41599	0.116537	2.04344	0.323402	5.75572	0.599004	9.83233	0.534747	8.73137
0.329172	5.35004	0.118627	2.04665	0.324433	5.67988	0.606726	9.80906	0.539232	8.67267
0.330156	5.28598	0.120716	2.04975	0.325451	5.60626	0.614384	9.78548	0.543552	8.61308
0.331137	5.22376	0.122805	2.05274	0.326459	5.53479	0.621975	9.76153	0.547708	8.55267
0.332115	5.1633	0.124894	2.05565	0.327458	5.46541	0.629496	9.73718	0.551705	8.49154
0.333091	5.10454	0.126983	2.05845	0.328451	5.39803	0.636941	9.71237	0.555547	8.42979
0.334067	5.04743	0.129071	2.06117	0.329438	5.3326	0.644309	9.68709	0.559238	8.36751
0.335043	4.99191	0.131159	2.06381	0.330421	5.26905	0.651594	9.66129	0.562785	8.3048
0.33602	4.93791	0.133246	2.06637	0.3314	5.2073	0.658794	9.63495	0.565762	8.24989
0.336998	4.8854	0.135334	2.06884	0.332378	5.14731	0.665906	9.60804	0.568218	8.20293
0.337978	4.83431	0.137421	2.07125	0.333354	5.089	0.672926	9.58054	0.570196	8.16402
0.33896	4.7846	0.139508	2.07359	0.33433	5.03232	0.679852	9.55243	0.571725	8.13322
0.339946	4.73622	0.141595	2.07586	0.335306	4.97721	0.68668	9.52369	0.572832	8.11057
0.340934	4.68913	0.143681	2.07806	0.336283	4.92362	0.693407	9.49431	0.573531	8.09606
0.341927	4.64327	0.145767	2.0802	0.337262	4.8715	0.700031	9.46428	0.574526	8.07521
0.342923	4.59862	0.147854	2.08229	0.338242	4.82078	0.70655	9.43358	0.575593	8.05255
0.343924	4.55513	0.149939	2.08432	0.339226	4.77144	0.712961	9.40222	0.577021	8.02174
0.344929	4.51275	0.152025	2.08629	0.340212	4.72341	0.719262	9.37018	0.578788	7.98279
0.345939	4.47146	0.154111	2.08821	0.341201	4.67665	0.725451	9.33747	0.580871	7.93576
0.346954	4.43122	0.156196	2.09008	0.342195	4.63113	0.731526	9.3041	0.58324	7.88071
0.347975	4.39199	0.158282	2.09191	0.343192	4.58679	0.737487	9.27005	0.585864	7.81776
0.349001	4.35374	0.160367	2.09368	0.344194	4.5436	0.74333	9.23535	0.588394	7.7551
0.350032	4.31644	0.162452	2.09542	0.345201	4.50153	0.749057	9.2	0.590835	7.6928
0.351069	4.28006	0.164536	2.0971	0.346212	4.46052	0.754665	9.16401	0.593191	7.63091
0.352113	4.24457	0.166621	2.09875	0.347229	4.42056	0.760154	9.1274	0.595467	7.56947
0.353162	4.20993	0.168706	2.10036	0.34825	4.38159	0.765524	9.09019	0.597668	7.50852
0.354217	4.17613	0.17079	2.10193	0.349278	4.3436	0.770776	9.0524	0.599799	7.44811
0.355279	4.14314	0.172875	2.10346	0.350311	4.30655	0.775909	9.01405	0.601863	7.38826
0.356347	4.11093	0.174959	2.10496	0.35135	4.27041	0.780924	8.97517	0.603864	7.329
0.357422	4.07948	0.177043	2.10642	0.352395	4.23515	0.785821	8.93577	0.605806	7.27036
0.358502	4.04876	0.179127	2.10785	0.353446	4.20075	0.790603	8.8959	0.607693	7.21236
0.35959	4.01875	0.181211	2.10925	0.354503	4.16717	0.79527	8.85557	0.609528	7.15501
0.360684	3.98944	0.183295	2.11062	0.355566	4.13439	0.799823	8.81482	0.611313	7.09834
0.361784	3.96079	0.185378	2.11195	0.356636	4.10238	0.804265	8.77368	0.613052	7.04235
0.362749	3.93636	0.187462	2.11326	0.357712	4.07113	0.808597	8.73219	0.614748	6.98705
0.363575	3.91592	0.189545	2.11454	0.358795	4.04061	0.812821	8.69037	0.616403	6.93245
0.364261	3.89927	0.191629	2.11579	0.359884	4.01079	0.816415	8.65368	0.61802	6.87855
0.364805	3.88627	0.193712	2.11701	0.36098	3.98166	0.819417	8.62224	0.6196	6.82537
0.365206	3.8768	0.195795	2.11821	0.362082	3.95319	0.821857	8.59615	0.621147	6.77289
0.365464	3.87078	0.197879	2.11939	0.363191	3.92537	0.823759	8.57545	0.622661	6.72112
0.365834	3.86218	0.199962	2.12054	0.364307	3.89817	0.825143	8.5602	0.624146	6.67007
0.366237	3.85291	0.202045	2.12166	0.365429	3.87159	0.826022	8.55043	0.625602	6.61972
