Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		492  Points		474  Points		215  Points		392  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00817247	9.22053	0.000152058	0.405785	0.00250826	9.22203	0.27951	0.126109	0.140017	0.860584
0.0167632	9.21855	0.000530126	0.52382	0.0111004	9.22072	0.279628	0.22554	0.140819	1.14393
0.0253502	9.21357	0.00112814	0.753119	0.0196901	9.21708	0.27993	0.423346	0.142149	1.7013
0.0339317	9.20654	0.00193348	0.967089	0.0282754	9.21142	0.280416	0.618421	0.143989	2.23721
0.0425056	9.1973	0.0029302	1.16278	0.0368545	9.20362	0.281083	0.809426	0.146318	2.74667
0.0510698	9.18571	0.00410019	1.3386	0.0454253	9.19359	0.281925	0.995146	0.149107	3.22608
0.0596222	9.17169	0.00542454	1.49396	0.0539858	9.18121	0.282937	1.1744	0.152329	3.67338
0.0681603	9.15508	0.00688402	1.6292	0.0625335	9.16635	0.284113	1.34599	0.155952	4.08774
0.0766817	9.13563	0.00846037	1.74542	0.0710662	9.14877	0.285445	1.50884	0.159946	4.46924
0.0851835	9.11305	0.0101364	1.84412	0.0795812	9.12827	0.286925	1.66193	0.16428	4.81886
0.0936628	9.08709	0.0118967	1.92711	0.0880758	9.10463	0.288542	1.8044	0.168925	5.13811
0.102116	9.05735	0.0137274	1.99627	0.0965467	9.07742	0.290287	1.9356	0.173854	5.4288
0.11054	9.02344	0.0156165	2.05337	0.104991	9.04628	0.292149	2.0549	0.179041	5.69281
0.11893	8.98478	0.0175536	2.10011	0.113403	9.0108	0.294116	2.16209	0.184462	5.93219
0.127282	8.94077	0.0195298	2.13814	0.121781	8.9704	0.296178	2.25731	0.190095	6.14903
0.135591	8.89076	0.0215378	2.16901	0.130119	8.92446	0.298322	2.34096	0.19592	6.34519
0.143849	8.83389	0.0233086	2.19095	0.138411	8.87221	0.30054	2.41393	0.201919	6.52247
0.152052	8.76914	0.0248308	2.20645	0.146651	8.81274	0.30282	2.47762	0.208074	6.68257
0.16019	8.69538	0.026097	2.21733	0.154833	8.74508	0.305156	2.53403	0.214371	6.82699
0.168254	8.61129	0.0271022	2.22494	0.162947	8.66797	0.307542	2.58562	0.220796	6.95711
0.176236	8.51526	0.0278435	2.22987	0.170984	8.57998	0.309975	2.63532	0.227335	7.07416
0.184122	8.4056	0.0283186	2.23283	0.178935	8.47951	0.312453	2.68668	0.233978	7.17929
0.191899	8.28024	0.0290028	2.2368	0.186785	8.36478	0.314981	2.74355	0.240713	7.27346
0.199551	8.1369	0.0297478	2.24059	0.194521	8.23352	0.317565	2.81005	0.247531	7.35758
0.207061	7.97318	0.0307628	2.24532	0.202127	8.08352	0.320217	2.89053	0.254423	7.4325
