Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		473  Points		209  Points		390  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.321825	5.84448	0.104026	2.02138	0.316584	6.25058	0.552357	9.95176	0.504529	9.04792
0.322871	5.76591	0.106118	2.02537	0.317739	6.16007	0.560362	9.92932	0.51	8.99572
0.323902	5.68966	0.10821	2.02921	0.318864	6.0722	0.56833	9.90695	0.515306	8.94236
0.32492	5.61564	0.110301	2.03291	0.319964	5.98692	0.576256	9.88458	0.520446	8.88785
0.325928	5.54379	0.112392	2.03647	0.321041	5.90414	0.584136	9.86212	0.525417	8.83221
0.326928	5.47405	0.114483	2.03992	0.322099	5.82381	0.591964	9.83951	0.530218	8.77549
0.32792	5.40632	0.116573	2.04324	0.32314	5.74585	0.599736	9.81668	0.53485	8.71772
0.328907	5.34056	0.118663	2.04645	0.324168	5.67018	0.607449	9.79358	0.539314	8.65898
0.329889	5.27668	0.120752	2.04955	0.325183	5.59674	0.615099	9.77014	0.543612	8.59936
0.330868	5.21463	0.122841	2.05255	0.326189	5.52545	0.62268	9.74633	0.547747	8.53892
0.331845	5.15434	0.12493	2.05545	0.327187	5.45623	0.63019	9.7221	0.551723	8.47777
0.332821	5.09575	0.127018	2.05826	0.328177	5.38903	0.637625	9.69742	0.555544	8.41599
0.333796	5.03879	0.129106	2.06098	0.329163	5.32376	0.644981	9.67224	0.559215	8.3537
0.334771	4.98343	0.131194	2.06362	0.330144	5.26036	0.652255	9.64653	0.562742	8.29099
0.335747	4.92958	0.133282	2.06618	0.331123	5.19878	0.659443	9.62028	0.565702	8.23607
0.336724	4.87722	0.135369	2.06866	0.332099	5.13893	0.666541	9.59344	0.568144	8.18912
0.337704	4.82628	0.137457	2.07107	0.333074	5.08077	0.673548	9.56601	0.57011	8.15022
0.338686	4.77671	0.139544	2.07341	0.334049	5.02424	0.680459	9.53795	0.57163	8.11943
0.339671	4.72847	0.14163	2.07568	0.335024	4.96927	0.687272	9.50926	0.57273	8.09678
0.340659	4.68151	0.143717	2.07788	0.336001	4.91582	0.693984	9.47992	0.573426	8.08228
0.341652	4.63579	0.145803	2.08003	0.336979	4.86383	0.700592	9.44992	0.574415	8.06143
0.342648	4.59126	0.147889	2.08211	0.337959	4.81325	0.707094	9.41925	0.575475	8.03878
0.343648	4.5479	0.149975	2.08414	0.338942	4.76403	0.713488	9.38791	0.576894	8.00798
0.344654	4.50565	0.152061	2.08612	0.339928	4.71613	0.719771	9.35588	0.578651	7.96905
0.345664	4.46447	0.154146	2.08804	0.340917	4.6695	0.725941	9.32318	0.58072	7.92204
0.346679	4.42435	0.156232	2.08991	0.34191	4.62409	0.731998	9.28981	0.583075	7.86703
0.3477	4.38523	0.158317	2.09174	0.342908	4.57987	0.737939	9.25576	0.585683	7.80412
0.348726	4.3471	0.160402	2.09352	0.34391	4.5368	0.743762	9.22105	0.588198	7.74152
0.349758	4.3099	0.162487	2.09525	0.344916	4.49483	0.749468	9.18569	0.590623	7.67927
0.350796	4.27363	0.164572	2.09694	0.345928	4.45394	0.755056	9.14969	0.592965	7.61744
0.35184	4.23823	0.166657	2.09859	0.346945	4.41408	0.760524	9.11306	0.595227	7.55607
0.352889	4.2037	0.168741	2.1002	0.347967	4.37522	0.765873	9.07584	0.597415	7.49519
0.353945	4.17	0.170826	2.10177	0.348994	4.33733	0.771103	9.03803	0.599533	7.43486
0.355008	4.1371	0.17291	2.10331	0.350028	4.30038	0.776215	8.99966	0.601585	7.37509
0.356076	4.10498	0.174994	2.1048	0.351067	4.26433	0.781208	8.96075	0.603574	7.31591
0.357151	4.07362	0.177078	2.10627	0.352112	4.22917	0.786083	8.92134	0.605505	7.25736
0.358233	4.04299	0.179162	2.1077	0.353164	4.19485	0.790843	8.88144	0.607381	7.19945
0.359321	4.01308	0.181246	2.1091	0.354221	4.16136	0.795488	8.8411	0.609205	7.1422
0.360416	3.98385	0.18333	2.11046	0.355285	4.12867	0.800019	8.80033	0.610981	7.08562
0.361517	3.95529	0.185414	2.1118	0.356355	4.09675	0.804439	8.75917	0.61271	7.02972
0.362482	3.93093	0.187497	2.11311	0.357432	4.06558	0.808748	8.71766	0.614397	6.97452
