Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		381  Points		386  Points		374  Points		366  Points		342  Points		132  Points		381  Points		379  Points		366  Points		173  Points		126  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.06405	2.5148	0.448138	8.04641	2.06518	2.51473	0.770234	13.7667	1.29169	22.9512	1.5244	27.1266	2.0411	35.679	0.419352	9.23281	2.08722	2.59123	1.13156	20.1078	1.6748	29.0387	1.95184	34.3177
2.05852	2.51514	0.454804	7.84123	2.05965	2.51507	0.775268	13.3078	1.28843	21.9917	1.52962	26.146	2.03889	34.2586	0.423205	9.03569	2.08245	2.59273	1.13672	19.404	1.67193	27.8739	1.95625	33.0543
2.05301	2.5155	0.461509	7.65241	2.05413	2.51542	0.780334	12.8845	1.28528	21.1067	1.53482	25.2394	2.03669	32.9443	0.427924	8.81389	2.07766	2.59423	1.14188	18.7534	1.66911	26.796	1.96069	31.886
2.04752	2.51588	0.468238	7.47789	2.04863	2.5158	0.785422	12.4925	1.28225	20.2881	1.54	24.3988	2.03449	31.7247	0.433534	8.57432	2.07286	2.59571	1.14704	18.1504	1.66634	25.796	1.96513	30.8025
2.04204	2.51628	0.474976	7.31591	2.04315	2.51619	0.790523	12.1286	1.27933	19.5289	1.54516	23.6172	2.03231	30.59	0.440055	8.32345	2.06803	2.59716	1.15219	17.5896	1.66363	24.8658	1.96959	29.7948
2.03658	2.5167	0.481708	7.16495	2.03769	2.51662	0.795628	11.7895	1.27653	18.8232	1.55029	22.8884	2.03015	29.5319	0.446651	8.09491	2.06318	2.5986	1.15732	17.0668	1.66098	23.9986	1.97405	28.8551
2.03113	2.51715	0.488418	7.0237	2.03224	2.51706	0.800726	11.4728	1.27386	18.1658	1.55539	22.2072	2.02802	28.5429	0.453305	7.88575	2.0583	2.60001	1.16243	16.578	1.6584	23.1883	1.97851	27.9766
2.02571	2.51763	0.49509	6.891	2.02681	2.51753	0.80581	11.1761	1.27132	17.5521	1.56046	21.569	2.02592	27.6165	0.460002	7.69344	2.05339	2.60139	1.16752	16.1201	1.6559	22.4297	1.98296	27.1536
2.02029	2.51812	0.50171	6.76584	2.0214	2.51802	0.81087	10.8976	1.26892	16.9781	1.56549	20.9697	2.02387	26.7472	0.466728	7.51588	2.04845	2.60274	1.17257	15.69	1.65349	21.7182	1.98739	26.3808
2.0149	2.51864	0.508261	6.64735	2.016	2.51854	0.815252	10.6682	1.26666	16.4403	1.57048	20.4059	2.02186	25.9299	0.473465	7.35123	2.04348	2.60406	1.17758	15.2851	1.65116	21.0497	1.99181	25.6537
