Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
401  Points		399  Points		402  Points		388  Points		378  Points		364  Points		355  Points		399  Points		396  Points		378  Points		362  Points		173  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.0798	2.41203	0.421998	8.25111	2.08135	2.41196	2.06572	2.48468	1.00394	18.9973	1.39751	26.3595	2.12231	2.8068	0.421571	8.27521	0.665272	12.7097	1.05975	20.7022	1.34107	25.3941	1.73681	33.7494	2.01336	39.6296
2.07445	2.41229	0.426868	7.98605	2.07599	2.41221	2.05936	2.48392	1.00483	18.2187	1.3982	25.2726	2.11983	2.8121	0.426448	8.00823	0.666148	12.1891	1.06109	19.8343	1.34202	24.3483	1.73708	32.3061	2.01448	37.929
2.06912	2.41257	0.431648	7.7413	2.07066	2.41248	2.05299	2.48315	1.00587	17.5052	1.39885	24.272	2.11741	2.81752	0.431237	7.76183	0.667252	11.7147	1.06239	19.0375	1.34309	23.3886	1.73731	30.9809	2.01568	36.3714
2.06382	2.41287	0.436311	7.51398	2.06535	2.41278	2.04662	2.48238	1.00706	16.8494	1.39946	23.3478	2.11506	2.82306	0.435318	7.56161	0.668608	11.2815	1.06365	18.3032	1.34428	22.505	1.73751	29.7599	2.01696	34.9399
2.05853	2.4132	0.440832	7.3017	2.06006	2.4131	2.04026	2.4816	1.00843	16.2451	1.40002	22.4914	2.11276	2.82871	0.438715	7.40029	0.670234	10.8851	1.06485	17.6241	1.34559	21.6891	1.73766	28.631	2.01833	33.6198
2.05327	2.41356	0.445188	7.10241	2.05479	2.41345	2.03389	2.48082	1.00997	15.6868	1.40053	21.6953	2.11053	2.83447	0.44146	7.27272	0.672151	10.522	1.06599	16.994	1.34703	20.9338	1.73778	27.5842	2.01979	32.3989
2.04802	2.41394	0.449357	6.91438	2.04954	2.41383	2.02752	2.48003	1.01169	15.1699	1.40098	20.9534	2.10835	2.84034	0.443586	7.17526	0.674375	10.1888	1.06706	16.4075	1.34861	20.2328	1.73785	26.6107	2.02134	31.2665
2.0428	2.41435	0.453319	6.73619	2.04431	2.41423	2.02116	2.47925	1.0136	14.6903	1.40137	20.2601	2.10622	2.84632	0.445122	7.1054	0.676924	9.88274	1.06806	15.8602	1.35033	19.5807	1.73787	25.7029	2.02299	30.2136
2.0376	2.41479	0.457058	6.56659	2.0391	2.41466	2.0148	2.47845	1.01571	14.2445	1.4017	19.6107	2.10414	2.85241	0.446093	7.06145	0.67981	9.60143	1.06898	15.348	1.35218	18.9729	1.73784	24.8543	2.02472	29.2321
2.03242	2.41526	0.460559	6.40458	2.03392	2.41512	2.00843	2.47766	1.01802	13.8294	1.40197	19.0011	2.10212	2.85861	0.447471	6.99926	0.683042	9.34262	1.06981	14.8674	1.35418	18.4051	1.73777	24.0593	2.02655	28.3152
2.02727	2.41576	0.463813	6.2493	2.02876	2.41561	2.00207	2.47686	1.02054	13.4422	1.40218	18.4276	2.10014	2.86491	0.448944	6.93294	0.686627	9.10432	1.07056	14.4156	1.35633	17.8737	1.73764	23.3128	2.02847	27.4568
2.02213	2.41629	0.466812	6.10006	2.02362	2.41613	1.99571	2.47606	1.02326	13.0805	1.40231	17.887	2.09821	2.87131	0.450906	6.84477	0.690569	8.88476	1.07122	13.9898	1.35863	17.3756	1.73747	22.6105	2.03048	26.6517
2.01702	2.41684	0.469554	5.9563	2.0185	2.41668	1.98935	2.47526	1.02618	12.7421	1.40238	17.3765	2.09632	2.87782	0.453315	6.73639	0.694867	8.68231	1.07179	13.5877	1.36107	16.9079	1.73725	21.9486	2.03258	25.895
2.01194	2.41743	0.472039	5.81755	2.01341	2.41726	1.983	2.47445	1.02932	12.425	1.40239	16.8935	2.09448	2.88443	0.456114	6.60963	0.699517	8.49548	1.07226	13.2074	1.36365	16.468	1.73697	21.3235	2.03477	25.1827
2.00687	2.41805	0.474272	5.68345	2.00833	2.41787	1.97664	2.47364	1.03265	12.1275	1.40233	16.436	2.09268	2.89114	0.459233	6.46642	0.704511	8.3229	1.07264	12.847	1.36638	16.0536	1.73665	20.7323	2.03705	24.5109
2.00183	2.4187	0.47626	5.55371	2.00329	2.41851	1.97029	2.47283	1.03619	11.848	1.40221	16.0018	2.09093	2.89796	0.462584	6.30862	0.709839	8.16331	1.07293	12.5048	1.36926	15.6628	1.73628	20.1723	2.03942	23.8765
1.99681	2.41938	0.478014	5.42811	1.99826	2.41918	1.96393	2.47202	1.03993	11.5851	1.40203	15.5892	2.08922	2.90487	0.465682	6.15712	0.715487	8.01558	1.07313	12.1796	1.37227	15.2936	1.73587	19.641	2.04187	23.2764
1.99182	2.42009	0.479545	5.30646	1.99326	2.41988	1.95758	2.4712	1.04386	11.3374	1.40179	15.1967	2.08755	2.91189	0.468523	6.0113	0.721442	7.87862	1.07324	11.87	1.37541	14.9443	1.73542	19.1362	2.0444	22.7079
1.98685	2.42084	0.480869	5.18863	1.98828	2.42062	1.95124	2.47039	1.04797	11.1038	1.40149	14.8227	2.08592	2.91901	0.471107	5.87066	0.727685	7.75148	1.07326	11.5749	1.37869	14.6136	1.73493	18.6561	2.04701	22.1687
1.9819	2.42162	0.482	5.07449	1.98333	2.42139	1.94489	2.46957	1.05225	10.8831	1.40115	14.466	2.08432	2.92623	0.473438	5.7348	0.7342	7.63326	1.0732	11.2932	1.38209	14.2999	1.7344	18.1989	2.04969	21.6566
1.97698	2.42244	0.482956	4.96397	1.9784	2.4222	1.93855	2.46875	1.05671	10.6745	1.40076	14.1255	2.08277	2.93356	0.475519	5.6034	0.740083	7.53687	1.07307	11.0241	1.38562	14.002	1.73385	17.763	2.05244	21.1695
1.97208	2.42329	0.483752	4.85696	1.97349	2.42304	1.93221	2.46792	1.06133	10.4769	1.40033	13.8001	2.08126	2.94099	0.477362	5.47622	0.74524	7.45918	1.07287	10.7668	1.38925	13.7189	1.73327	17.347	2.05525	20.7058
1.9672	2.42417	0.484406	4.75341	1.96861	2.42391	1.92587	2.4671	1.06609	10.2895	1.39986	13.4888	2.07979	2.94852	0.478978	5.35306	0.749597	7.39784	1.0726	10.5205	1.39299	13.4494	1.73266	16.9495	2.05812	20.2637
1.96235	2.42509	0.484934	4.65323	1.96375	2.42482	1.91954	2.46628	1.07099	10.1117	1.39937	13.1907	2.07835	2.95615	0.48038	5.23377	0.753098	7.35108	1.07227	10.2846	1.39683	13.1925	1.73204	16.5694	2.06105	19.8418
1.95753	2.42604	0.485353	4.55637	1.95892	2.42576	1.91321	2.46545	1.07602	9.94256	1.39886	12.9052	2.07695	2.96388	0.481584	5.11822	0.755702	7.31764	1.0719	10.0584	1.40076	12.9475	1.73141	16.2057	2.06403	19.4386
1.95273	2.42703	0.485678	4.46275	1.95411	2.42674	1.90688	2.46463	1.08117	9.78155	1.39833	12.6315	2.07558	2.97172	0.482606	5.00631	0.757382	7.29664	1.07149	9.8414	1.40477	12.7134	1.73077	15.8573	2.06705	19.053
1.94795	2.42806	0.485924	4.37231	1.94933	2.42776	1.90056	2.46381	1.08641	9.62803	1.3978	12.3689	2.07426	2.97967	0.483462	4.89795	0.759813	7.26699	1.07104	9.63316	1.40885	12.4895	1.73014	15.5233	2.07011	18.6839
1.9432	2.42912	0.486105	4.28497	1.94457	2.42881	1.89425	2.46299	1.09175	9.48145	1.39727	12.1168	2.07297	2.98772	0.484169	4.79307	0.762479	7.23545	1.07058	9.43322	1.413	12.2752	1.72951	15.2029	2.0732	18.33
1.93847	2.43022	0.486234	4.20067	1.93984	2.4299	1.88794	2.46218	1.09717	9.34129	1.39676	11.8747	2.07171	2.99587	0.484744	4.69159	0.766139	7.19368	1.0701	9.24117	1.41719	12.0697	1.7289	14.8954	2.07632	17.9905
1.93377	2.43136	0.486324	4.11934	1.93513	2.43103	1.88165	2.46138	1.10264	9.20705	1.39627	11.6422	2.07049	3.00413	0.485203	4.59346	0.770823	7.14261	1.06963	9.05665	1.42144	11.8725	1.72831	14.6002	2.07945	17.6645
1.92909	2.43254	0.48638	4.05082	1.93044	2.43219	1.87538	2.46061	1.10817	9.07829	1.39581	11.4187	2.06931	3.0125	0.485562	4.49859	0.776564	7.0833	1.06918	8.87936	1.42571	11.6831	1.72776	14.3164	2.08259	17.3511
