Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
395  Points		394  Points		394  Points		388  Points		371  Points		361  Points		159  Points		395  Points		381  Points		376  Points		360  Points		172  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
2.09831	2.04184	0.431782	2.43504	2.09502	2.05549	0.741265	1.48704	1.09596	-0.341869	1.42132	1.12195	1.83057	-0.626316	0.428186	2.43713	0.726155	-0.170778	1.07803	1.20559	1.46289	-0.466974	1.76536	1.11354
2.09359	2.06498	0.437395	2.42455	2.09024	2.10059	0.744703	1.48962	1.09521	-0.307491	1.42392	1.12922	1.82914	-0.611525	0.432364	2.43532	0.725831	-0.105831	1.08082	1.21079	1.46184	-0.441935	1.76795	1.12522
2.08879	2.12385	0.442971	2.40408	2.08532	2.20191	0.748139	1.48628	1.09454	-0.268105	1.42653	1.13291	1.82775	-0.593077	0.435813	2.42973	0.725666	-0.0325973	1.08361	1.21175	1.46085	-0.412877	1.77056	1.1335
2.08379	2.24569	0.448489	2.37369	2.08008	2.36179	0.751561	1.47719	1.09397	-0.223684	1.42915	1.13298	1.82641	-0.571047	0.438533	2.42254	0.72568	0.0491517	1.08641	1.20839	1.45994	-0.379884	1.77318	1.13849
2.07842	2.41248	0.453925	2.33348	2.07442	2.5161	0.754956	1.46237	1.09351	-0.17432	1.43176	1.12953	1.82512	-0.545517	0.440526	2.41581	0.725893	0.139554	1.08919	1.20086	1.4591	-0.343049	1.77581	1.14018
2.07266	2.55116	0.459257	2.28361	2.06847	2.60982	0.75831	1.44188	1.09317	-0.120049	1.43436	1.1227	1.82389	-0.516578	0.441799	2.41075	0.726324	0.238474	1.09195	1.18925	1.45835	-0.30241	1.77844	1.13874
2.06665	2.62688	0.464464	2.2243	2.06238	2.65399	0.76161	1.416	1.09296	-0.0610202	1.43694	1.11256	1.82273	-0.484407	0.443624	2.40242	0.726993	0.34586	1.09468	1.17372	1.4577	-0.258121	1.78107	1.13424
2.06053	2.66187	0.469522	2.15593	2.05622	2.67467	0.764844	1.38481	1.09289	0.00269244	1.43949	1.09923	1.82165	-0.449069	0.4456	2.39224	0.72792	0.461608	1.09737	1.15437	1.45716	-0.210337	1.78368	1.12672
2.05436	2.67852	0.474413	2.07896	2.05004	2.68503	0.768001	1.34844	1.09297	0.0709381	1.44201	1.08283	1.82066	-0.41062	0.448273	2.37623	0.729124	0.585218	1.10001	1.13128	1.45673	-0.159154	1.78627	1.11635
2.04817	2.687	0.479116	1.994	2.04383	2.69045	0.771067	1.30726	1.09321	0.143416	1.44449	1.06344	1.81976	-0.369244	0.451625	2.35268	0.730621	0.716202	1.10259	1.10472	1.45643	-0.104763	1.78883	1.10322
2.04196	2.69151	0.483615	1.90187	2.03762	2.69332	0.774033	1.26146	1.09363	0.21989	1.44692	1.04127	1.81895	-0.32509	0.455632	2.31925	0.732429	0.85388	1.1051	1.07482	1.45625	-0.0473227	1.79136	1.08738
2.03575	2.69385	0.487893	1.80351	2.0314	2.69473	0.776889	1.21138	1.09423	0.300181	1.4493	1.01649	1.81826	-0.278311	0.460252	2.27328	0.734561	0.997326	1.10755	1.04184	1.45621	0.0129471	1.79385	1.06902
2.02953	2.69495	0.491937	1.70004	2.02518	2.6952	0.779624	1.15737	1.09502	0.38386	1.45161	0.989192	1.81767	-0.228992	0.465432	2.21206	0.737031	1.14557	1.10991	1.00597	1.45631	0.0758001	1.79629	1.04828
2.02331	2.69526	0.495738	1.59264	2.01897	2.69511	0.78223	1.09973	1.096	0.470579	1.45386	0.959649	1.8172	-0.177374	0.470461	2.14201	0.739848	1.29741	1.11219	0.967479	1.45656	0.141008	1.79868	1.02524
2.0171	2.69505	0.499287	1.48265	2.01275	2.69465	0.784699	1.03903	1.09719	0.559934	1.45604	0.928028	1.81685	-0.123651	0.475317	2.06347	0.743019	1.45152	1.11438	0.926686	1.45696	0.208289	1.80102	1.00011
2.01088	2.69442	0.50258	1.37143	2.00653	2.69386	0.787025	0.975631	1.09858	0.651412	1.45814	0.894523	1.81663	-0.0679871	0.479983	1.97711	0.746546	1.6066	1.11647	0.883843	1.45752	0.277372	1.8033	0.972996
2.00466	2.69353	0.505616	1.26038	2.00032	2.69281	0.789201	0.909987	1.10019	0.744573	1.46017	0.859448	1.81654	-0.0106071	0.484441	1.88373	0.749913	1.74146	1.11845	0.839321	1.45824	0.347937	1.80551	0.944112
1.99845	2.69248	0.508397	1.15079	1.9941	2.69159	0.791224	0.842715	1.10202	0.838904	1.46211	0.823061	1.81658	0.0483007	0.488676	1.7843	0.752996	1.8555	1.12034	0.793415	1.45913	0.419632	1.80766	0.913663
1.99224	2.69119	0.510927	1.04397	1.98789	2.69025	0.792859	0.78306	1.10406	0.933889	1.46397	0.785518	1.81676	0.108401	0.492675	1.67998	0.755693	1.94887	1.12212	0.746501	1.46018	0.492124	1.80973	0.881842
1.98603	2.68979	0.513214	0.940994	1.98169	2.68873	0.794157	0.731708	1.10633	1.02894	1.46573	0.747198	1.81708	0.169496	0.496429	1.57201	0.757918	2.02177	1.12378	0.699035	1.4614	0.565111	1.81173	0.848815
1.97982	2.68829	0.515269	0.84278	1.97549	2.68709	0.795164	0.689043	1.10881	1.12353	1.46741	0.708425	1.81754	0.231335	0.49993	1.46167	0.759606	2.07474	1.12534	0.651344	1.46279	0.638209	1.81365	0.814842
1.97362	2.68661	0.517104	0.750209	1.96929	2.68542	0.795917	0.655251	1.11151	1.21712	1.469	0.669404	1.81815	0.293635	0.503174	1.35036	0.760709	2.10837	1.12679	0.60379	1.46434	0.711016	1.81549	0.780147
1.96742	2.68486	0.518731	0.663798	1.96309	2.68361	0.796447	0.630418	1.11443	1.30917	1.4705	0.630474	1.8189	0.356126	0.506161	1.23948	0.762326	2.15627	1.12813	0.556875	1.46607	0.783169	1.81725	0.744961
1.96123	2.68305	0.520167	0.583993	1.9569	2.68168	0.796775	0.614614	1.11756	1.39915	1.47191	0.592018	1.81979	0.418485	0.508894	1.13035	0.764124	2.20761	1.12936	0.511018	1.46796	0.854378	1.81892	0.709599
1.95504	2.68111	0.521426	0.511103	1.95072	2.67972	0.797233	0.591913	1.12089	1.4866	1.47324	0.554363	1.82083	0.480509	0.511378	1.02419	0.766637	2.27631	1.13049	0.466547	1.47001	0.924213	1.82052	0.674251
1.94886	2.67907	0.522526	0.445155	1.94454	2.67763	0.79771	0.56728	1.12442	1.57106	1.47447	0.517726	1.82201	0.541861	0.51362	0.922033	0.769925	2.36123	1.13151	0.423965	1.47222	0.992326	1.82204	0.639223
1.94268	2.67696	0.523481	0.386136	1.93836	2.67543	0.798328	0.533959	1.12814	1.65216	1.47562	0.482538	1.82333	0.602236	0.515633	0.82485	0.774059	2.46069	1.13244	0.383701	1.47459	1.05846	1.82347	0.604764
1.93651	2.67479	0.524307	0.334015	1.93219	2.67316	0.799055	0.492082	1.13204	1.72947	1.4767	0.44915	1.82479	0.661389	0.517427	0.733376	0.779122	2.57254	1.13328	0.346091	1.47711	1.12224	1.82483	0.571148
1.93034	2.6725	0.525022	0.288587	1.92603	2.67082	0.799855	0.442218	1.13612	1.80264	1.4777	0.417821	1.82638	0.719051	0.519017	0.648161	0.785202	2.69411	1.13404	0.311668	1.47977	1.18338	1.82611	0.538633
1.92417	2.67012	0.525639	0.249513	1.91987	2.66841	0.800686	0.384765	1.14036	1.87142	1.47863	0.388856	1.82811	0.774975	0.520418	0.569665	0.791554	2.80807	1.13472	0.280834	1.48257	1.24165	1.82731	0.507513
