Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
453  Points		539  Points		452  Points		400  Points		365  Points		276  Points		478  Points		416  Points		366  Points		277  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279508	1189.58	3.18337e-005	0.0350516	0.279507	360.129	0.356786	3083.59	0.559017	1983.16	0.838526	2157.65	0.139755	1027.11	0.419265	681.151	0.69877	1528.03	0.713571	3659.75
0.279505	239.577	0.000130426	0.0708878	0.279501	163.659	0.356803	340.656	0.559024	460.642	0.83853	635.094	0.139798	130.927	0.419275	270.986	0.698759	503.067	0.713589	633.359
0.279497	133.198	0.000295658	0.106675	0.279491	105.887	0.356848	180.309	0.55904	260.592	0.838538	372.35	0.139909	69.9736	0.419294	169.144	0.698738	301.09	0.713632	346.698
0.279485	92.2379	0.000526885	0.142275	0.279476	78.258	0.356921	122.62	0.559064	181.693	0.838551	263.388	0.140087	47.7924	0.419322	122.946	0.698707	214.829	0.7137	238.691
0.279469	70.5419	0.000823639	0.177701	0.279458	62.0615	0.357022	92.9145	0.559097	139.472	0.838569	203.763	0.14033	36.3283	0.419359	96.5753	0.698666	166.982	0.713792	182.008
0.279448	57.1068	0.00118491	0.212858	0.279435	51.4177	0.357151	74.8089	0.559139	113.178	0.83859	166.153	0.14064	29.3334	0.419405	79.5232	0.698615	136.561	0.713909	147.093
0.279424	47.9687	0.00160985	0.247731	0.279408	43.8886	0.357307	62.6209	0.559189	95.2289	0.838616	140.265	0.141014	24.626	0.41946	67.5928	0.698556	115.512	0.714049	123.428
0.279396	41.3501	0.00209728	0.28227	0.279378	38.2814	0.357491	53.8586	0.559248	82.1971	0.838647	121.358	0.141452	21.2457	0.419524	58.7783	0.698488	100.082	0.714212	106.331
0.279364	36.3351	0.00264585	0.316423	0.279343	33.9434	0.357701	47.2571	0.559316	72.3056	0.838682	106.945	0.141953	18.7036	0.419596	52.0005	0.698413	88.2853	0.714397	93.403
0.279328	32.4038	0.0032543	0.350172	0.279306	30.4873	0.357939	42.1057	0.559392	64.5417	0.838721	95.5929	0.142515	16.7246	0.419678	46.6268	0.698331	78.9739	0.714603	83.2848
